year,quarter,ticker,(-)combined_ratio,(-)debt/asset,(-)debt/equity,(-)expense_ratio,(-)loss_ratio,(-)lt_debt/asset,(-)lt_debt/equity,(-)st_debt/asset,(-)st_debt/equity,acid_test,asset_,asset_turnover,cash_ratio,cur_ratio,curasset_turnover,equity_,equity_turnover,gross_margin,invst_yield,lib/equity,lib_ratio,liq/reserve,net_margin,oper_leverage,revenue_,roa,roca,roe,rotc
2018,2,ABI,-0.7641944337547718,-1.0253277643749413e-09,-2.971706632138324e-09,-0.5249651146522177,-0.2392293191025541,-5.126638821874706e-10,-1.485853316069162e-09,-5.126638821874706e-10,-1.485853316069162e-09,1.3607625846242486,1950595769948.0,0.1657032202185164,0.23686968186417515,1.3630217417331636,0.18561228527216322,673013943695.0,0.4802575094513622,0.4875765498724707,0.018957133399262444,1.898299193087716,0.6549700588590215,1.4261150809828769,0.1663267059164382,0.4732744929789281,323220000425.0,0.02756087077869197,0.030872279986941125,0.07987964953867775,0.09986821400794539
2018,2,AIC,-0.6438523825266614,-1.1241633984809674e-09,-2.5717684486049814e-09,-0.21253763086944072,-0.4313147516572207,-5.620816992404837e-10,-1.2858842243024907e-09,-5.620816992404837e-10,-1.2858842243024907e-09,1.168645783466594,1779100798605.0,0.08730877021346724,0.10527268155338493,1.1686457844653342,0.13274802456784768,777674989008.0,0.19973781464945903,-0.06350610967424308,0.005551843529294412,1.287717650370132,0.5628831207215589,0.5207389848457263,-0.17723899670834714,0.18036604997664013,155331102812.0,-0.015474518836474558,-0.023528126689420344,-0.03540132987318792,-0.03540133106802812
2018,2,BIC,-0.70830326677386,-3.884545925132849e-10,-9.56410021790159e-10,-0.35760087214103325,-0.3507023946328268,-1.9422729625664245e-10,-4.782050108950795e-10,-1.9422729625664245e-10,-4.782050108950795e-10,1.5070431996979563,5148606911969.0,0.07059161878975241,0.03930834173621067,1.5072442567231412,0.07888709441960562,2091153328001.0,0.17380289219415201,0.2674390850238546,0.01631722339585764,1.4620896244326174,0.5938409430442859,1.3249964691789526,0.13099647841694056,0.1567147644043265,363448496428.0,0.009247253467208697,0.01033393156151302,0.02276756681611308,0.0280344539885901
2018,2,BLI,-0.7244967257903632,-1.1751927735377176e-09,-2.987926819666495e-09,-0.3443930041305067,-0.3801037216598564,-5.875963867688588e-10,-1.4939634098332476e-09,-5.875963867688588e-10,-1.4939634098332476e-09,1.3617011561085035,1701848449918.0,0.12114906234273341,0.3011497251895514,1.362175637785396,0.14700017781978672,669360436419.0,0.30802140780836207,0.23622172267461905,0.0067977594819238155,1.5424993132589222,0.6066862261141691,1.198445278987628,0.018062234101612427,0.28674850475305413,206177343957.0,0.002188222725225289,0.002655151624759642,0.005563554776142865,0.006954441956556281
2018,2,BMI,-0.5995010059274705,-3.569718347413563e-10,-9.000183073687822e-10,-0.1882890985935667,-0.4112119073339038,-1.7848591737067815e-10,-4.500091536843911e-10,-1.7848591737067815e-10,-4.500091536843911e-10,1.4233273571850096,5602682916004.0,0.14749907097194898,0.09143280218218684,1.4247153949644575,0.1715926775670298,2222177019762.0,0.3718833007955002,0.03973131148808415,0.013049760632789686,1.5212585973929564,0.6033726960677399,1.0591127096963706,0.07399647402840953,0.3510850803139699,826390525061.0,0.010914411174390355,0.012697253109053973,0.027518053008913437,0.03422763559209649
2018,2,BVH,-1.200943469924595,-0.0030306043282259474,-0.019120133138705513,-0.28836109384602354,-0.9125823760785715,-0.0030144179014963404,-0.019018012703112014,-1.618642672960667e-05,-0.00010212043559350033,2.6330575000274683,100581927512272.0,0.07194211527186259,0.2844677323995196,2.6403432199158576,0.13166931441114585,15942568111251.0,0.4538840024304084,-0.12078556353247752,0.027223620544477026,5.309016640881669,0.8414966932374024,44440408299.51,0.04634634270920066,0.442838223200353,7236076623354.0,0.0033342539296145625,0.006102391169984459,0.021035863526863374,0.01254406619269201
2018,2,MIG,-0.6475873509920522,-0.07239604396510547,-0.26320421938947575,-0.2939325625185198,-0.3536547884735324,-0.0011444136229078572,-0.004160648535178639,-0.07125163034219761,-0.2590435708542971,1.0303975206297253,3495239762907.0,0.10545742697303125,0.07468402758711039,1.0351622867329502,0.14262972483491299,961388583097.0,0.3834027140852888,0.32165662584317967,0.01723280802557749,2.6356160499092853,0.7249434521489276,1.050973171418377,0.16717159131200615,0.34644759160656124,368598992050.0,0.017629485882751313,0.023843638069045967,0.06409404182697984,0.06371705146810726
2018,2,PGI,-0.6978579325922671,-3.8015575484083134e-10,-1.4060321124184896e-09,-0.21026847235265822,-0.4875894602396089,-1.9007787742041567e-10,-7.030160562092448e-10,-1.9007787742041567e-10,-7.030160562092448e-10,1.184662786439151,5261001509335.0,0.11752812196591751,0.036335646220242636,1.1864398479201057,0.13692218499493364,1422442618725.0,0.4346858136226433,0.19382935166042775,0.004165057177984873,2.6985685328035762,0.7296251262804144,0.8114172353537845,0.06352076996542887,0.38254463612159234,618315627052.0,0.007465476799865914,0.008697402616227076,0.02761157757435921,0.033471126506834724
2018,2,PTI,-0.7084614322389697,-0.04861965104494918,-0.15404527027547454,-0.2465599103111331,-0.46190152192783657,-0.0007372880022060752,-0.0023360046221989135,-0.04788236304274311,-0.15170926565327564,1.2494250123213066,5802578885319.0,0.1416582350410926,0.042017693576714935,1.2514954115530652,0.165646519837254,1831405534623.0,0.44882636207070736,0.14769349273236818,-0.00194904341260012,2.1683746584906314,0.6843807605517254,1.0707000954658197,0.0005879326590209292,0.3663279927174107,821983083581.0,8.328550279992134e-05,9.738899886547984e-05,0.0002638796764909213,-0.0006951251335363696
2018,2,PVI,-0.5043277253484706,-9.192635815125692e-11,-2.989023278810462e-10,-0.13013366511935623,-0.3741940602291144,-4.596317907562846e-11,-1.494511639405231e-10,-4.596317907562846e-11,-1.494511639405231e-10,1.1703327966809765,21756545567803.0,0.04968904915832954,0.09779010555362262,1.1705902108114614,0.061649903628862975,6691148958853.0,0.1615659834928135,0.09853244582358067,0.011079667187170435,2.2515410584331867,0.6924535221825346,0.9103446452191734,0.06709671447271578,0.13563491174011663,1081062062234.0,0.003333971943797176,0.0041365059810562635,0.010840546662920818,0.014981830344906938
