ticker,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2
TFC,11.0,24.0,33.0,11.0,9.0,25.0,61.0,41.0,42.0,41.0,58.0,35.0,16.0
TGG,81.0,77.0,80.0,71.0,66.0,62.0,65.0,72.0,61.0,53.0,66.0,56.0,100.0
THB,83.0,49.0,50.0,58.0,84.0,86.0,68.0,59.0,86.0,85.0,84.0,67.0,81.0
THP,,,,,,,,,,,56.0,53.0,26.0
TSC,71.0,67.0,61.0,63.0,77.0,73.0,64.0,70.0,73.0,71.0,,71.0,78.0
VCF,100.0,100.0,100.0,85.0,97.0,95.0,98.0,100.0,92.0,98.0,100.0,87.0,89.0
VDL,82.0,47.0,97.0,74.0,61.0,64.0,76.0,67.0,73.0,67.0,89.0,80.0,
VHC,93.0,100.0,94.0,89.0,91.0,81.0,82.0,96.0,87.0,82.0,79.0,74.0,73.0
VHE,,47.0,51.0,52.0,46.0,36.0,48.0,58.0,53.0,35.0,41.0,52.0,57.0
VHF,49.0,95.0,74.0,55.0,40.0,57.0,88.0,76.0,70.0,79.0,95.0,82.0,77.0
VHI,,,,,57.0,,,,,,,,
VID,44.0,47.0,56.0,56.0,38.0,50.0,57.0,62.0,57.0,41.0,71.0,65.0,55.0
VLC,100.0,100.0,80.0,81.0,89.0,90.0,95.0,100.0,99.0,100.0,99.0,96.0,97.0
VLF,,,,,,66.0,,,,,,,
VNM,100.0,100.0,100.0,100.0,99.0,93.0,85.0,100.0,98.0,95.0,95.0,95.0,90.0
VOC,79.0,83.0,74.0,71.0,61.0,69.0,81.0,100.0,80.0,85.0,88.0,71.0,98.0
VSF,,,,51.0,38.0,47.0,,,,,,,
VSN,67.0,84.0,72.0,85.0,78.0,74.0,69.0,95.0,65.0,63.0,67.0,74.0,68.0
VTJ,54.0,100.0,64.0,91.0,100.0,61.0,87.0,76.0,93.0,77.0,70.0,100.0,67.0
VTL,71.0,8.0,4.0,57.0,8.0,4.0,33.0,14.0,0.0,29.0,4.0,,
WSB,78.0,82.0,70.0,81.0,86.0,80.0,86.0,94.0,88.0,94.0,100.0,95.0,91.0
BSA,47.0,55.0,61.0,41.0,29.0,43.0,48.0,43.0,37.0,55.0,50.0,50.0,
BSR,62.0,77.0,48.0,74.0,44.0,49.0,67.0,48.0,62.0,60.0,47.0,89.0,79.0
CNG,89.0,100.0,84.0,89.0,75.0,95.0,82.0,72.0,78.0,65.0,75.0,67.0,83.0
COM,100.0,100.0,100.0,100.0,93.0,100.0,82.0,93.0,99.0,100.0,100.0,100.0,100.0
GAS,100.0,100.0,92.0,100.0,90.0,100.0,100.0,94.0,100.0,100.0,100.0,100.0,100.0
HTC,82.0,77.0,75.0,87.0,67.0,79.0,81.0,77.0,100.0,82.0,79.0,100.0,100.0
MDG,55.0,45.0,36.0,33.0,33.0,32.0,33.0,32.0,55.0,29.0,25.0,34.0,37.0
NTH,,,,92.0,57.0,40.0,53.0,64.0,82.0,30.0,79.0,89.0,87.0
OIL,63.0,43.0,49.0,44.0,44.0,44.0,40.0,51.0,73.0,44.0,43.0,51.0,55.0
PDT,,,,,,,,,52.0,,,,40.0
PDV,54.0,33.0,42.0,39.0,26.0,31.0,23.0,31.0,54.0,49.0,18.0,32.0,29.0
PGC,53.0,49.0,45.0,42.0,39.0,43.0,39.0,42.0,71.0,44.0,37.0,42.0,45.0
PGD,96.0,94.0,73.0,93.0,76.0,90.0,55.0,70.0,76.0,85.0,91.0,87.0,100.0
PGS,52.0,46.0,49.0,39.0,42.0,39.0,34.0,41.0,49.0,37.0,34.0,40.0,42.0
PHN,64.0,94.0,60.0,100.0,65.0,99.0,45.0,86.0,100.0,100.0,100.0,100.0,100.0
PIT,18.0,31.0,32.0,22.0,22.0,38.0,34.0,37.0,31.0,27.0,21.0,29.0,31.0
PJC,68.0,86.0,47.0,44.0,42.0,40.0,40.0,46.0,62.0,48.0,42.0,79.0,67.0
PLX,70.0,75.0,64.0,82.0,52.0,81.0,55.0,46.0,77.0,55.0,47.0,63.0,75.0
POB,,,,,,,,,,,,,74.0
POS,74.0,83.0,66.0,83.0,46.0,85.0,75.0,50.0,71.0,78.0,48.0,44.0,46.0
POV,56.0,49.0,54.0,43.0,38.0,41.0,37.0,44.0,55.0,27.0,40.0,45.0,48.0
PPY,77.0,84.0,82.0,79.0,76.0,86.0,77.0,75.0,67.0,67.0,75.0,90.0,86.0
PSB,72.0,76.0,75.0,55.0,45.0,63.0,62.0,60.0,82.0,66.0,63.0,73.0,88.0
PSC,28.0,41.0,42.0,42.0,36.0,36.0,34.0,44.0,56.0,38.0,32.0,42.0,34.0
PSH,,,,,,,27.0,35.0,31.0,16.0,22.0,27.0,31.0
PTX,22.0,35.0,42.0,,,,,,,,,,
PVC,30.0,37.0,42.0,34.0,36.0,42.0,36.0,42.0,66.0,43.0,31.0,41.0,36.0
PVD,61.0,85.0,77.0,43.0,59.0,47.0,56.0,54.0,71.0,47.0,45.0,42.0,54.0
PVG,22.0,33.0,35.0,32.0,24.0,27.0,35.0,42.0,50.0,36.0,39.0,60.0,53.0
PVS,72.0,87.0,66.0,96.0,65.0,75.0,46.0,61.0,85.0,66.0,45.0,78.0,71.0
PXS,0.0,31.0,29.0,12.0,11.0,7.0,21.0,20.0,29.0,19.0,2.0,17.0,30.0
SBA,62.0,49.0,56.0,79.0,47.0,42.0,49.0,52.0,63.0,48.0,72.0,75.0,67.0
SFC,66.0,80.0,81.0,95.0,76.0,47.0,82.0,69.0,85.0,66.0,48.0,78.0,81.0
SHE,96.0,95.0,90.0,100.0,83.0,100.0,90.0,83.0,97.0,90.0,80.0,44.0,38.0
TDG,56.0,80.0,44.0,37.0,33.0,32.0,29.0,37.0,36.0,45.0,39.0,34.0,37.0
TLP,54.0,,,39.0,32.0,36.0,25.0,30.0,32.0,17.0,,34.0,
TMC,89.0,84.0,82.0,46.0,67.0,89.0,57.0,69.0,71.0,80.0,75.0,83.0,67.0
TOS,,,,,,,,,,,,,75.0
TSB,15.0,35.0,45.0,38.0,36.0,37.0,45.0,48.0,66.0,48.0,60.0,70.0,53.0
VMG,39.0,38.0,30.0,28.0,18.0,,,,,,,,
VST,42.0,36.0,40.0,31.0,31.0,33.0,30.0,39.0,51.0,32.0,29.0,41.0,39.0
VXT,,,,,,,,,49.0,,,,
API,83.0,80.0,42.0,40.0,34.0,32.0,56.0,62.0,49.0,47.0,53.0,48.0,35.0
BII,53.0,48.0,41.0,52.0,45.0,35.0,36.0,40.0,37.0,42.0,,86.0,82.0
FIT,81.0,81.0,63.0,64.0,86.0,77.0,74.0,86.0,79.0,88.0,85.0,90.0,79.0
HQC,47.0,44.0,45.0,56.0,72.0,53.0,53.0,73.0,68.0,60.0,59.0,48.0,42.0
HVA,43.0,49.0,48.0,52.0,58.0,67.0,58.0,61.0,,95.0,94.0,,
IDJ,83.0,75.0,77.0,53.0,68.0,75.0,40.0,50.0,69.0,58.0,49.0,75.0,47.0
KSH,83.0,95.0,75.0,36.0,85.0,67.0,64.0,77.0,66.0,86.0,70.0,83.0,77.0
SID,100.0,96.0,81.0,75.0,89.0,89.0,80.0,94.0,86.0,100.0,95.0,,84.0
VXB,39.0,48.0,56.0,54.0,50.0,43.0,44.0,57.0,41.0,42.0,47.0,35.0,41.0
AGP,,37.0,33.0,29.0,40.0,35.0,35.0,35.0,33.0,42.0,37.0,47.0,33.0
AMV,97.0,100.0,100.0,88.0,86.0,100.0,100.0,94.0,,89.0,75.0,57.0,77.0
BCP,82.0,,,,78.0,,,,72.0,,,,
CDP,50.0,49.0,49.0,49.0,60.0,54.0,47.0,,34.0,49.0,53.0,50.0,44.0
DBD,77.0,69.0,65.0,62.0,74.0,60.0,54.0,57.0,68.0,79.0,67.0,67.0,83.0
DBT,45.0,42.0,46.0,45.0,51.0,40.0,44.0,39.0,33.0,37.0,40.0,31.0,33.0
DCL,40.0,40.0,41.0,47.0,53.0,49.0,77.0,65.0,62.0,62.0,66.0,59.0,43.0
DDN,,,,,,,63.0,63.0,67.0,71.0,70.0,66.0,81.0
DHG,84.0,79.0,89.0,81.0,87.0,90.0,95.0,100.0,93.0,95.0,96.0,97.0,99.0
DHN,,,,,,,,,,,100.0,,
DHT,71.0,75.0,77.0,79.0,83.0,81.0,74.0,90.0,71.0,78.0,71.0,66.0,70.0
DMC,89.0,87.0,89.0,80.0,95.0,98.0,92.0,90.0,91.0,87.0,94.0,87.0,94.0
DNM,50.0,40.0,44.0,37.0,47.0,38.0,72.0,56.0,51.0,49.0,34.0,35.0,30.0
DP1,49.0,53.0,52.0,46.0,67.0,57.0,50.0,51.0,53.0,61.0,58.0,58.0,48.0
DP2,29.0,25.0,19.0,6.0,33.0,27.0,26.0,17.0,17.0,27.0,16.0,14.0,25.0
DP3,100.0,97.0,79.0,97.0,100.0,99.0,84.0,100.0,96.0,81.0,97.0,87.0,100.0
DTP,,,,80.0,69.0,70.0,65.0,79.0,53.0,75.0,71.0,67.0,64.0
DVN,61.0,63.0,61.0,59.0,71.0,64.0,61.0,59.0,62.0,64.0,63.0,61.0,57.0
HJC,35.0,63.0,62.0,43.0,70.0,81.0,73.0,69.0,60.0,90.0,85.0,52.0,86.0
IMP,78.0,77.0,85.0,76.0,77.0,73.0,79.0,80.0,81.0,75.0,78.0,74.0,75.0
JVC,75.0,52.0,81.0,56.0,81.0,76.0,78.0,67.0,75.0,80.0,67.0,60.0,
LDP,40.0,41.0,31.0,23.0,41.0,41.0,60.0,39.0,15.0,37.0,47.0,44.0,43.0
MED,,,,,,,,44.0,45.0,46.0,55.0,46.0,36.0
MKP,75.0,77.0,79.0,76.0,86.0,83.0,81.0,100.0,81.0,89.0,85.0,86.0,82.0
MKV,34.0,36.0,33.0,18.0,39.0,41.0,49.0,50.0,54.0,72.0,,,49.0
OPC,51.0,55.0,54.0,53.0,67.0,59.0,55.0,64.0,60.0,66.0,66.0,68.0,47.0
PBC,,,,43.0,44.0,30.0,26.0,23.0,22.0,36.0,40.0,40.0,33.0
PMC,100.0,98.0,100.0,100.0,100.0,100.0,98.0,100.0,97.0,100.0,98.0,96.0,100.0
PME,93.0,89.0,96.0,94.0,87.0,82.0,88.0,84.0,78.0,80.0,84.0,81.0,84.0
PPP,37.0,38.0,48.0,52.0,70.0,71.0,63.0,61.0,55.0,60.0,65.0,69.0,81.0
SPM,71.0,69.0,68.0,64.0,69.0,65.0,65.0,65.0,67.0,68.0,70.0,67.0,72.0
TNH,,,,,,,,77.0,64.0,79.0,78.0,69.0,84.0
TRA,63.0,75.0,84.0,70.0,83.0,66.0,83.0,78.0,90.0,84.0,88.0,86.0,100.0
TTD,100.0,100.0,95.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,99.0,100.0,95.0
UPH,36.0,40.0,58.0,21.0,51.0,42.0,43.0,49.0,34.0,43.0,46.0,44.0,36.0
VDP,65.0,62.0,64.0,62.0,57.0,51.0,59.0,58.0,59.0,50.0,65.0,54.0,44.0
VET,60.0,43.0,68.0,69.0,75.0,39.0,48.0,43.0,52.0,47.0,60.0,41.0,44.0
VMD,57.0,58.0,48.0,61.0,66.0,68.0,62.0,71.0,61.0,77.0,67.0,61.0,68.0
VXP,,,,84.0,,,,,,,,,
ACC,71.0,72.0,66.0,76.0,68.0,72.0,70.0,53.0,61.0,57.0,53.0,56.0,45.0
ACV,99.0,97.0,91.0,99.0,95.0,100.0,100.0,100.0,68.0,74.0,83.0,91.0,90.0
AME,39.0,36.0,,33.0,31.0,45.0,56.0,48.0,42.0,54.0,40.0,,40.0
AMS,38.0,41.0,46.0,42.0,41.0,34.0,58.0,48.0,57.0,56.0,,64.0,46.0
APC,100.0,100.0,100.0,99.0,85.0,69.0,87.0,85.0,88.0,85.0,69.0,83.0,69.0
ARM,78.0,44.0,64.0,47.0,42.0,60.0,70.0,56.0,40.0,51.0,30.0,60.0,39.0
ASG,100.0,,93.0,93.0,99.0,94.0,82.0,78.0,77.0,74.0,71.0,64.0,51.0
AST,96.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,69.0,62.0,53.0,52.0,45.0
ATB,28.0,33.0,31.0,27.0,34.0,35.0,22.0,32.0,38.0,33.0,37.0,17.0,20.0
ATS,50.0,40.0,47.0,39.0,87.0,68.0,58.0,78.0,76.0,74.0,52.0,62.0,71.0
B82,21.0,,,,,,,,,,,,
BCE,43.0,33.0,57.0,33.0,36.0,53.0,58.0,37.0,36.0,48.0,45.0,42.0,74.0
BCG,32.0,27.0,31.0,29.0,42.0,44.0,17.0,24.0,36.0,56.0,48.0,45.0,51.0
BMD,,,,,50.0,,,,62.0,,,,
BOT,,45.0,47.0,29.0,29.0,27.0,19.0,32.0,27.0,38.0,36.0,42.0,39.0
BRC,60.0,61.0,62.0,62.0,64.0,64.0,59.0,70.0,65.0,64.0,48.0,55.0,61.0
BRR,85.0,78.0,69.0,56.0,77.0,71.0,97.0,74.0,83.0,79.0,94.0,76.0,78.0
BSC,80.0,83.0,80.0,79.0,82.0,76.0,77.0,80.0,84.0,87.0,80.0,90.0,
BSG,49.0,30.0,45.0,44.0,46.0,54.0,50.0,40.0,34.0,54.0,62.0,44.0,
BTH,,,,85.0,91.0,81.0,81.0,84.0,93.0,100.0,100.0,,90.0
C47,33.0,39.0,41.0,28.0,34.0,28.0,14.0,35.0,40.0,39.0,26.0,36.0,38.0
C4G,42.0,46.0,50.0,48.0,40.0,52.0,41.0,40.0,49.0,30.0,40.0,31.0,35.0
C92,31.0,26.0,22.0,27.0,9.0,2.0,19.0,22.0,35.0,29.0,30.0,21.0,31.0
CAG,83.0,79.0,76.0,74.0,91.0,75.0,75.0,84.0,91.0,77.0,83.0,65.0,81.0
CAM,46.0,,,,76.0,,,,,,,,
CAV,81.0,97.0,86.0,81.0,87.0,87.0,76.0,72.0,81.0,73.0,78.0,53.0,71.0
CC1,37.0,43.0,50.0,43.0,39.0,50.0,51.0,38.0,46.0,43.0,42.0,,39.0
CC4,,,,,,,,,,17.0,,,
CCI,88.0,84.0,96.0,82.0,94.0,92.0,96.0,93.0,91.0,90.0,88.0,87.0,83.0
CCP,89.0,78.0,100.0,90.0,,,,,,,,,
CCR,78.0,81.0,76.0,72.0,81.0,83.0,92.0,90.0,89.0,84.0,95.0,100.0,100.0
CCT,42.0,45.0,51.0,47.0,46.0,68.0,82.0,61.0,59.0,59.0,56.0,51.0,48.0
CEE,39.0,30.0,29.0,23.0,14.0,5.0,8.0,37.0,31.0,49.0,32.0,33.0,29.0
CHS,60.0,74.0,68.0,50.0,44.0,98.0,89.0,83.0,86.0,80.0,74.0,85.0,85.0
CIA,97.0,81.0,68.0,71.0,77.0,76.0,78.0,67.0,56.0,51.0,44.0,40.0,
CIG,61.0,30.0,19.0,10.0,18.0,52.0,42.0,43.0,8.0,3.0,2.0,21.0,4.0
CII,45.0,46.0,47.0,42.0,48.0,64.0,57.0,59.0,53.0,46.0,36.0,39.0,39.0
CJC,13.0,20.0,38.0,32.0,32.0,0.0,49.0,50.0,54.0,32.0,38.0,,21.0
CKV,46.0,48.0,60.0,65.0,49.0,78.0,70.0,77.0,77.0,73.0,81.0,78.0,90.0
CLL,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,98.0,100.0,100.0
CMP,80.0,77.0,78.0,73.0,63.0,60.0,64.0,60.0,51.0,58.0,46.0,48.0,43.0
CMS,37.0,36.0,37.0,25.0,34.0,27.0,9.0,39.0,35.0,22.0,29.0,54.0,36.0
CPI,54.0,46.0,75.0,47.0,41.0,59.0,51.0,59.0,62.0,57.0,45.0,,45.0
CQN,87.0,84.0,71.0,77.0,80.0,73.0,71.0,40.0,72.0,83.0,62.0,,89.0
CSC,87.0,47.0,56.0,35.0,37.0,31.0,30.0,16.0,17.0,25.0,59.0,19.0,29.0
CSM,44.0,49.0,44.0,39.0,55.0,59.0,58.0,60.0,62.0,62.0,52.0,48.0,48.0
CT6,14.0,16.0,19.0,12.0,14.0,29.0,44.0,61.0,20.0,,,24.0,37.0
CTB,30.0,89.0,59.0,38.0,35.0,62.0,65.0,78.0,72.0,51.0,44.0,28.0,34.0
CTD,91.0,100.0,84.0,78.0,81.0,80.0,91.0,76.0,78.0,78.0,77.0,76.0,80.0
CTI,45.0,71.0,63.0,47.0,42.0,49.0,45.0,45.0,62.0,54.0,35.0,47.0,40.0
CTR,83.0,87.0,81.0,79.0,90.0,90.0,91.0,89.0,93.0,91.0,84.0,94.0,90.0
CTT,35.0,36.0,43.0,43.0,37.0,56.0,50.0,51.0,53.0,51.0,39.0,,41.0
CVN,79.0,100.0,100.0,100.0,100.0,100.0,100.0,93.0,100.0,97.0,100.0,86.0,89.0
CX8,32.0,46.0,59.0,37.0,42.0,53.0,60.0,32.0,47.0,50.0,43.0,35.0,39.0
D2D,85.0,79.0,100.0,84.0,85.0,97.0,100.0,92.0,100.0,87.0,98.0,95.0,100.0
DAE,95.0,94.0,78.0,79.0,100.0,96.0,64.0,65.0,91.0,96.0,70.0,77.0,87.0
DAS,,,46.0,,,,,,,,,,
DC4,36.0,37.0,64.0,50.0,40.0,53.0,56.0,58.0,54.0,52.0,49.0,45.0,64.0
DCF,,,,,,,,,,,,,59.0
DDG,32.0,37.0,47.0,32.0,43.0,30.0,37.0,38.0,40.0,50.0,43.0,45.0,38.0
DDM,29.0,33.0,38.0,30.0,33.0,26.0,11.0,31.0,35.0,21.0,25.0,25.0,37.0
DFF,,,,,,,,,,,,,28.0
DGT,,,,,,,,,,,,,36.0
DIG,47.0,46.0,76.0,36.0,47.0,63.0,81.0,38.0,59.0,60.0,84.0,37.0,38.0
DIH,24.0,29.0,50.0,23.0,27.0,29.0,42.0,20.0,27.0,20.0,31.0,28.0,29.0
DL1,48.0,42.0,50.0,39.0,85.0,61.0,62.0,62.0,76.0,68.0,38.0,,67.0
DLT,63.0,47.0,69.0,,,,,,,,,,
DNC,92.0,100.0,95.0,86.0,100.0,100.0,100.0,93.0,100.0,100.0,98.0,55.0,100.0
DPC,99.0,99.0,88.0,94.0,78.0,80.0,58.0,58.0,76.0,81.0,57.0,83.0,78.0
DPG,40.0,44.0,51.0,39.0,39.0,12.0,77.0,61.0,54.0,51.0,74.0,75.0,60.0
DQC,61.0,56.0,56.0,46.0,45.0,56.0,43.0,51.0,51.0,48.0,57.0,48.0,43.0
DRC,75.0,76.0,75.0,71.0,87.0,89.0,82.0,77.0,90.0,94.0,98.0,88.0,96.0
DS3,77.0,71.0,75.0,77.0,78.0,70.0,61.0,77.0,70.0,62.0,43.0,77.0,75.0
DST,57.0,45.0,54.0,49.0,41.0,57.0,90.0,84.0,80.0,65.0,79.0,,64.0
DTD,82.0,59.0,62.0,64.0,50.0,37.0,56.0,55.0,96.0,92.0,40.0,71.0,92.0
DUS,100.0,72.0,79.0,,66.0,,,,,,,,
DVP,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DXP,97.0,100.0,100.0,97.0,93.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,100.0
DZM,17.0,15.0,17.0,23.0,29.0,20.0,67.0,75.0,28.0,23.0,46.0,29.0,19.0
E12,,,,,,,,28.0,37.0,42.0,,,42.0
EID,87.0,67.0,56.0,46.0,95.0,78.0,64.0,49.0,94.0,81.0,86.0,49.0,97.0
EMC,36.0,35.0,50.0,31.0,51.0,26.0,56.0,44.0,54.0,52.0,41.0,,30.0
EMS,,,,,,,,,,,,92.0,
FCN,49.0,58.0,69.0,50.0,58.0,58.0,60.0,50.0,54.0,57.0,45.0,36.0,37.0
GEX,49.0,66.0,66.0,56.0,48.0,55.0,61.0,58.0,60.0,57.0,48.0,48.0,48.0
GIC,,,,,,,,87.0,97.0,94.0,96.0,,100.0
GLT,62.0,96.0,77.0,79.0,73.0,67.0,100.0,83.0,76.0,79.0,85.0,87.0,80.0
GMA,,,,,,,,,52.0,,66.0,62.0,74.0
GMD,80.0,75.0,71.0,77.0,86.0,85.0,60.0,69.0,69.0,68.0,56.0,71.0,72.0
GSP,100.0,86.0,71.0,86.0,85.0,67.0,69.0,77.0,82.0,82.0,78.0,78.0,74.0
GTS,56.0,73.0,68.0,47.0,47.0,63.0,92.0,55.0,78.0,53.0,87.0,35.0,45.0
GVR,56.0,61.0,85.0,61.0,76.0,80.0,88.0,68.0,72.0,79.0,95.0,79.0,83.0
HAH,90.0,86.0,82.0,78.0,77.0,73.0,71.0,75.0,75.0,65.0,74.0,90.0,85.0
HAN,44.0,42.0,59.0,38.0,44.0,56.0,,40.0,44.0,,,,
HAS,49.0,71.0,69.0,75.0,72.0,59.0,70.0,75.0,57.0,66.0,73.0,47.0,55.0
HBC,58.0,61.0,61.0,57.0,52.0,57.0,61.0,51.0,55.0,55.0,44.0,44.0,46.0
HC1,,,,,,43.0,,,,,,,
HC3,97.0,99.0,94.0,99.0,96.0,100.0,100.0,73.0,99.0,92.0,96.0,100.0,93.0
HCT,87.0,96.0,88.0,90.0,97.0,97.0,88.0,90.0,94.0,95.0,82.0,,99.0
HDO,20.0,21.0,21.0,28.0,43.0,38.0,63.0,,,,,,
HEM,52.0,86.0,89.0,61.0,64.0,70.0,60.0,70.0,63.0,55.0,53.0,51.0,50.0
HHG,37.0,34.0,45.0,40.0,41.0,51.0,40.0,36.0,32.0,29.0,32.0,31.0,32.0
HHR,39.0,,,45.0,44.0,,,,59.0,,,,
HHV,,,,,,44.0,17.0,32.0,50.0,50.0,45.0,45.0,43.0
HIG,43.0,71.0,66.0,61.0,50.0,61.0,69.0,61.0,69.0,100.0,49.0,58.0,62.0
HLD,47.0,41.0,76.0,46.0,49.0,81.0,74.0,72.0,65.0,79.0,99.0,72.0,69.0
HMH,91.0,87.0,92.0,90.0,93.0,95.0,99.0,92.0,89.0,100.0,100.0,95.0,97.0
HNB,83.0,,,,83.0,,,,81.0,,,,
HRC,38.0,38.0,49.0,39.0,43.0,65.0,52.0,46.0,49.0,46.0,36.0,37.0,33.0
HRT,57.0,53.0,67.0,69.0,57.0,52.0,60.0,58.0,57.0,55.0,45.0,40.0,38.0
HTE,70.0,61.0,69.0,45.0,,63.0,80.0,54.0,59.0,48.0,46.0,37.0,
HTI,61.0,64.0,78.0,78.0,77.0,78.0,74.0,81.0,83.0,81.0,82.0,78.0,72.0
HTN,58.0,43.0,65.0,42.0,58.0,55.0,63.0,65.0,46.0,75.0,48.0,44.0,52.0
HTP,94.0,57.0,64.0,71.0,85.0,70.0,77.0,78.0,73.0,71.0,83.0,57.0,38.0
HTV,88.0,100.0,86.0,92.0,87.0,86.0,86.0,87.0,87.0,89.0,82.0,88.0,88.0
HU3,33.0,34.0,65.0,34.0,44.0,56.0,49.0,30.0,49.0,49.0,44.0,44.0,33.0
HUB,80.0,74.0,64.0,73.0,75.0,67.0,66.0,67.0,81.0,70.0,61.0,68.0,83.0
HUT,45.0,49.0,32.0,35.0,39.0,56.0,50.0,43.0,36.0,17.0,20.0,37.0,35.0
HVH,87.0,98.0,95.0,82.0,100.0,100.0,80.0,76.0,88.0,71.0,45.0,49.0,50.0
HVN,45.0,46.0,53.0,62.0,48.0,64.0,54.0,50.0,32.0,35.0,30.0,32.0,41.0
ICG,30.0,71.0,98.0,59.0,83.0,72.0,86.0,57.0,84.0,58.0,88.0,70.0,43.0
ICT,50.0,50.0,,47.0,52.0,53.0,77.0,46.0,60.0,55.0,45.0,57.0,42.0
IHK,55.0,66.0,,70.0,80.0,77.0,72.0,,,,,,
ILB,42.0,65.0,67.0,63.0,57.0,61.0,56.0,67.0,55.0,66.0,48.0,58.0,47.0
ILS,,33.0,51.0,29.0,30.0,25.0,53.0,34.0,52.0,43.0,48.0,35.0,32.0
INC,48.0,53.0,72.0,52.0,57.0,64.0,71.0,70.0,68.0,68.0,64.0,63.0,70.0
INN,81.0,90.0,86.0,80.0,90.0,84.0,73.0,79.0,77.0,81.0,68.0,78.0,59.0
IST,56.0,78.0,73.0,68.0,42.0,60.0,60.0,61.0,51.0,69.0,41.0,50.0,40.0
ITD,77.0,92.0,76.0,74.0,57.0,56.0,62.0,68.0,55.0,56.0,62.0,75.0,47.0
ITQ,45.0,44.0,49.0,40.0,43.0,52.0,53.0,52.0,49.0,52.0,49.0,43.0,51.0
KDM,80.0,78.0,100.0,46.0,78.0,72.0,66.0,67.0,51.0,50.0,52.0,85.0,89.0
KIP,67.0,42.0,,,,,,,,,,,
KKC,71.0,81.0,50.0,70.0,49.0,65.0,69.0,61.0,63.0,83.0,100.0,100.0,100.0
KTC,65.0,56.0,58.0,59.0,70.0,63.0,66.0,64.0,71.0,65.0,55.0,,52.0
KTL,68.0,28.0,25.0,24.0,68.0,27.0,10.0,26.0,62.0,29.0,38.0,28.0,45.0
KTT,45.0,46.0,91.0,62.0,78.0,80.0,100.0,72.0,65.0,71.0,62.0,,44.0
L10,42.0,40.0,38.0,49.0,41.0,58.0,54.0,46.0,55.0,52.0,42.0,49.0,39.0
L18,36.0,38.0,24.0,35.0,22.0,36.0,45.0,30.0,39.0,32.0,39.0,31.0,25.0
L35,29.0,25.0,32.0,23.0,22.0,24.0,13.0,20.0,13.0,16.0,21.0,23.0,15.0
L40,,,,,,,,,,,75.0,,46.0
L43,25.0,25.0,9.0,19.0,23.0,13.0,0.0,29.0,50.0,70.0,29.0,30.0,29.0
L44,20.0,,,,,,,,,,,,
L45,,,,,35.0,,,,,,,,
L61,34.0,37.0,43.0,35.0,32.0,40.0,19.0,45.0,38.0,46.0,30.0,36.0,29.0
L62,30.0,30.0,31.0,30.0,34.0,34.0,23.0,40.0,39.0,29.0,30.0,28.0,27.0
LCD,29.0,32.0,45.0,34.0,43.0,24.0,16.0,64.0,39.0,25.0,42.0,,27.0
LCG,44.0,47.0,64.0,50.0,50.0,60.0,54.0,44.0,60.0,65.0,58.0,46.0,49.0
LCS,36.0,25.0,35.0,31.0,37.0,28.0,33.0,31.0,10.0,14.0,,,12.0
LDW,,,69.0,73.0,74.0,81.0,67.0,84.0,72.0,74.0,71.0,80.0,81.0
LEC,30.0,35.0,24.0,41.0,29.0,24.0,25.0,25.0,29.0,37.0,32.0,25.0,30.0
LHC,93.0,86.0,83.0,83.0,88.0,79.0,89.0,74.0,96.0,73.0,84.0,80.0,92.0
LIG,28.0,19.0,40.0,22.0,22.0,12.0,24.0,23.0,51.0,18.0,30.0,34.0,28.0
LLM,43.0,49.0,41.0,51.0,40.0,60.0,63.0,61.0,64.0,64.0,55.0,48.0,54.0
LM7,28.0,33.0,38.0,21.0,27.0,17.0,38.0,32.0,18.0,31.0,31.0,25.0,6.0
LM8,38.0,41.0,51.0,46.0,41.0,40.0,33.0,46.0,41.0,44.0,32.0,41.0,35.0
LO5,16.0,32.0,31.0,18.0,15.0,6.0,0.0,22.0,,24.0,30.0,,25.0
LTC,,,32.0,,,,,,,,44.0,,
LUT,29.0,25.0,26.0,30.0,22.0,20.0,1.0,33.0,27.0,44.0,18.0,39.0,
MAC,47.0,47.0,60.0,60.0,47.0,58.0,56.0,47.0,54.0,53.0,48.0,40.0,43.0
MAS,62.0,62.0,60.0,70.0,74.0,78.0,68.0,49.0,35.0,27.0,43.0,35.0,26.0
MBG,85.0,88.0,75.0,64.0,80.0,76.0,100.0,78.0,97.0,69.0,80.0,81.0,89.0
MCG,2.0,16.0,14.0,20.0,27.0,18.0,32.0,13.0,13.0,8.0,25.0,28.0,27.0
MCI,,,,,,,,,,,32.0,,
MCO,34.0,32.0,34.0,31.0,35.0,39.0,51.0,39.0,36.0,49.0,34.0,25.0,28.0
MEC,15.0,27.0,3.0,10.0,1.0,0.0,0.0,0.0,29.0,,,,46.0
MES,49.0,46.0,58.0,,,,,,,,,,
