ticker,trading_date,close
CTD   ,2015-01-05  ,57000.0
CTD   ,2015-01-06  ,59000.0
CTD   ,2015-01-07  ,58500.0
CTD   ,2015-01-08  ,58500.0
CTD   ,2015-01-09  ,61500.0
CTD   ,2015-01-12  ,60500.0
CTD   ,2015-01-13  ,60500.0
CTD   ,2015-01-14  ,60500.0
CTD   ,2015-01-15  ,60500.0
CTD   ,2015-01-16  ,60000.0
CTD   ,2015-01-19  ,60000.0
CTD   ,2015-01-20  ,61500.0
CTD   ,2015-01-21  ,61000.0
CTD   ,2015-01-22  ,60000.0
CTD   ,2015-01-23  ,60000.0
CTD   ,2015-01-26  ,60000.0
CTD   ,2015-01-27  ,62500.0
CTD   ,2015-01-28  ,62000.0
CTD   ,2015-01-29  ,60000.0
CTD   ,2015-01-30  ,60000.0
CTD   ,2015-02-02  ,60000.0
CTD   ,2015-02-03  ,62000.0
CTD   ,2015-02-04  ,60000.0
CTD   ,2015-02-05  ,60000.0
CTD   ,2015-02-06  ,59000.0
CTD   ,2015-02-09  ,60000.0
CTD   ,2015-02-10  ,60000.0
CTD   ,2015-02-11  ,60000.0
CTD   ,2015-02-12  ,60000.0
CTD   ,2015-02-13  ,60000.0
CTD   ,2015-02-24  ,60000.0
CTD   ,2015-02-25  ,60500.0
CTD   ,2015-02-26  ,61000.0
CTD   ,2015-02-27  ,60000.0
CTD   ,2015-03-02  ,60000.0
CTD   ,2015-03-03  ,60000.0
CTD   ,2015-03-04  ,60000.0
CTD   ,2015-03-05  ,60500.0
CTD   ,2015-03-06  ,60000.0
CTD   ,2015-03-09  ,60000.0
CTD   ,2015-03-10  ,64000.0
CTD   ,2015-03-11  ,64500.0
CTD   ,2015-03-12  ,65500.0
CTD   ,2015-03-13  ,65000.0
CTD   ,2015-03-16  ,65000.0
CTD   ,2015-03-17  ,67000.0
CTD   ,2015-03-18  ,71500.0
CTD   ,2015-03-19  ,73000.0
CTD   ,2015-03-20  ,73000.0
CTD   ,2015-03-23  ,71500.0
CTD   ,2015-03-24  ,71500.0
CTD   ,2015-03-25  ,70000.0
CTD   ,2015-03-26  ,70000.0
CTD   ,2015-03-27  ,70000.0
CTD   ,2015-03-30  ,70000.0
CTD   ,2015-03-31  ,70500.0
CTD   ,2015-04-01  ,75000.0
CTD   ,2015-04-02  ,77500.0
CTD   ,2015-04-03  ,74500.0
CTD   ,2015-04-06  ,74000.0
CTD   ,2015-04-07  ,75500.0
CTD   ,2015-04-08  ,76000.0
CTD   ,2015-04-09  ,77000.0
CTD   ,2015-04-10  ,74500.0
CTD   ,2015-04-13  ,75500.0
CTD   ,2015-04-14  ,76000.0
CTD   ,2015-04-15  ,75500.0
CTD   ,2015-04-16  ,75500.0
CTD   ,2015-04-17  ,75500.0
CTD   ,2015-04-20  ,76000.0
CTD   ,2015-04-21  ,77000.0
CTD   ,2015-04-22  ,76000.0
CTD   ,2015-04-23  ,76500.0
CTD   ,2015-04-24  ,76500.0
CTD   ,2015-04-27  ,77000.0
