Ticker,Group,Breakeven Price,1% at Risk,3% at Risk,5% at Risk,Proposed Price
BAB,C,8410,13039.6,14449.38,15150.9,13050
ACB,A,13500,19698.81,21278.43,22237.0,22250
NVB,C,11550,17621.6,19414.84,20275.2,17600
BID,A,18150,25045.6,26841.45,27765.75,27750
SHB,C,9080,14909.48,16551.36,17453.6,14900
CTG,B,11000,16928.23,18587.69,19440.15,18600
AAV,B,12800,18980.84,21039.96,22262.8,21050
EIB,C,10100,14368.08,15556.619999999999,16167.7,14350
ACM,D,420,1129.0,1387.0,1525.0,420
HDB,C,8710,13607.94,15007.0,15724.0,13600
LPB,C,8440,12887.33,14125.11,14707.7,12900
MBB,A,9260,14949.800000000001,16541.68,17417.0,17400
ADC,B,1210,3835.98,5179.0,6012.8,5180
MSB,A,13400,19208.33,20710.14,21484.8,21500
ALT,B,3140,6210.59,7111.77,7595.0,7110
OCB,A,8590,13310.0,14592.0,15318.15,15300
AMC,B,6560,12431.47,14180.94,15107.35,14200
SSB,C,16200,23352.54,25334.96,26557.5,23350
AME,C,2540,4336.7,4917.1,5249.0,4340
STB,C,6260,11244.0,12783.91,13594.85,11250
AMV,A,3450,5407.99,5957.97,6245.0,6240
TCB,A,24500,33679.84,36231.64,37541.2,37550
API,C,6280,14747.7,17762.82,19431.800000000003,14750
TPB,A,18850,27208.0,29351.0,30658.4,30650
APP,B,870,2420.3,3040.0,3391.0,3040
VCB,A,49200,66787.04,70967.84,73099.4,73100
ARM,C,17800,27246.3,30051.34,31375.0,27250
VIB,C,11200,18338.44,20370.22,21505.7,18350
ASG,B,11500,16972.24,18207.36,18888.0,18200
VPB,A,33500,45410.88,48463.8,50141.8,50100
ATS,B,20800,25773.0,26915.09,27605.15,26900
AAA,B,6130,9334.3,10162.0,10602.3,10150
BAX,A,32200,46325.38,50735.56,52738.0,52700
BBS,D,3500,5562.0,6245.93,6605.55,3500
AAM,B,2100,4289.0,5012.0,5404.0,5010
BCC,B,7540,12126.9,13469.34,14195.45,13450
AAT,A,9270,13804.5,15164.94,15828.6,15850
BCF,A,16350,24248.2,26357.7,27492.5,27500
ABS,B,5210,9178.0,10388.0,11025.95,10400
BDB,B,4950,7717.96,8440.94,8809.9,8440
ABT,B,13950,20711.45,22353.34,23211.0,22350
BED,A,20250,28862.94,31413.96,32654.75,32650
ACC,C,5750,9177.82,10162.46,10679.1,9180
BII,A,3290,6836.6,8187.2,8833.0,8830
ACL,B,5260,7639.61,8282.0,8606.0,8280
ADG,B,20600,27832.3,29686.0,30629.5,29700
BKC,D,1130,2517.2,3112.6,3453.0,1130
ADS,C,19850,26671.92,28389.96,29424.6,26650
BLF,D,1280,1908.13,2054.0,2138.0,1280
AGG,B,24550,31322.12,32921.53,33896.0,32900
BNA,B,24650,38936.68,43306.76,45305.0,43300
BPC,B,3710,6409.49,7210.41,7640.0,7210
AGM,B,5370,12312.57,14669.42,15962.85,14650
BSC,Not enough data,8240,11008.57,11686.57,12079.0,Not enough data
AMD,B,520,1401.0900000000001,1709.0,1880.0,1710
BST,B,3450,6462.96,7478.0,7995.8,7480
BTS,B,1730,3891.94,4648.0,5104.0,4650
ANV,C,10500,16448.28,18062.48,18991.0,16450
BTW,A,8120,15416.0,17424.4,18555.0,18550
APC,B,10050,13882.12,15148.0,15811.0,15150
BXH,B,7230,8775.25,9137.0,9330.0,9140
APH,B,11100,18566.32,20712.96,21871.3,20700
C69,Not enough data,2170,4656.0,5504.0,5963.0,Not enough data
ASM,B,3080,5852.85,6779.51,7362.85,6780
C92,C,740,1729.0,2070.0,2276.0,1730
ASP,C,7230,9931.64,10725.92,11175.4,9930
CAG,A,3370,7708.4,9016.0,9781.5,9780
AST,C,29500,38500.36,40882.0,42141.2,38500
CAN,B,6460,13425.42,15545.0,16727.3,15550
BBC,B,20700,35443.02,39644.65,41760.1,39650
CAP,B,50000,61067.1,63862.02,65403.1,63900
BCE,B,6010,8755.1,9478.65,9908.75,9480
CEO,D,2610,4840.0,5464.1,5806.5,2610
CET,B,1440,2520.0,2929.9700000000003,3194.0,2930
BCG,B,6560,10255.09,11236.0,11854.9,11250
CIA,Not enough data,5880,8978.0,9784.9,10265.5,Not enough data
BCM,B,20050,27935.84,30054.42,31165.7,30050
CJC,D,6400,9420.89,10233.89,10652.15,6400
BFC,B,9820,16519.68,18775.0,19982.0,18800
CKV,A,4850,7856.28,8666.0,9085.0,9080
BHN,A,26200,37158.0,40232.0,41874.05,41850
CLH,A,15750,19945.15,21031.45,21561.0,21550
CLM,B,8710,15012.0,16744.3,17727.5,16750
BKG,B,3620,5290.58,5823.0,6108.0,5820
CMC,C,1520,3063.0,3534.1800000000003,3773.0,3060
BMC,A,4970,10974.76,12940.380000000001,14030.3,14050
BMP,A,27500,36603.55,38605.0,39726.55,39750
CMS,C,470,1258.0,1553.0,1717.0,1260
BRC,B,7100,9843.3,10606.0,10990.5,10600
CPC,B,8030,11496.18,12675.59,13287.65,12700
BTP,B,8800,11940.12,12749.0,13165.3,12750
CSC,C,33800,50090.71,54926.19,57358.3,50100
BTT,A,23450,33328.13,35796.13,37127.85,37150
CTB,C,13500,18726.84,20285.0,21092.3,18750
BWE,C,20300,27629.44,29438.88,30522.2,27650
CTC,C,1650,3285.7200000000003,3788.16,4059.0,3290
C32,B,15550,21625.52,23114.39,23845.0,23100
CTP,B,1510,2663.79,3047.79,3269.0,3050
C47,C,5220,7784.05,8467.15,8851.25,7780
CTT,C,4910,6968.28,7659.0,8017.0,6970
CAV,B,33200,43042.0,45425.67,46777.9,45450
CTX,C,2010,3537.32,3999.0,4242.0,3540
