Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group,Breakeven Price
VE2,2880,4530,5070,5360,C,4530
ACB,15950,22750,24500,25500,A,25500
VE3,1160,3110,3840,4250,C,3110
BID,20500,29900,32400,33650,A,33650
CTG,14400,21450,23400,24400,B,23400
VE4,3880,13000,16800,19000,C,13000
EIB,16050,22300,24250,25250,C,22300
VE8,1170,2520,3110,3440,C,2520
HDB,12500,18800,20550,21450,C,18800
VGP,6580,12750,14550,15500,A,15500
LPB,11000,15450,16850,17600,C,15450
VGS,4250,10350,12550,13750,A,13750
MBB,12450,19200,21050,22100,A,22100
VHE,870,2360,2950,3290,B,2950
MSB,11650,17200,18650,19550,A,19550
VHL,8160,13050,14550,15400,B,14550
OCB,11400,17100,18650,19500,A,19500
VIE,3730,6190,7070,7490,C,6190
SSB,17500,25100,27250,28250,C,25100
VIF,8300,11850,12850,13350,A,13350
STB,8900,15800,17850,19050,C,15800
VIT,6090,10250,11700,12500,C,10250
TCB,27100,37450,40000,41250,A,41250
VKC,1640,3220,3840,4200,C,3220
TPB,15800,24300,26550,27900,A,27900
VLA,7120,20000,25050,27950,A,27950
VCB,37900,54900,59500,61800,A,61800
VMC,9390,14650,16200,17000,C,14650
VIB,17650,27550,30150,31700,C,27550
VMS,3540,6580,7450,7950,B,7450
VPB,8750,16350,18700,19950,A,19950
VNC,11200,19200,21350,22500,A,22500
AAA,4020,7620,8730,9320,B,8730
VNF,7370,12250,13850,14750,A,14750
AAM,5380,7700,8370,8740,B,8370
VNT,3500,12700,16700,19100,B,16700
AAT,4430,7100,7850,8240,A,8240
VSA,9940,15750,17600,18450,A,18450
ABS,4760,9400,10700,11500,B,10700
VSM,9750,15350,16850,17750,A,17750
ABT,15050,22750,24700,25700,B,24700
VTC,4840,7880,8710,9200,C,7880
ACC,3550,7640,8990,9740,C,7640
VTH,2470,5010,5750,6150,B,5750
ACL,7600,10950,11800,12300,B,11800
VTJ,560,1740,2220,2490,B,2220
ADG,24700,33600,35700,36800,B,35700
VTL,3300,6120,6880,7290,Not enough data,3300
ADS,12600,18400,19950,20800,C,18400
VTV,2920,4540,5060,5340,C,4540
AGG,18150,26650,28950,30150,B,28950
VXB,3130,10100,12850,14500,C,10100
AGM,6930,14850,17600,19050,B,17600
WCS,89800,123700,131500,135700,A,135700
AMD,1520,2880,3290,3510,B,3290
X20,1740,4020,4930,5450,Not enough data,1740
ANV,6220,12350,14300,15350,C,12350
PRE,9880,12900,13750,14150,B,13750
APC,11200,16000,17350,18050,B,17350
PTI,20650,32200,36050,38000,B,36050
APH,9840,16300,18150,19150,B,18150
PVI,23050,32300,34700,36100,A,36100
ASM,4590,7900,8890,9410,B,8890
VNR,12900,18700,20200,21150,B,20200
ASP,5040,7340,8030,8410,C,7340
APS,3050,7650,9460,10650,B,9460
AST,30850,40300,42700,43900,C,40300
ART,1020,2800,3470,3850,B,3470
BBC,18300,31650,35300,37150,B,35300
BVS,12000,20450,22750,24250,B,22750
BCE,3240,6310,7270,7790,B,7270
EVS,16400,25600,28400,29800,A,29800
BCG,7310,12250,13600,14450,B,13600
HBS,1280,3360,4130,4560,B,4130
BCM,34850,49850,54400,56600,B,54400
BFC,6930,13000,14850,15800,B,14850
IVS,1710,4360,5340,5860,B,5340
BHN,28100,38450,41550,43200,A,43200
MBS,10800,18200,20550,21700,B,20550
BKG,2680,4890,5550,5910,B,5550
PSI,1680,4200,5120,5680,D,1680
SHS,14550,23500,26150,27600,A,27600
BMC,3450,7900,9430,10250,A,10250
VIG,1120,3260,4090,4560,D,1120
BMP,37100,44750,47050,48200,A,48200
WSS,1520,3880,4730,5200,A,5200
BRC,6790,10250,11150,11600,B,11150
BTP,7930,11400,12350,12850,B,12350
BTT,17400,27000,29350,30650,A,30650
BWE,26900,34500,36400,37450,C,34500
C32,12450,18550,20150,20950,B,20150
C47,5080,9500,10850,11600,C,9500
CAV,34700,43700,45900,47000,B,45900
CCI,4690,10450,12350,13400,A,13400
CCL,2620,5590,6570,7090,B,6570
CDC,8340,10950,11700,12100,C,10950
CEE,2830,5860,6850,7380,C,5860
CHP,14450,17300,18000,18350,C,17300
CIG,2340,4600,5300,5680,D,2340
CII,3780,9230,11050,12050,C,9230
CKG,6920,12350,14150,15200,C,12350
CLC,20300,26150,27700,28500,A,28500
CLL,16150,21750,23150,23900,A,23900
CLW,11750,19300,21300,22400,A,22400
CMG,29850,41000,43900,45450,B,43900
CMV,1890,4530,5450,5960,A,5960
CMX,3570,7020,8110,8700,B,8110
CNG,8890,15350,17250,18250,A,18250
COM,8160,16050,19000,20650,A,20650
CRC,2000,4270,4980,5370,D,2000
CRE,9600,17450,19800,21150,A,21150
CSM,8870,12200,13100,13550,C,12200
CSV,11100,19650,22250,23650,A,23650
CTD,43900,62400,67100,69800,A,69800
CTF,15150,18200,18900,19300,B,18900
CTI,4620,8950,10300,11000,C,8950
CVT,18850,27400,29700,30900,B,29700
D2D,29800,40000,43100,44750,A,44750
DAG,2890,5220,5940,6320,D,2890
DAH,2830,5280,6060,6440,C,5280
DAT,3610,7110,8520,9300,B,8520
DBC,30000,45000,48750,50800,B,48750
DBD,30100,37900,39800,40800,A,40800
DBT,5010,7790,8600,9100,C,7790
DC4,11100,15650,17150,17900,B,17150
DCL,15500,22800,25000,26200,C,22800
DCM,6660,12050,13800,14900,A,14900
DGC,39450,65500,74700,79800,A,79800
DGW,18150,40000,47400,51600,A,51600
DHA,31250,40300,42750,43950,A,43950
DHC,36900,51300,55000,57000,A,57000
DHG,50900,68300,72800,75100,A,75100
DHM,6410,8410,8920,9170,B,8920
DIG,19700,34600,38850,41500,C,34600
DLG,2030,3600,4090,4360,D,2030
DMC,27850,36850,39200,40400,A,40400
DPG,15500,27100,30450,32550,B,30450
DPM,10550,18800,21450,23100,A,23100
DPR,36400,48250,51700,53300,A,53300
DQC,19650,26800,29050,30250,C,26800
DRC,12250,18600,20200,21000,A,21000
DRH,5920,10950,12500,13300,C,10950
DRL,40200,48450,51000,52300,A,52300
DSN,30300,37150,38850,39650,A,39650
DTA,4090,8310,9660,10400,C,8310
DTL,28600,36350,38250,39400,C,36350
DTT,9020,11550,12200,12550,B,12200
DVP,33050,43000,45350,46850,A,46850
DXG,12850,19800,21950,23150,A,23150
DXS,7770,14450,16500,17700,A,17700
DXV,1660,3230,3690,3950,B,3690
E1VFVN30,16700,20700,21650,22100,Not enough data,16700
ELC,5910,10700,12150,12900,B,12150
EMC,6110,10200,11300,11900,C,10200
EVE,6000,9380,10250,10700,B,10250
EVG,3520,6540,7420,7970,A,7970
FCM,2460,4560,5200,5540,B,5200
FCN,4500,9140,10650,11400,C,9140
FDC,3320,6090,7150,7740,B,7150
FIR,31500,38450,40300,41100,A,41100
FIT,3290,6250,7170,7630,A,7630
FLC,2990,5750,6560,7010,B,6560
FMC,27150,36150,38900,40200,B,38900
FPT,51100,66100,69700,71900,A,71900
FRT,22200,40950,46750,50000,B,46750
FTM,1260,2460,2830,3020,D,1260
FUCTVGF2,2870,5090,5760,6110,Not enough data,2870
FUCVREIT,2900,5140,5800,6160,Not enough data,2900
FUEMAV30,11300,14100,14800,15150,Not enough data,11300
FUESSV30,8370,12200,13200,13700,Not enough data,8370
FUESSV50,15000,18100,18850,19250,Not enough data,15000
FUESSVFL,13650,16850,17950,18550,Not enough data,13650
FUEVFVND,19250,23250,24150,24700,Not enough data,19250
FUEVN100,12800,15950,16700,17100,Not enough data,12800
GAB,174800,182900,184700,185500,B,184700
GAS,54000,73300,79000,81600,A,81600
GDT,25100,35900,38650,40050,A,40050
GEG,10700,15200,16550,17250,C,15200
GEX,13250,21500,23700,25150,C,21500
GIL,27750,42400,46200,48500,A,48500
GMC,5220,10350,11950,12800,B,11950
GMD,15150,25000,27850,29300,B,27850
GSP,5460,8180,8920,9310,B,8920
GTA,6080,9630,10700,11250,B,10700
GTN,7290,10650,11500,12000,A,12000
GVR,7090,13750,15850,16950,A,16950
HAG,2730,5160,5900,6330,B,5900
HAH,15100,29050,33400,35700,A,35700
HAI,1530,2860,3250,3470,B,3250
HAP,2680,5280,6140,6610,B,6140
HAR,1510,3240,3820,4130,B,3820
HAS,2770,4940,5710,6120,B,5710
HAX,10100,16450,18200,19200,A,19200
HBC,4350,9480,11200,12100,C,9480
HCD,2480,5050,5880,6320,B,5880
HDC,28800,45450,50000,52800,B,50000
HDG,26800,39500,42800,44850,C,39500
HHP,2600,5050,5840,6260,B,5840
HHS,2090,4040,4660,5030,A,5030
HID,1760,3670,4280,4620,C,3670
HII,5910,9460,10300,10850,B,10300
HMC,11600,15950,17350,18050,A,18050
HNG,2130,4050,4650,4960,D,2130
HOT,7780,14900,17250,18600,B,17250
HPG,18950,28250,30750,32100,A,32100
HPX,11250,17900,19750,20750,C,17900
HQC,2180,3750,4260,4500,C,3750
HRC,18100,27600,30750,32450,C,27600
HSG,9460,16350,18550,19900,A,19900
HSL,1950,3850,4460,4780,B,4460
HT1,9270,13200,14400,15000,B,14400
HTI,9870,13150,13950,14400,B,13950
HTL,4590,9070,10500,11250,B,10500
HTN,9340,19000,22100,23800,B,22100
HTV,6120,9060,9790,10150,A,10150
HU1,2110,4610,5450,5910,B,5450
HU3,1850,3450,4030,4350,C,3450
HUB,14450,20450,22000,22800,A,22800
HVH,2480,4720,5410,5780,B,5410
HVN,11850,16850,18150,18850,C,16850
HVX,1540,3040,3520,3780,B,3520
IBC,13750,16200,16750,17050,Not enough data,13750
ICT,8030,11700,12700,13200,C,11700
IDI,3290,6010,6840,7320,B,6840
IJC,9420,15050,16800,17800,B,16800
ILB,15550,21400,23150,24000,C,21400
IMP,50300,62700,65800,67400,A,67400
ITA,3170,6230,7170,7730,B,7170
ITC,5590,9200,10250,10800,Not enough data,5590
ITD,3140,6120,7060,7560,C,6120
JVC,1420,3080,3630,3930,Not enough data,1420
KBC,11800,23000,26600,28550,B,26600
KDC,38550,44850,46400,47200,B,46400
KDH,26100,36600,39250,40550,A,40550
KHG,3930,7680,8860,9500,A,9500
KHP,4890,7950,8940,9470,C,7950
KMR,1280,2790,3290,3570,B,3290
KOS,27200,30300,31050,31400,B,31050
KPF,6000,8970,9880,10400,B,9880
KSB,14400,23000,25300,26700,B,25300
L10,3350,8630,10450,11500,C,8630
LAF,2620,6520,8010,8830,B,8010
LBM,38550,57300,62200,64600,A,64600
LCG,3240,6950,8180,8840,C,6950
LCM,1610,3010,3460,3710,C,3010
LDG,2360,5500,6640,7250,B,6640
LEC,1870,4320,5170,5630,C,4320
LGC,7610,15350,18050,19800,C,15350
LGL,1830,3870,4540,4900,C,3870
LHG,23000,33000,35550,37100,A,37100
LIX,33500,40100,41750,42550,B,41750
LM8,3150,6300,7320,7860,C,6300
LSS,2220,4690,5510,5950,B,5510
MCG,2750,4930,5550,5900,C,4930
MCP,11950,19100,21000,21950,B,21000
MDG,1940,4500,5380,5870,C,4500
MHC,2060,4380,5140,5560,A,5560
MSH,45300,57500,61000,63000,A,63000
MSN,72400,98300,106100,110100,B,106100
MWG,44550,72400,80400,84500,A,84500
NAF,8900,12550,13500,14000,B,13500
NAV,4140,8570,10000,10800,A,10800
NBB,5490,10400,12300,13350,B,12300
NCT,66500,75200,77200,78300,A,78300
NHA,14050,26850,30650,33050,C,26850
NHH,8300,14950,17000,18100,C,14950
NKG,13950,21850,24050,25300,A,25300
NLG,11850,22650,26200,28150,B,26200
NNC,12500,17100,18250,18900,A,18900
NSC,46550,58100,61000,62400,B,61000
NT2,11650,15850,16900,17450,A,17450
NTL,8440,15600,17800,18950,A,18950
NVL,27650,43200,47600,49900,B,47600
NVT,2270,4720,5520,6000,D,2270
OGC,1750,3450,3990,4280,B,3990
OPC,24000,34850,37400,38850,C,34850
PAC,17950,24650,26350,27250,B,26350
PAN,10200,16900,18700,19650,B,18700
PC1,14400,21600,23450,24550,C,21600
PDN,45250,62000,67700,70600,A,70600
PDR,29150,47550,52700,55500,B,52700
PET,7750,15350,17750,19050,A,19050
PGC,9490,14000,15200,15900,C,14000
PGD,11500,17950,19550,20450,A,20450
PHC,4630,7630,8480,8950,C,7630
PHR,33950,50700,55000,57300,A,57300
PIT,1830,3430,3980,4290,C,3430
PJT,5280,7520,8130,8430,C,7520
PLP,2860,5630,6530,7010,D,2860
PLX,32250,41800,44350,45700,A,45700
PME,34300,50600,54600,56600,A,56600
PMG,4500,7790,8790,9310,C,7790
PNC,3190,5250,5790,6070,C,5250
PNJ,56900,74200,78300,80700,A,80700
POM,3900,7000,7920,8410,C,7000
POW,3960,7520,8650,9260,B,8650
PPC,11150,15350,16350,16900,A,16900
PSH,3950,8570,10050,10850,C,8570
PTB,56300,73900,78200,80700,B,78200
PTC,14650,25950,29500,31550,Not enough data,14650
PTL,3510,6530,7420,7920,B,7420
PVD,6470,12500,14350,15400,B,14350
PVT,9580,14200,15400,16100,A,16100
PXI,1310,2400,2820,3050,C,2400
PXS,2080,4230,4910,5280,C,4230
QBS,1440,2890,3350,3600,B,3350
QCG,2530,4900,5770,6250,C,4900
RAL,49750,75600,82700,86300,B,82700
RDP,2110,4290,5000,5370,C,4290
REE,35450,47850,50900,52600,A,52600
RIC,4150,7140,8280,8910,C,7140
ROS,1950,3720,4250,4540,C,3720
S4A,19600,23600,24550,25100,C,23600
SAB,84100,108200,114300,117300,A,117300
SAM,4340,8260,9480,10200,C,8260
SAV,6430,11750,13400,14250,B,13400
SBA,13450,15900,16450,16800,B,16450
SBT,5040,9640,11100,11900,B,11100
SBV,7500,10550,11300,11750,C,10550
SC5,4100,9220,10950,11900,C,9220
SCD,8810,11950,13000,13550,B,13000
SCR,3060,6790,8040,8720,B,8040
SCS,105400,128500,133900,137100,A,137100
SFC,7300,12300,13650,14350,A,14350
SFG,4940,8530,9670,10400,B,9670
SFI,40450,52900,56200,57800,A,57800
SGN,54500,63300,65300,66400,A,66400
SGR,8430,14200,16150,17200,B,16150
SGT,4920,10700,12600,13650,C,10700
SHA,1560,3210,3720,4000,C,3210
SHI,4970,8320,9270,9830,C,8320
SHP,14300,18200,19300,19850,C,18200
SII,2230,5300,6370,6960,C,5300
SJD,13000,15800,16450,16800,A,16800
SJF,3700,6410,7270,7770,B,7270
SJS,40000,55600,60200,62300,B,60200
SKG,8410,12150,13100,13700,A,13700
SMA,1440,3360,4020,4390,C,3360
SMB,27950,33450,34800,35450,A,35450
SMC,9160,17350,19900,21200,A,21200
SPM,7250,11100,12250,12800,B,12250
SRC,9560,12900,13850,14350,D,9560
SRF,9570,12650,13400,13800,C,12650
SSC,10200,19300,21900,23200,B,21900
ST8,3040,5510,6240,6660,A,6660
STG,12150,17600,19300,20150,A,20150
STK,25150,34300,37050,38500,A,38500
SVC,18050,39200,46250,50500,B,46250
SVD,2760,4780,5280,5560,C,4780
SVI,26400,40050,43800,45750,B,43800
SVT,5620,9190,10200,10750,A,10750
SZC,17150,32650,37450,40000,B,37450
SZL,36400,45550,47950,49150,A,49150
TAC,32900,45750,49000,50900,B,49000
TBC,19250,24650,25950,26600,A,26600
TCD,5700,10450,11850,12650,B,11850
TCH,6620,10850,12100,12700,A,12700
TCL,20050,27600,29500,30650,A,30650
TCM,27200,39150,42700,44600,B,42700
TCO,4030,7370,8620,9300,A,9300
TCR,1650,3010,3490,3750,C,3010
TCT,23750,30900,32650,33700,A,33700
TDC,4880,9740,11300,12100,D,4880
TDG,2390,4430,5210,5650,C,4430
TDH,2710,4900,5670,6090,A,6090
TDM,19800,25550,26950,27800,A,27800
TDP,13750,18050,19300,19950,C,18050
TDW,11700,19400,21450,22550,A,22550
TEG,3380,5930,6890,7420,A,7420
TGG,3720,7190,8310,9020,A,9020
THG,44750,59000,62500,64500,B,62500
THI,14750,19500,20700,21350,C,19500
TIP,15450,25250,28700,30600,A,30600
TIX,14100,19850,21650,22550,A,22550
TLD,1940,3980,4640,4990,C,3980
TLG,21600,29100,31050,32000,A,32000
TLH,4020,7810,9040,9740,A,9740
TMP,34500,42750,45200,46400,A,46400
TMS,29950,46800,51300,53800,A,53800
TMT,3160,6740,7910,8540,C,6740
TN1,10250,17650,19800,21000,A,21000
TNA,6000,9670,10600,11150,B,10600
TNC,5140,12200,14700,16050,A,16050
TNH,15500,24100,26350,27750,A,27750
TNI,1390,2980,3520,3820,B,3520
TNT,3170,6240,7290,7950,A,7950
TPC,1750,3710,4350,4700,C,3710
TRA,52100,66900,70400,72600,A,72600
TRC,23150,31100,33400,34600,C,31100
