Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group,Breakeven Price
ACB,15900,22700,24500,25450,A,25450
BAB,8570,13300,14600,15350,C,13300
BID,20100,29300,31800,33100,A,33100
NVB,11350,17900,19800,20800,C,17900
CTG,14550,21700,23650,24650,B,23650
SHB,7700,12700,14050,14850,C,12700
EIB,16600,23000,25000,26000,C,23000
AAV,8710,13950,15450,16300,B,15450
HDB,12300,18550,20200,21100,C,18550
ACM,280,770,960,1070,D,280
LPB,6680,11900,13500,14350,C,11900
ADC,1650,5470,7060,7980,B,7060
MBB,12700,19600,21450,22550,A,22550
ALT,1020,3900,5110,5810,B,5110
MSB,11500,17000,18450,19300,A,19300
AMC,7120,11600,13250,14200,B,13250
OCB,11450,17150,18700,19550,A,19550
AME,1660,3940,4730,5170,C,3940
SSB,17450,25000,27150,28150,C,25000
AMV,3520,5920,6620,7000,A,7000
STB,9040,16000,18050,19250,C,16000
API,9170,21800,26350,28900,C,21800
TCB,27050,37400,40000,41250,A,41250
TPB,16350,25100,27400,28800,A,28800
APP,800,2590,3270,3660,B,3270
VCB,37250,54100,58600,60900,A,60900
ARM,22050,31550,34100,35450,C,31550
VIB,17450,27250,29900,31400,C,27250
ASG,17600,21400,22550,23150,B,22550
VPB,8460,15850,18150,19400,A,19400
ATS,16550,21700,23000,23700,B,23000
AAA,4380,7760,8850,9520,B,8850
BAX,36050,50100,53700,55700,A,55700
AAM,3090,5460,6210,6680,B,6210
BBS,4170,6600,7340,7760,D,4170
AAT,4770,7590,8390,8820,A,8820
BCC,2800,6500,7780,8480,B,7780
ABS,4770,9420,10750,11550,B,10750
BCF,19750,26950,28800,29750,A,29750
ABT,15050,22800,24750,25750,B,24750
BDB,2560,5070,5790,6180,B,5790
ACC,3360,7280,8590,9300,C,7280
BED,20450,29000,31600,32850,A,32850
ACL,7290,10550,11400,11900,B,11400
BII,970,2700,3370,3750,A,3750
ADG,25100,34150,36250,37400,B,36250
BKC,1560,3230,3910,4300,D,1560
ADS,12450,18200,19750,20650,C,18200
BLF,2110,3210,3500,3680,D,2110
AGG,18150,26650,28950,30150,B,28950
BNA,19700,27850,30250,31300,B,30250
BPC,3310,5900,6700,7110,B,6700
AGM,6600,14250,16950,18300,B,16950
BSC,11450,16150,17400,18100,Not enough data,11450
AMD,1480,2820,3220,3440,B,3220
BST,1430,3960,4930,5540,B,4930
ANV,6240,12400,14300,15350,C,12400
BTS,1880,3990,4770,5220,B,4770
APC,11200,15950,17300,18000,B,17300
BTW,8960,15900,17800,18850,A,18850
APH,7580,12950,14500,15350,B,14500
BXH,7770,10900,11650,12150,B,11650
ASM,4460,7680,8660,9170,B,8660
C69,3120,6240,7270,7860,Not enough data,3120
ASP,5220,7620,8330,8720,C,7620
C92,840,2260,2790,3080,C,2260
AST,30150,39450,41850,43050,C,39450
CAG,4460,8340,9560,10200,A,10200
BBC,19250,32950,36650,38600,B,36650
CAN,3910,13300,17000,19150,B,17000
BCE,3230,6320,7300,7820,B,7300
CAP,59600,71700,74500,76300,B,74500
BCG,7390,12350,13750,14600,B,13750
CDN,10900,16450,18000,18850,Not enough data,10900
BCM,33750,48500,52900,55100,B,52900
BFC,7210,13500,15400,16400,B,15400
CEO,3620,12000,15550,17550,D,3620
BHN,27250,36950,39800,41350,A,41350
CET,780,2150,2670,2970,B,2670
BKG,2850,5000,5620,5980,B,5620
CIA,5960,9110,9980,10400,Not enough data,5960
BMC,4090,8530,9970,10750,A,10750
CJC,3310,5740,6450,6830,D,3310
BMP,29450,40000,42700,44050,A,44050
CKV,9780,13900,15000,15600,A,15600
BRC,4410,7580,8490,9010,B,8490
CLH,16100,21050,22300,23000,A,23000
BTP,7920,11350,12350,12850,B,12350
CLM,6820,13150,15100,16150,B,15100
BTT,18900,29300,31850,33200,A,33200
CMC,1460,3490,4210,4660,C,3490
BWE,27200,34800,36750,37750,C,34800
