Ticker,Group          ,Breakeven Price,1% at Risk        ,3% at Risk        ,5% at Risk        ,Proposed Price
HMH   ,A              ,6350           ,9670.61           ,10542.61          ,11087.35          ,11100
DQC   ,C              ,10600          ,15107.960000000001,16265.68          ,16972.0           ,15100
HOM   ,B              ,2300           ,3668.54           ,4102.0            ,4337.0            ,4100
DRC   ,A              ,16100          ,23359.0           ,25235.47          ,26166.0           ,26150
HPM   ,B              ,9070           ,10054.0           ,10275.0           ,10386.0           ,10300
HTC   ,A              ,13000          ,18874.64          ,20453.8           ,21267.2           ,21250
DRH   ,C              ,3470           ,5755.0            ,6419.96           ,6772.2            ,5760
DRL   ,A              ,39450          ,47657.56          ,49450.0           ,50361.95          ,50400
HTP   ,B              ,1480           ,5165.0            ,6733.0            ,7652.55           ,6730
DSN   ,A              ,27900          ,33475.92          ,34834.0           ,35514.0           ,35500
HUT   ,C              ,2940           ,4852.0            ,5429.0            ,5720.0            ,4850
DTA   ,Not enough data,5960           ,9539.64           ,10513.2           ,11055.0           ,Not enough data
HVT   ,B              ,14350          ,22229.47          ,24419.0           ,25543.9           ,24400
DTL   ,D              ,15550          ,22085.9           ,24164.8           ,25357.0           ,15550
ICG   ,B              ,1710           ,3316.0            ,3766.2            ,4024.0            ,3770
DTT   ,Not enough data,7160           ,9725.0            ,10333.0           ,10642.0           ,Not enough data
IDC   ,C              ,16700          ,24895.32          ,27622.0           ,29139.6           ,24900
DVP   ,A              ,30050          ,40277.57          ,42763.84          ,44289.85          ,44300
IDJ   ,A              ,9750           ,14577.94          ,16168.62          ,16921.7           ,16900
DXG   ,B              ,7080           ,11254.49          ,12376.08          ,12996.95          ,12400
IDV   ,A              ,25300          ,36301.5           ,39199.3           ,40806.0           ,40800
DXV   ,B              ,730            ,1503.0            ,1755.0            ,1901.3000000000002,1760
INC   ,B              ,2420           ,4656.31           ,5282.0            ,5636.0            ,5280
ELC   ,B              ,9090           ,13185.26          ,14343.12          ,14896.0           ,14350
DDG   ,C              ,30000          ,33535.45          ,34410.28          ,34808.0           ,33550
EMC   ,Not enough data,7460           ,11394.64          ,12374.92          ,12919.0           ,Not enough data
INN   ,A              ,18700          ,24538.6           ,26282.65          ,27187.75          ,27200
EVE   ,B              ,6240           ,9041.92           ,9879.0            ,10307.0           ,9880
ITQ   ,C              ,640            ,1683.0            ,2096.84           ,2374.0            ,1680
EVG   ,A              ,2390           ,4606.76           ,5302.0            ,5672.8            ,5670
LEC   ,D              ,2460           ,4842.08           ,5651.08           ,6164.0            ,2460
KDM   ,A              ,690            ,2028.2            ,2549.3            ,2843.5            ,2840
ROS   ,C              ,1100           ,2071.0            ,2382.0            ,2563.0            ,2070
KHS   ,B              ,9730           ,14860.51          ,16714.26          ,17875.0           ,16700
FCM   ,B              ,3330           ,4406.0            ,4752.0599999999995,4932.0            ,4750
FCN   ,C              ,3890           ,6534.68           ,7355.0            ,7862.8            ,6530
KKC   ,A              ,8410           ,13318.74          ,15282.26          ,16308.4           ,16300
FDC   ,B              ,3800           ,6160.0            ,6745.0            ,7066.0            ,6740
KLF   ,A              ,390            ,1038.0            ,1284.0            ,1438.0            ,1440
FIR   ,B              ,18650          ,25560.36          ,27332.04          ,28272.0           ,27350
GKM   ,B              ,11550          ,15965.48          ,17090.44          ,17755.6           ,17100
KMT   ,B              ,3180           ,5113.72           ,5651.08           ,5915.0            ,5650
FIT   ,A              ,5960           ,9050.82           ,10188.0           ,10829.55          ,10850
KSD   ,Not enough data,490            ,1161.0            ,1391.0            ,1528.0            ,Not enough data
FLC   ,B              ,3890           ,5774.32           ,6511.0            ,6902.0            ,6510
KSQ   ,A              ,1450           ,2455.46           ,2869.92           ,3121.0            ,3120
FMC   ,B              ,23200          ,30484.78          ,32930.67          ,34249.3           ,32950
