Ticker,Group,Breakeven Price,1% at Risk,3% at Risk,5% at Risk,Proposed Price
BAB,C,8900,13688.08,15172.16,15906.0,13700
ACB,A,13700,19918.92,21497.82,22485.0,22500
NVB,C,12300,18510.92,20456.52,21272.4,18500
BID,A,18900,26012.0,27883.22,28831.7,28850
SHB,C,9560,15587.37,17230.33,18112.0,15600
CTG,B,12100,18500.45,20249.0,21152.75,20250
AAV,B,9770,15214.0,16980.06,17960.7,17000
EIB,C,12000,16724.0,18152.0,18841.15,16700
ACM,D,420,1153.0,1425.0,1573.0,420
HDB,C,7500,12547.83,14009.49,14780.0,12550
LPB,C,9760,14313.5,15620.25,16309.75,14300
MBB,A,9640,15439.56,17009.51,17939.95,17950
ADC,B,930,3952.24,5458.18,6370.3,5460
MSB,A,13550,19585.55,21033.62,21839.2,21850
ALT,B,3250,6424.0,7353.78,7845.3,7350
OCB,A,8360,13032.78,14310.56,15033.0,15050
AMC,B,10200,16247.35,18353.0,19521.25,18350
SSB,C,16000,23321.52,25246.24,26494.9,23300
AME,C,2670,4552.22,5132.0,5466.05,4550
STB,C,6510,11907.5,13590.0,14480.75,11900
AMV,A,4140,6375.0,7008.0,7333.0,7330
TCB,A,25450,34622.07,37134.77,38476.65,38500
API,D,13650,22297.41,25101.62,26476.85,13650
TPB,A,18150,26168.0,28207.85,29478.75,29500
VCB,A,50900,68376.3,72528.57,74648.9,74600
APP,B,840,2321.44,2908.66,3238.0,2910
VIB,C,12650,20306.05,22346.35,23643.5,20300
VPB,A,36700,48449.6,51481.0,53379.25,53400
AAA,B,6700,10080.96,10976.49,11439.15,11000
AAM,B,1860,3935.0,4638.0,5019.0,4640
AAT,A,9830,14565.0,15883.05,16681.75,16700
ABS,B,5640,9703.5,10923.0,11565.0,10900
ABT,B,11100,16272.44,17539.32,18245.0,17550
ACB,A,13700,19918.92,21497.82,22485.0,22500
ACC,C,5180,8250.0,9124.0,9570.0,8250
ACL,B,5240,7627.54,8271.0,8601.0,8270
ARM,C,21600,31823.74,34792.45,36266.3,31800
ADG,B,21500,28975.5,30901.25,31882.0,30900
ADS,C,18400,24817.28,26463.48,27449.0,24800
AGG,B,25950,32913.0,34614.0,35622.0,34600
AGM,B,7250,15244.78,17936.17,19337.9,17950
AMD,B,600,1564.29,1895.0,2079.0,1900
ASG,B,12650,17904.75,19231.5,19983.75,19250
ATS,B,20800,25773.0,26915.09,27605.15,26900
ANV,C,11750,17411.85,19274.55,20249.0,17400
BAB,C,8900,13688.08,15172.16,15906.0,13700
APC,B,9800,13543.48,14786.44,15440.4,14800
BAX,A,32200,46173.04,50607.8,52787.0,52800
BBS,D,3340,5308.0,5992.0,6362.0,3340
BCC,B,7290,11592.06,12858.59,13538.0,12850
BCF,A,15900,23688.0,25792.0,26883.0,26900
BDB,B,6220,8429.32,9112.880000000001,9468.8,9110
BED,A,20250,28862.94,31413.96,32654.75,32650
BII,B,7190,12809.72,15738.48,16749.6,15750
BKC,D,1380,2811.0,3274.0,3515.0,1380
BLF,D,1390,2058.0,2232.0,2322.0,1390
BNA,B,24650,39046.66,43398.57,45467.75,43400
BPC,B,3190,5556.0,6266.0,6641.9,6270
APH,B,12200,20307.0,22621.93,23851.55,22600
BSC,Not enough data,7610,10101.82,10734.46,11075.1,Not enough data
ASM,B,3420,6468.93,7488.79,8124.65,7490
BST,B,3660,6998.82,8070.0,8632.0,8070
ASP,C,5000,6857.9400000000005,7426.0,7678.85,6860
BTS,B,1630,3569.75,4242.75,4646.25,4240
AST,C,28950,37610.62,39926.29,41215.2,37600
BTW,A,7330,13934.54,15754.619999999999,16763.0,16750
