Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Groupp,Breakeven Price
ACB,13197.0,19379.6,21030.76,21936.6,A,21950
BAB,8249.0,12854.99,14232.9,14921.3,C,12850
BID,18313.0,25261.7,27068.0,27992.0,A,28000
NVB,10963.0,16885.88,18673.48,19493.9,C,16900
CTG,10595.0,16380.14,17997.42,18846.4,B,18000
SHB,9375.0,15573.0,17316.32,18217.0,C,15550
EIB,10275.0,14643.0,15864.24,16493.2,C,14650
AAV,10392.0,15603.14,17304.77,18297.55,B,17300
HDB,8449.0,13285.94,14673.82,15386.0,C,13300
ACM,569.0,1416.0,1713.0,1873.0,D,570
LPB,8167.0,12652.44,13864.66,14489.05,C,12650
MBB,9888.0,15657.0,17225.0,18121.4,A,18100
ADC,884.0,3346.76,4548.0,5277.4,B,4550
MSB,8934.0,13558.0,14780.0,15490.0,A,15500
ALT,3055.0,6397.37,7408.11,7948.0,B,7410
OCB,10724.0,16251.54,17709.0,18620.0,A,18600
AMC,5389.0,10561.22,12089.0,12913.3,B,12100
SSB,16955.0,24245.55,26260.7,27381.25,C,24250
AME,2976.0,4907.9400000000005,5532.23,5865.0,C,4910
STB,6616.0,11906.0,13538.52,14401.2,C,11900
AMV,3822.0,5980.91,6594.73,6913.0,A,6910
TCB,26587.0,36337.88,39031.0,40264.2,A,40250
API,8175.0,19120.9,23020.1,25171.0,C,19100
TPB,19057.0,27544.24,29726.36,31045.3,A,31050
APP,965.0,3006.98,3835.4700000000003,4301.0,B,3840
VCB,47855.0,65317.27,69402.0,71503.0,A,71500
ARM,19826.0,30334.76,33396.59,34887.45,C,30350
VIB,11930.0,19480.65,21651.9,22811.0,C,19500
ASG,14390.0,19266.2,20520.8,21148.0,B,20500
VPB,8874.0,16660.28,19056.92,20391.0,A,20400
ATS,20784.0,25773.0,26915.09,27605.15,B,26900
AAA,6521.0,9817.92,10698.0,11153.0,B,10700
BAX,33832.0,45957.24,50021.04,52164.2,A,52200
AAM,2167.0,4162.24,4832.0,5255.0,B,4830
BBS,4038.0,6226.5599999999995,6974.5599999999995,7386.6,D,4040
AAT,7371.0,11514.66,12707.98,13340.0,A,13350
BCC,9744.0,15414.300000000001,17142.44,17947.0,B,17150
ABS,4886.0,8759.0,9952.51,10583.0,B,9950
BCF,16334.0,23736.93,25710.17,26789.4,A,26800
ABT,14722.0,21551.17,23262.02,24125.0,B,23250
BDB,7129.0,10586.13,11707.78,12201.65,B,11700
ACC,6638.0,10510.66,11614.0,12188.65,C,10500
BED,20265.0,28862.94,31413.96,32654.75,A,32650
ACL,5859.0,8328.55,8994.0,9332.25,B,8990
BII,4000.0,7941.0,9432.0,10222.0,A,10200
ADG,22665.0,30574.15,32614.45,33629.75,B,32600
ADS,15556.0,21984.78,23868.41,24792.25,C,22000
BKC,1746.0,3668.5,4259.25,4572.0,D,1750
AGG,28526.0,36194.85,38151.93,39178.85,B,38150
BLF,1698.0,2428.71,2624.0,2724.0,D,1700
BNA,19387.0,28424.72,31050.69,32349.2,B,31050
AGM,5133.0,12044.6,14367.0,15677.0,B,14350
BPC,3349.0,5706.55,6406.65,6771.0,B,6410
AMD,535.0,1482.21,1821.0,2008.0,B,1820
BSC,7646.0,10298.0,10963.06,11330.55,Not enough data,7650
BST,4505.0,7271.05,8268.15,8838.25,B,8270
ANV,11474.0,18000.31,19747.93,20785.0,C,18000
BTS,1717.0,3871.0,4621.0,5067.0,B,4620
APC,9712.0,13371.85,14557.55,15169.25,B,14550
BTW,8270.0,15559.32,17575.16,18722.0,A,18700
APH,11350.0,19055.0,21267.0,22448.0,B,21250
BXH,7343.0,8392.0,8634.0,8756.0,B,8630
C69,4975.0,8324.75,9305.0,9853.75,Not enough data,4980
ASM,3761.0,7124.0,8254.0,8959.4,B,8250
C92,743.0,1828.0,2214.0,2428.0,C,1830
ASP,6083.0,8598.84,9389.13,9784.0,C,8600
CAG,3117.0,7228.360000000001,8477.02,9188.0,A,9190
AST,30033.0,39117.57,41487.42,42783.0,C,39100
CAN,7444.0,15505.33,17922.0,19304.65,B,17900
CAP,56430.0,65871.63,69348.62,70805.55,B,69300
BBC,11687.0,23733.68,27535.12,29752.2,B,27550
CDN,10951.0,16442.88,18235.64,19183.2,Not enough data,10950
BCE,8023.0,11183.85,12193.31,12676.0,B,12200
CEO,3051.0,5644.0,6361.0,6775.4,D,3050
CET,1445.0,2898.16,3366.24,3662.0,B,3370
BCG,9214.0,14100.0,15497.0,16234.15,B,15500
CIA,5892.0,9042.0,9862.02,10355.0,Not enough data,5890
BCM,21124.0,29418.48,31708.11,32898.85,B,31700
CJC,5801.0,8797.0,9616.43,10048.0,D,5800
BFC,9608.0,17260.0,19619.0,20867.0,B,19600
BHN,28024.0,38659.53,41858.0,43551.3,A,43550
CKV,5274.0,8077.03,8847.0,9251.0,A,9250
CLH,16277.0,20484.12,21568.2,22086.4,A,22100
BKG,4068.0,5848.95,6433.85,6741.75,B,6430
CLM,7905.0,14751.32,16714.66,17812.3,B,16700
BMC,4269.0,9696.0,11586.0,12595.8,A,12600
CMC,1428.0,2959.0,3422.0,3654.05,C,2960
BMP,31669.0,39648.46,41708.52,42844.0,A,42850
BRC,7891.0,10762.02,11623.0,12028.1,B,11600
CMS,469.0,1329.66,1652.0,1837.0,C,1330
BTP,7802.0,10914.78,11728.0,12151.0,B,11750
CPC,9478.0,13475.31,14794.93,15511.0,B,14800
BTT,24461.0,33286.7,35471.86,36731.0,A,36750
CSC,44261.0,64682.36,69967.84,73439.6,C,64700
