Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group,Breakeven Price
VPS,2750,5850,6830,7380,B,6830
BAB,8480,13200,14450,15250,C,13200
VRC,7870,14150,16000,16950,B,16000
NVB,11850,18650,20650,21650,C,18650
VRE,14150,21300,23100,24000,A,24000
SHB,7190,11950,13250,14050,C,11950
VSC,8840,16400,18700,19950,A,19950
AAV,7530,12200,13500,14300,B,13500
VSH,16100,20750,21950,22600,C,20750
ACM,260,740,920,1020,D,260
VSI,4910,9420,10850,11650,C,9420
ADC,1350,4640,6030,6840,B,6030
VTB,5800,7890,8430,8700,A,8700
ALT,1010,3880,5090,5790,B,5090
VTO,2300,4760,5510,5930,B,5510
AMC,7110,11650,13300,14200,B,13300
YBM,2260,4240,4850,5180,C,4240
AME,2010,4290,5070,5540,C,4290
YEG,3920,7680,8900,9550,C,7680
AMV,3120,5260,5890,6220,A,6220
BIC,13950,19400,21000,21800,A,21800
API,7730,19000,23100,25350,C,19000
BMI,13700,20900,22800,23900,A,23900
APP,830,2620,3310,3720,B,3310
BVH,15900,27450,30800,32550,A,32550
ARM,22050,31550,34100,35450,C,31550
MIG,9010,13550,14850,15450,A,15450
ASG,16050,20450,21550,22100,B,21550
PGI,15000,20050,21550,22250,A,22250
ATS,16550,21700,23000,23700,B,23000
AGR,3570,7350,8570,9230,B,8570
BAX,36550,50700,54200,56300,A,56300
APG,4550,8270,9350,10000,B,9350
BBS,3870,6180,6910,7310,D,3870
BSI,6340,12950,15450,16900,B,15450
BCC,2540,5870,7010,7640,B,7010
CTS,5590,12300,14550,15800,A,15800
BCF,18600,26000,27900,28900,A,28900
FTS,11400,20700,23750,25650,B,23750
BDB,3420,6620,7560,8040,B,7560
HCM,12000,19750,21950,23150,A,23150
BED,20450,29000,31600,32850,A,32850
SSI,13800,23300,26000,27600,A,27600
BII,890,2420,2980,3320,A,3320
TVB,2990,6430,7640,8290,A,8290
BKC,1090,2630,3170,3470,D,1090
TVS,11050,19750,22400,23800,A,23800
BLF,2310,3510,3820,4020,D,2310
VCI,9320,20150,23850,25850,A,25850
BNA,20100,28450,30750,32000,B,30750
VDS,7740,14850,17050,18200,B,17050
BPC,2940,5260,5970,6340,B,5970
VIX,5310,10500,12200,13100,B,12200
BSC,11450,16150,17400,18100,Not enough data,11450
VND,11600,24850,29350,31800,A,31800
BST,1400,3880,4830,5430,B,4830
BTS,1710,3540,4280,4700,B,4280
BTW,9320,16200,18100,19150,A,19150
BXH,7770,10900,11650,12150,B,11650
C69,2880,5790,6700,7230,Not enough data,2880
C92,810,2210,2740,3030,C,2210
CAG,4210,7880,8980,9620,A,9620
CAN,4120,13600,17350,19550,B,17350
CAP,58500,70300,73100,74800,B,73100
CDN,9160,14300,15750,16550,Not enough data,9160
CEO,3210,12050,15750,17950,D,3210
CET,760,2070,2560,2840,B,2560
CIA,5320,8170,8960,9380,Not enough data,5320
CJC,3290,5600,6270,6630,D,3290
CKV,9630,13750,14850,15500,A,15500
CLH,15050,19900,21150,21850,A,21850
CLM,6160,12300,14100,15100,B,14100
CMC,1660,3670,4470,4920,C,3670
CMS,3520,8200,10250,11450,C,8200
CPC,6630,11800,13200,13950,B,13200
CSC,45150,65700,72500,76500,C,65700
CTB,8900,14600,16050,16800,C,14600
CTC,670,1860,2310,2570,C,1860
CTP,870,2190,2660,2930,B,2660
CTT,5300,7740,8380,8740,C,7740
CTX,3210,5190,5750,6050,C,5190
CVN,3150,4850,5410,5710,A,5710
CX8,2490,4080,4540,4800,C,4080
D11,8850,14000,15650,16550,Not enough data,8850
DAD,10900,16650,18150,19100,A,19100
DAE,7150,11650,13150,14000,A,14000
DC2,4770,8100,9020,9590,C,8100
DDG,23100,27450,28600,29100,C,27450
DHP,6240,8360,8880,9190,A,9190
DHT,29200,33950,35050,35650,B,35050
DIH,5480,13650,16600,18400,C,13650
DL1,750,2340,2980,3340,B,2980
DNC,12350,25100,28850,30850,A,30850
DNM,15250,24150,26700,28000,C,24150
DNP,5810,9390,10450,11000,C,9390
DP3,47550,68700,74300,77300,A,77300
