Ticker,Group,BreakFeven Price,1% at Risk,3% at Risk,5% at Risk,Proposed Price
MCC,B,5980,7827.88,8295.0,8533.0,8300
HAR,B,2270,3678.9700000000003,4084.91,4292.0,4080
MCF,B,2990,4859.0,5447.0,5775.0,5450
HAS,B,4450,7196.95,7937.85,8338.0,7940
MCO,C,400,1041.0,1289.0,1455.0,1040
HAX,A,7850,12622.0,13922.5,14686.0,14700
MDC,C,1810,4284.18,5351.77,5995.950000000001,4280
MED,C,9880,17846.85,19931.91,21075.85,17850
HBC,C,3780,7078.57,8121.0,8675.0,7080
MEL,B,5620,9196.16,10181.0,10797.8,10200
HCD,B,1600,3614.33,4285.99,4657.0,4290
MHL,D,410,1101.8400000000001,1377.0,1562.0,410
HDC,B,44050,62355.36,67256.72,70307.0,67300
MIM,D,1720,3562.9300000000003,4100.0,4408.0,1720
HDG,C,29000,41776.86,45457.37,47310.0,41800
MKV,C,16600,21708.84,23112.76,23800.0,21700
HHP,B,3840,6504.98,7456.9400000000005,7966.9,7460
MST,C,7070,10223.48,11186.88,11826.8,10200
NAG,C,4320,6124.58,6620.48,6877.9,6120
HHS,A,1570,3034.1,3508.0,3749.0,3750
NAP,A,2340,4864.4,5623.1,6019.0,6020
HID,C,1460,2834.0,3275.0,3511.0,2830
NBC,C,9370,14620.59,16288.32,17322.15,14600
HII,B,6700,10593.52,11607.39,12111.3,11600
NBP,A,4600,7540.42,8375.39,8817.0,8820
HMC,A,13600,18578.9,20104.34,20865.7,20850
NBW,A,4500,9887.96,11572.72,12472.2,12450
NDN,A,9030,13446.11,14614.19,15274.3,15250
HNG,D,2280,3711.74,4106.0,4324.0,2280
NDX,B,3040,4979.26,5472.78,5728.0,5470
HOT,B,7520,13769.0,16164.93,17504.55,16150
NET,A,29550,38106.42,40794.0,42197.6,42200
HPG,A,24950,36155.41,39249.03,40932.85,40950
NFC,A,7430,10137.81,10911.289999999999,11300.0,11300
HPX,C,11500,17703.0,19432.2,20329.0,17700
NHC,A,10100,16482.24,18147.2,19053.0,19050
NRC,B,7150,11776.36,13040.0,13820.3,13050
HQC,C,540,1309.8600000000001,1568.0,1715.0,1310
NSH,C,5190,8734.82,10126.9,10900.3,8730
HRC,C,6320,17169.64,21232.46,23523.55,17150
NST,B,2140,3756.0,4240.0,4500.0,4240
HSG,A,11000,20363.29,23247.58,24916.15,24900
NTH,A,18650,26681.0,28755.25,29860.0,29850
NTP,B,26350,36033.0,38471.0,39623.0,38450
HSL,B,1520,3268.55,3838.6499999999996,4151.0,3840
OCH,C,1910,3315.0,3847.0,4133.0,3320
HT1,B,11650,16102.0,17435.0,18049.0,17450
ONE,C,2760,4335.54,4757.0,5020.700000000001,4340
HTI,B,9450,12935.68,13804.36,14333.0,13800
PBP,B,2270,4624.93,5336.0,5715.0,5340
HTL,B,6580,10664.72,11830.0,12447.0,11850
PCE,A,7630,11760.11,13100.37,13805.75,13800
HTN,B,16100,25628.6,28145.0,29729.25,28150
PCG,B,1500,3531.75,4257.0,4655.0,4260
HTV,A,6390,9427.49,10158.49,10561.0,10550
PCT,A,1210,2726.0,3281.0,3640.75,3640
HU1,B,3580,5660.7300000000005,6402.73,6810.0,6400
PDB,B,5720,8952.68,9893.68,10365.0,9890
HU3,C,2780,4406.0,4822.0,5050.0,4410
PDC,D,620,1516.0,1857.0,2064.0,620
HUB,A,10250,16126.25,17754.55,18603.25,18600
PEN,C,3170,4955.42,5558.13,5832.0,4960
PGN,B,6730,10476.54,11489.81,12111.45,11500
HVH,B,3360,5413.05,6024.15,6327.0,6020
PGS,C,11800,17631.22,19171.22,20106.1,17650
HVN,C,11950,16950.78,18257.34,18983.0,16950
HVX,B,2390,4433.32,5030.24,5349.0,5030
PGT,A,2290,4207.0,4987.0,5452.65,5450
IBC,Not enough data,14500,16947.0,17585.0,17912.0,Not enough data
PHN,A,9690,17751.84,20148.45,21334.0,21350
ICT,C,8860,13283.42,14509.0,15136.55,13300
PHP,A,11150,17600.78,19463.34,20471.8,20450
IDI,B,1740,3113.0,3553.0,3827.0,3550
PIA,A,11000,16404.75,17899.25,18661.0,18650
IJC,B,10950,16914.55,18867.66,19875.0,18850
PIC,A,3210,5462.0,6129.77,6479.0,6480
PJC,B,5340,10096.14,11401.42,12110.7,11400
ILB,C,15400,21876.8,23912.0,24928.0,21900
PLC,B,14250,23384.1,25906.9,27229.0,25900
IMP,A,41750,54036.54,57074.33,58883.55,58900
PMB,A,4970,7995.95,8964.0,9450.0,9450
ITA,B,1720,3255.0,3746.0,4006.0,3750
ITC,Not enough data,7430,10646.36,11548.0,12034.4,Not enough data
PMC,A,27200,39999.03,43135.27,44825.45,44850
ITD,C,10050,14445.58,15863.16,16630.9,14450
PMP,C,4380,7164.51,7908.0,8295.0,7160
JVC,Not enough data,1400,2605.0,3020.0,3252.0,Not enough data
PMS,A,7850,12121.94,13593.82,14419.5,14400
KBC,B,10150,19387.14,22324.68,23891.0,22300
POT,D,5430,8655.0,9577.1,10053.25,5430
KDC,B,39850,47313.11,49244.33,50087.6,49250
PPE,A,1090,3035.36,3810.0,4294.0,4290
KDH,A,25150,31389.09,33318.05,34453.0,34450
PPP,A,4760,7862.6,8743.4,9214.0,9210
KHG,A,1870,4284.49,5121.47,5581.450000000001,5580
PPS,B,6080,8355.65,8966.0,9293.25,8970
KHP,C,4000,5385.0,5730.0,5922.85,5380
PPY,A,2880,5701.0,6606.0,7085.0,7080
PRC,C,8670,12528.42,13609.13,14165.65,12550
KMR,B,1560,3019.26,3487.0,3766.0,3490
PSC,C,7290,11361.79,12433.79,13091.0,11350
KOS,B,13650,19531.63,21127.26,21942.05,21150
PSD,A,13900,21615.3,23986.2,25068.0,25050
KPF,B,4060,7276.5,8259.0,8778.0,8260
PSE,A,4120,7644.77,8677.619999999999,9253.0,9250
KSB,B,11550,18958.4,21087.8,22224.0,21100
PSW,A,4460,7045.08,7939.0,8433.0,8430
PTD,B,12400,15353.57,16094.42,16456.85,16100
L10,C,3080,6987.38,8360.0,9110.45,6990
PTS,C,5630,8576.16,9410.28,9867.8,8580
LAF,B,1420,4081.0,5112.1900000000005,5684.0,5110
PV2,B,530,1270.56,1548.3599999999997,1730.0,1550
LBM,A,29650,39735.01,43132.18,45151.2,45150
PVB,C,4900,8506.0,9470.27,9997.0,8510
PVC,C,4140,6661.86,7513.79,7933.0,6660
LCG,C,4380,7916.0,9070.31,9786.0,7920
PVG,B,7420,10927.28,11908.92,12422.4,11900
LCM,C,910,1597.96,1809.96,1933.0,1600
PVL,B,1320,2808.04,3312.0,3581.4,3310
LDG,B,2820,4551.06,4997.0,5233.0,5000
PVS,B,9840,16000.84,17901.44,18871.0,17900
LEC,C,2230,4580.26,5399.63,5924.0,4580
QHD,A,2540,8671.15,11110.0,12558.0,12550
LGC,C,9120,19633.04,23210.64,25157.4,19650
QST,C,8670,10864.42,11380.52,11694.1,10850
LGL,C,1760,3042.0,3535.0,3798.0,3040
QTC,C,6520,9977.0,10865.0,11317.0,9980
LHG,A,23750,35159.48,38285.66,39788.8,39800
RCL,B,6680,9946.0,10732.0,11161.0,10750
LIX,B,33400,41492.7,43392.7,44449.0,43400
S55,C,13200,20488.25,22798.0,24019.25,20500
LM8,C,4600,6765.0,7383.0,7752.0,6760
S99,C,4920,9025.54,10295.86,10972.0,9030
LSS,B,2830,5590.0,6540.0,7138.0,6540
SAF,A,19450,29812.6,33204.6,34957.0,34950
MCG,C,880,1694.73,1958.0,2112.65,1690
SCI,B,9290,16613.23,18849.69,20032.15,18850
MCP,B,7450,12794.42,14171.0,14974.1,14150
SD2,C,1870,3558.0,4038.0,4299.0,3560
MDG,C,4730,7309.0,8085.0,8523.0,7310
SD4,D,1220,2307.0,2648.0,2827.0,1220
MHC,A,3540,5827.97,6571.0,6943.55,6940
SD5,C,5220,7410.56,8092.34,8433.9,7410
MSH,A,51100,63262.68,67260.76,69382.4,69400
SD6,C,1500,2489.0,2807.0,2985.0,2490
MSN,B,71400,96372.04,104029.42,108040.0,104000
SD9,C,4030,5674.91,6234.0,6527.0,5670
MWG,A,43300,71058.87,78961.05,83109.15,83100
SDA,B,2150,5108.53,6149.59,6775.65,6150
NAF,B,14800,20339.97,21690.64,22519.0,21700
SDC,C,2640,4901.0,5533.0,5885.0,4900
NAV,A,3490,6797.2,7922.0,8628.0,8630
SDN,B,10400,19088.76,21615.56,22993.4,21600
NBB,B,14700,23542.75,25981.25,27299.25,26000
SDT,C,1990,3301.12,3726.0,3953.0,3300
NCT,A,65100,74201.94,76377.99,77541.9,77500
SDU,C,3570,5325.58,5947.0,6277.0,5330
NHA,C,7680,13848.36,16024.0,17257.8,13850
SEB,A,13600,23867.64,26719.68,28304.6,28300
NHH,C,9950,17479.45,19770.4,20977.25,17500
SED,C,12750,16666.96,17687.94,18222.9,16650
NKG,A,21800,31641.78,34294.58,35835.8,35850
SFN,A,6330,11882.0,13444.65,14291.0,14300
NLG,B,24950,32046.08,34220.44,35211.8,34200
SGC,B,22650,39996.32,44618.32,47185.2,44600
NNC,A,11200,16062.88,17323.0,17998.4,18000
SGD,C,3090,5203.0,5823.6900000000005,6148.0,5200
NSC,B,46350,59687.55,63032.9,64738.75,63000
SGH,A,11000,18703.28,21003.06,22198.0,22200
NT2,A,11800,15401.98,16314.98,16783.0,16800
SHE,C,5770,8794.17,9644.0,10080.85,8790
NTL,A,17350,24949.3,27124.79,28120.65,28100
SHN,C,6240,10383.51,11529.59,12239.55,10400
NVL,B,46800,66617.15,71677.86,74725.25,71700
SIC,C,1400,3939.0,4924.96,5517.0,3940
NVT,D,1590,3359.0,3957.7,4306.0,1590
SJ1,D,3980,7512.28,8610.42,9197.0,3980
OGC,B,1890,3139.57,3502.0,3692.0,3500
SJE,C,7950,11709.0,12629.96,13118.0,11700
OPC,C,25700,34891.31,37949.98,39552.65,34900
SLS,B,73000,106637.88,115842.2,120526.4,115800
PAC,B,21000,28610.25,30487.5,31627.0,30500
SMN,B,5810,8381.0,9040.0,9386.0,9040
PAN,B,10300,16603.26,18285.0,19185.3,18300
SMT,C,2480,5949.0,7205.0,7981.550000000001,5950
PC1,C,17300,25165.48,27202.04,28441.8,25150
SPI,A,1320,3282.0,3992.91,4424.0,4420
PDN,A,41000,60714.28,65698.88,68225.0,68200
SRA,A,3230,4970.0,5462.0,5715.0,5720
PDR,B,48150,63072.92,67497.72,70013.8,67500
SSM,B,1740,3252.0,3683.21,3910.35,3680
STC,A,6940,10689.36,11890.0,12538.0,12550
PET,A,6290,11726.92,13530.76,14657.0,14650
STP,B,2290,4117.3,4628.45,4892.0,4630
PGC,C,12550,18110.67,19517.01,20347.0,18100
PGD,A,13650,21283.0,23205.92,24261.0,24250
SVN,B,940,2038.0,2391.0,2594.8,2390
PHC,C,7810,10639.68,11584.01,12142.0,10650
SZB,A,19950,24529.66,25992.49,26726.3,26750
PHR,A,23900,34193.75,36580.25,37843.75,37850
TA9,C,6810,9081.0,9630.0,9949.0,9080
TAR,B,10400,14524.0,15791.81,16447.35,15800
PIT,C,1170,2479.0,2922.0,3161.0,2480
PJT,C,5580,8049.0,8702.4,9042.0,8050
