Ticker,Group,Breakeven Price,1% at Risk,3% at Risk,5% at Risk,Proposed Price
SAV,B,6610,12099.0,13808.56,14715.0,13800
THT,B,6770,10714.32,11862.98,12475.3,11850
SBA,B,12000,14144.22,14649.0,14910.0,14650
TIG,B,6120,9266.07,10294.21,10811.7,10300
SBT,B,4870,9129.0,10434.27,11130.0,10450
TJC,A,3440,6004.37,6884.11,7359.0,7360
SBV,C,6820,9508.04,10369.16,10809.0,9510
TKC,D,1230,2900.0,3476.3999999999996,3830.0,1230
SC5,C,9160,15237.2,16898.12,17792.1,15250
TKU,B,9140,17579.84,20123.2,21576.4,20100
SCD,B,7690,11537.3,12447.0,12937.0,12450
TMB,A,5600,10272.84,11586.0,12260.05,12250
SCR,B,4470,7224.77,7980.3099999999995,8347.85,7980
TMC,B,4210,6298.4,6867.0,7158.0,6870
SCS,A,85400,104655.8,109298.0,111626.5,111600
TMX,A,4110,6998.71,7897.13,8373.0,8370
SFC,A,8830,14366.96,15776.44,16537.2,16550
TNG,C,9580,15078.02,17005.04,18018.1,15100
TPH,C,5810,7893.0,8396.0,8706.35,7890
SFG,B,5100,7452.1,8188.0,8539.0,8190
TPP,D,3690,6245.56,6934.34,7303.0,3690
SFI,A,25250,34570.78,37215.98,38405.3,38400
TSB,B,6280,8420.62,8945.93,9263.0,8950
SGN,A,44250,53889.08,56247.48,57412.8,57400
SGR,B,4560,8907.460000000001,10292.46,11044.0,10300
TST,C,1890,4187.0,4859.0599999999995,5238.1,4190
SGT,C,11100,17870.92,19894.14,21144.2,17850
TTC,A,6520,10013.9,10934.14,11509.0,11500
SHA,C,3730,5033.08,5467.0,5730.0,5030
TTH,B,1060,2100.59,2443.0,2642.0,2440
SHI,C,5510,8924.54,9865.0,10379.0,8920
TTT,A,16250,24551.0,27340.71,28878.85,28900
SHP,C,11650,15892.06,16876.0,17407.0,15900
TTZ,B,870,1862.0,2193.0,2366.0,2190
SII,C,5260,8802.0,9695.0,10209.0,8800
TV3,C,5910,9216.16,10171.48,10692.0,9220
SJD,A,12150,14573.0,15163.5,15456.5,15450
TV4,A,9040,11876.06,12553.18,12908.0,12900
SJF,B,1350,2736.0,3187.1099999999997,3451.0,3190
TVC,A,3510,6500.08,7613.0,8207.7,8210
SJS,B,30700,41507.45,44804.2,46610.5,44800
TVD,C,6570,10629.92,11847.38,12461.65,10650
SKG,A,6770,9566.73,10263.57,10689.0,10700
SMA,C,1430,3067.05,3648.1499999999996,4023.0,3070
TXM,B,740,1788.0,2198.0,2444.0,2200
SMB,A,25200,31053.56,32480.67,33233.45,33250
UNI,C,1290,3518.38,4364.0,4837.0,3520
V12,C,4530,7329.150000000001,8138.09,8560.0,7330
SMC,A,11400,20097.64,23325.92,25098.1,25100
V21,C,1390,3364.63,4017.89,4392.15,3360
SPM,B,8400,12272.89,13467.67,14013.45,13450
SRC,D,8670,12278.0,13372.54,13940.0,8670
SRF,C,6960,8992.0,9605.0,9932.0,8990
SSC,B,10650,20194.48,22772.0,24146.0,22750
ST8,A,5090,7290.03,7823.0,8100.0,8100
STG,A,10600,15682.32,16996.64,17799.4,17800
STK,A,24800,33660.38,36036.54,37490.15,37500
SVC,B,30000,46848.85,51154.65,53362.75,51200
SVD,C,2610,4621.0,5131.0,5414.6,4620
SVI,B,27250,44773.35,49258.05,51770.5,49250
SVT,A,3950,7406.0,8503.0,9145.4,9150
VBC,C,6750,11653.57,13022.14,13678.0,11650
VC1,C,4360,6866.38,7624.0,8003.0,6870
SZC,B,9620,19203.0,22379.6,24017.0,22400
SZL,A,29400,37559.5,39580.0,40605.0,40600
VC2,C,14050,21530.97,23818.0,25228.45,21550
TAC,B,25100,35330.74,37909.66,39397.05,37900
VC3,B,13500,18331.56,19550.76,20260.0,19550
TBC,A,18700,22854.34,23816.72,24369.1,24350
VC6,C,2260,4233.0,4833.0,5145.0,4230
VC7,C,2750,5756.74,7013.0,7725.9,5760
TCD,B,11100,16185.11,17860.66,18681.2,17850
TCH,A,4610,7978.7,9049.0,9709.7,9710
VC9,D,1800,3496.26,4021.7799999999997,4330.3,1800
TCL,A,15700,23251.34,25245.86,26370.4,26350
VCC,C,5540,9050.22,10215.98,10795.0,9050
TCM,B,28250,42070.26,45435.48,47534.55,45450
VCM,B,4900,7844.28,8659.28,9129.8,8660
TCO,A,4940,10286.25,12201.3,13322.25,13300
VCS,A,72400,90386.4,96905.2,99990.2,100000
TCR,C,830,1607.67,1926.0,2101.0,1610
VDL,Not enough data,4160,8080.2,9189.6,9833.0,Not enough data
TCT,A,15150,20907.76,22259.0,22953.0,22950
VE1,A,900,1954.27,2253.0,2419.0,2420
TDC,D,5500,9791.6,11066.7,11781.0,5500
VE2,C,6280,8729.3,9395.0,9743.25,8730
TDG,C,1180,2380.75,2780.0,3016.75,2380
VE3,C,760,1905.0,2422.7200000000003,2717.4000000000005,1900
TDH,A,3040,5105.15,5817.45,6198.0,6200
VE4,C,5200,12519.16,15073.08,16445.0,12500
TDM,A,16400,21221.88,22399.0,23046.1,23050
TDP,C,10100,15384.93,16857.79,17619.0,15400
VE8,C,2030,3923.0,4468.0,4755.200000000001,3920
VGP,A,8820,13851.53,15571.380000000001,16487.15,16500
TDW,A,6180,12399.5,14742.0,16036.0,16050
VGS,A,4900,10087.12,12181.0,13400.3,13400
TEG,A,2990,5316.3,6147.9,6591.5,6590
TGG,A,25150,33370.3,37176.32,38747.85,38750
VHE,B,690,2096.73,2643.0,2958.0,2640
THG,B,40450,51556.53,54132.0,55723.7,54100
VHL,B,9070,13383.0,14805.0,15544.0,14800
THI,C,13950,18427.28,19852.96,20585.0,18450
VIE,C,1730,2890.0,3176.09,3337.15,2890
TIP,A,18100,25370.76,27606.28,28733.2,28750
VIF,A,7150,10104.59,11028.59,11505.0,11500
TIX,A,5420,11461.92,13457.28,14594.2,14600
VIT,C,6180,9316.64,10136.23,10650.0,9320
VKC,C,5510,8943.0,10073.0,10723.0,8940
TLD,C,1060,2361.7,2802.0,3042.0,2360
VLA,A,6040,9769.880000000001,10795.66,11339.1,11350
TLG,A,22100,28193.08,30111.56,31112.6,31100
VMC,C,5020,7091.0,7662.0,7982.950000000001,7090
TLH,A,8700,12972.64,14628.119999999999,15211.8,15200
VMS,B,5410,9070.25,10154.4,10738.0,10150
TMP,A,24650,32364.47,34145.82,35037.4,35050
VNC,A,7370,13875.0,15910.84,16981.0,17000
TMS,A,24250,37336.84,41242.0,43237.5,43250
VNF,A,4260,8491.04,9759.0,10426.0,10450
TMT,C,1740,3927.58,4684.87,5088.0,3930
VNT,B,4060,12835.03,16720.06,19386.15,16700
TN1,A,9070,16149.96,18264.94,19397.95,19400
VSA,A,9130,14397.0,16129.0,17041.0,17050
TNA,B,6490,8953.0,9770.44,10189.4,9770
VSM,A,8040,12869.94,14494.82,15326.0,15350
VTC,C,4360,7926.94,8939.64,9509.4,7930
TNC,A,8010,14265.45,16189.0,17200.25,17200
VTH,B,3620,5591.0,6095.0,6360.0,6100
TNH,A,16750,24391.09,26648.57,27766.85,27750
VTJ,B,1110,2005.0,2293.48,2469.8,2290
TNI,B,1570,2356.0,2579.83,2696.0,2580
VTL,Not enough data,4850,7571.0,8336.0,8741.0,Not enough data
TNT,A,4060,5737.86,6178.0,6532.1,6530
VTV,C,2280,3920.0,4366.0,4591.55,3920
TPC,C,2280,4412.0,5031.889999999999,5350.0,4410
VXB,C,5160,7972.54,8897.77,9408.95,7970
TRA,A,48750,63853.25,67528.86,69719.05,69700
WCS,A,108200,138910.07,146675.21,150593.7,150600
TRC,C,16500,25175.7,27390.1,28483.5,25200
X20,Not enough data,2040,4075.71,4666.0,5002.0,Not enough data
PRE,B,9030,13029.0,14042.119999999999,14556.0,14050
TSC,A,3380,5608.6,6192.8,6552.0,6550
PTI,B,12950,20203.68,22629.52,23910.0,22650
TTA,C,5470,8505.32,9252.0,9652.0,8510
PVI,A,24150,31672.73,34114.19,35624.3,35600
TTB,D,1610,2947.02,3380.06,3652.0,1610
VNR,B,18450,26043.53,28209.53,29233.1,28200
TTE,C,1580,3216.0,3758.0,4070.7000000000003,3220
APS,B,2750,6298.0,7616.0,8469.0,7620
TTF,C,1320,2721.0,3172.87,3416.4500000000003,2720
TV2,B,22050,32652.76,35519.07,37014.45,35500
ART,B,640,2141.0,2750.79,3112.0,2750
TVT,B,12950,17922.08,19509.56,20309.6,19500
BVS,B,9500,16714.8,18945.4,20013.0,18950
TYA,B,11100,13997.1,14679.3,15095.0,14700
EVS,A,3710,9010.0,10900.46,12003.300000000001,12000
UDC,D,2920,4393.0,4837.0,5058.0,2920
UIC,A,31850,42919.08,45656.24,47313.0,47300
HBS,B,2560,5226.15,5987.9,6470.75,5990
VAF,A,2280,4916.8,5738.48,6173.0,6170
IVS,B,1680,3613.9,4362.85,4792.0,4360
VCA,A,6860,10287.68,11189.68,11742.0,11750
MBS,B,10500,17857.0,19911.14,21122.85,19900
VCF,A,121100,165367.66,177518.72,183640.3,183600
PSI,D,1240,3316.02,4075.0,4540.05,1240
VCG,C,21250,28307.96,29910.88,30773.6,28300
SHS,A,13100,20827.28,23219.22,24547.4,24550
VDP,C,16500,23137.35,25147.75,26185.5,23150
VIG,D,1710,3547.6800000000003,4191.0,4557.2,1710
VFG,B,23800,34130.25,36860.25,38294.0,36850
VGC,B,15000,21267.58,22834.58,23803.0,22850
WSS,A,2490,4992.02,5782.06,6267.2,6270
VHC,B,16000,25769.59,28754.77,30574.0,28750
VHM,A,30100,45334.72,49556.8,51745.2,51700
VIC,B,39250,54903.0,59042.36,61171.9,59000
VID,B,1520,3173.2,3751.0,4123.0,3750
VIP,A,2260,4594.0,5373.66,5776.0,5780
VIS,B,4430,8055.52,9194.14,9855.0,9190
VJC,C,78900,97183.58,102225.05,104538.9,97200
VMD,B,8980,17316.16,20379.44,22053.0,20400
VNE,C,3860,5553.0,6086.2,6345.0,5550
VNG,B,6660,8844.0,9398.0,9678.0,9400
VNL,A,6440,12036.3,13774.35,14764.75,14750
VNM,A,50300,63363.78,66479.36,68222.7,68200
VNS,B,4740,6407.0,6945.0,7220.0,6940
VOS,A,9030,12912.48,14896.52,15730.6,15750
VPD,C,9840,12192.34,12867.0,13202.85,12200
VPG,A,34050,43565.0,45662.19,46800.05,46800
VPH,B,1690,3080.57,3573.0,3843.0,3570
VPI,D,19850,27416.2,29398.15,30406.5,19850
VPS,B,2480,5562.0,6587.04,7155.4,6590
VRC,B,2480,4323.34,4963.0,5309.0,4960
VRE,A,12450,17704.08,19114.0,19836.85,19850
VSC,A,29100,39993.92,42737.04,44393.1,44400
VSH,C,14250,18851.84,20089.0,20710.0,18850
VSI,C,4940,9215.0,10537.72,11311.0,9220
VTB,A,5360,7720.0,8298.53,8604.55,8600
VTO,B,5600,7917.53,8628.59,8964.65,8630
YBM,C,1620,3288.0,3848.0,4135.8,3290
YEG,C,3780,6478.0,7185.0,7577.25,6480
BIC,A,13300,18507.36,20108.36,20892.3,20900
BMI,A,16000,24245.48,26478.760000000002,27733.4,27750
BVH,A,18750,30135.48,33295.05,35069.35,35050
MIG,A,12350,16954.02,18316.64,19187.0,19200
PGI,A,11000,16692.07,18143.07,18919.9,18900
AGR,B,3440,6391.96,7447.0,8034.4,7450
APG,B,4040,7480.8,8520.6,9112.0,8520
BSI,B,4410,9540.46,11296.0,12249.6,11300
CTS,A,5130,9972.72,11748.72,12731.0,12750
FTS,B,14550,25296.38,28729.14,30855.9,28750
HCM,A,11350,21178.37,24433.11,26469.7,26450
SSI,A,13450,22052.5,24523.36,25938.9,25950
TVB,A,3660,7313.0,8679.380000000001,9467.65,9470
TVS,A,16900,23104.22,24882.22,25766.6,25750
VCI,A,11250,23615.6,27480.35,29895.25,29900
VDS,B,11900,18732.2,20845.04,21889.2,20850
VIX,B,3460,7067.0,8238.02,8866.7,8240
VND,A,9000,18844.75,22146.0,23935.5,23950
