Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group,Breakeven Price
BAB,8660,13500,14750,15550,C,13500
ACB,15450,22300,24100,25050,A,25050
NVB,10900,17250,19100,20100,C,17250
BID,19500,28850,31400,32700,A,32700
SHB,6640,11300,12650,13400,C,11300
CTG,14450,21850,23900,24950,B,23900
AAV,6840,11350,12600,13400,B,12600
EIB,15350,22350,24300,25300,C,22350
ACM,640,1190,1420,1540,D,640
HDB,11550,17750,19450,20300,C,17750
ADC,1550,5250,6800,7700,B,6800
LPB,10650,14950,16350,17150,C,14950
MBB,11600,18450,20350,21350,A,21350
ALT,1010,3860,5060,5760,B,5060
MSB,11000,16550,18000,18850,A,18850
AMC,5790,11350,13050,13900,B,13050
OCB,11300,16950,18400,19300,A,19300
AME,3520,6020,6850,7300,C,6020
SSB,18150,26000,28200,29250,C,26000
AMV,3030,5100,5700,6040,A,6040
STB,8180,15350,17600,18750,C,15350
API,7440,18400,22400,24650,C,18400
TCB,25650,35500,38100,39450,A,39450
APP,860,2670,3360,3770,B,3360
TPB,14100,22100,24300,25550,A,25550
ARM,22050,31550,34100,35450,C,31550
VCB,38500,56300,61200,63700,A,63700
ASG,15850,19700,20850,21450,B,20850
VIB,16900,26600,29250,30750,C,26600
ATS,16550,21700,23000,23700,B,23000
VPB,8160,15450,17700,18950,A,18950
BAX,35250,49300,53200,55400,A,55400
AAA,3890,7000,8010,8640,B,8010
BBS,4250,6830,7640,8090,D,4250
AAM,2630,5120,5910,6330,B,5910
BCC,2470,5760,6900,7520,B,6900
AAT,4090,6600,7320,7700,A,7700
BCF,18550,26000,27950,29000,A,29000
ABS,4140,8260,9450,10150,B,9450
BDB,3360,6510,7430,7910,B,7430
ABT,14100,21200,22950,23950,B,22950
BED,20450,29000,31600,32850,A,32850
ACC,3500,7570,8920,9660,C,7570
BII,1470,3120,3760,4120,A,4120
ACL,6770,9830,10700,11150,B,10700
BKC,1110,2720,3290,3600,D,1110
ADG,23950,32600,34850,36000,B,34850
BLF,2660,3980,4320,4540,D,2660
ADS,11750,17500,19050,20000,C,17500
BNA,18000,26200,28700,29800,B,28700
AGG,18900,27950,30350,31600,B,30350
BPC,3150,5660,6430,6830,B,6430
AGM,7560,13900,16300,17650,B,16300
BSC,11450,16150,17400,18100,Not enough data,11450
AMD,1200,2380,2720,2920,B,2720
BST,1430,3930,4900,5510,B,4900
ANV,5540,11050,12800,13750,C,11050
BTS,1590,3540,4240,4660,B,4240
APC,10100,14650,15950,16650,B,15950
BTW,9320,16200,18100,19150,A,19150
APH,8500,14300,15950,16850,B,15950
BXH,7770,10900,11650,12150,B,11650
ASM,3460,6260,7100,7550,B,7100
C69,2730,5760,6780,7340,Not enough data,2730
ASP,4420,6550,7200,7550,C,6550
C92,890,2370,2920,3220,C,2370
AST,26900,35100,37200,38300,C,35100
CAG,3940,7470,8550,9190,A,9190
BBC,17050,30050,33500,35350,B,33500
CAN,12700,24900,28800,31000,B,28800
BCE,2970,5780,6660,7130,B,6660
CAP,57100,68300,71700,73500,B,71700
BCG,6350,10900,12250,12950,B,12250
CDN,8880,13450,14950,15750,Not enough data,8880
BCM,32100,46250,50500,52800,B,50500
BFC,6030,11450,13150,14050,B,13150
CEO,5390,16050,20450,23050,D,5390
BHN,24850,33900,36700,38250,A,38250
CET,750,2080,2590,2880,B,2590
BKG,2490,4540,5160,5490,B,5160
CIA,5080,7940,8750,9170,Not enough data,5080
BMC,3580,7520,8800,9490,A,9490
CJC,3240,5470,6110,6450,D,3240
BMP,32900,42700,44850,46050,A,46050
CKV,9630,13750,14850,15500,A,15500
BRC,6210,9370,10200,10650,B,10200
CLH,14550,19500,20750,21500,A,21500
