Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Groupp,Breakeven Price
BAB,8575.0,13288.88,14725.32,15452.4,C,13300
ACB,13756.0,20107.1,21729.72,22689.1,A,22700
NVB,12256.0,18728.46,20650.0,21566.6,C,18750
BID,18459.0,25459.27,27276.0,28203.0,A,28200
SHB,10091.0,16538.0,18350.0,19316.0,C,16550
CTG,11102.0,17129.0,18831.44,19701.6,B,18850
AAV,11229.0,16886.81,18768.53,19827.0,B,18750
EIB,10390.0,14789.85,16032.85,16663.0,C,14800
ACM,480.0,1233.1,1497.0,1639.0,D,480
HDB,9161.0,14335.0,15794.57,16551.95,C,14350
LPB,8701.0,13339.84,14604.07,15209.75,C,13350
MBB,10267.0,16190.6,17766.3,18726.5,A,18750
ADC,883.0,3569.0,4878.83,5665.0,B,4880
MSB,8398.0,12845.76,14044.28,14725.8,A,14750
ALT,3035.0,6219.47,7167.47,7679.0,B,7170
OCB,9457.0,14462.62,15780.0,16563.55,A,16550
AMC,5832.0,11286.49,12860.0,13766.0,B,12850
SSB,17179.0,24530.18,26518.82,27790.5,C,24550
AME,2722.0,4533.08,5125.0,5450.0,C,4530
STB,6657.0,11987.66,13631.49,14500.0,C,12000
AMV,3643.0,5711.21,6299.63,6605.05,A,6610
TCB,26873.0,36671.51,39218.65,40582.2,A,40600
API,6748.0,15760.6,18971.7,20740.0,C,15750
TPB,18594.0,26898.0,29028.0,30353.0,A,30350
APP,929.0,2846.0,3619.0,4056.0,B,3620
VCB,49194.0,67040.96,71245.48,73408.8,A,73400
ARM,17801.0,27246.3,30051.34,31375.0,C,27250
VIB,11933.0,19439.0,21579.5,22704.0,C,19450
ASG,14175.0,18871.83,20064.83,20723.0,B,20050
VPB,8950.0,16705.04,19097.56,20441.8,A,20450
ATS,20784.0,25773.0,26915.09,27605.15,B,26900
AAA,6633.0,10016.29,10917.0,11380.0,B,10900
BAX,31898.0,46008.44,50430.95,52430.95,A,52400
BBS,3757.0,5798.84,6492.0,6870.0,D,3760
AAM,2186.0,4210.06,4887.0599999999995,5316.0,B,4890
AAT,7888.0,12238.34,13557.51,14159.8,A,14150
BCC,9057.0,14413.4,16041.7,16821.75,B,16050
ABS,5266.0,9446.0,10734.68,11414.4,B,10750
BCF,16293.0,23932.38,25959.48,27056.9,A,27050
BDB,7235.0,10737.88,11856.0,12350.4,B,11850
ABT,14531.0,21466.15,23176.15,24061.25,B,23200
ACC,6064.0,9652.5,10686.5,11222.0,C,9650
BED,20265.0,28862.94,31413.96,32654.75,A,32650
BII,3317.0,6829.0,8162.25,8886.0,A,8890
ACL,5618.0,8061.7,8724.0,9064.0,B,8720
ADG,22798.0,30720.04,32787.03,33835.1,B,32800
BKC,995.0,2371.0,2879.0,3189.0,D,1000
ADS,21785.0,28082.28,29786.95,30811.2,C,28100
BLF,1526.0,2084.0,2264.43,2358.0,D,1530
AGG,25729.0,32789.13,34457.52,35478.0,B,34450
BNA,19030.0,28522.55,31261.739999999998,32579.85,B,31250
BPC,3689.0,6311.54,7085.62,7490.0,B,7090
AGM,5387.0,12417.49,14791.47,16100.0,B,14800
