Ticker  ,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group          ,Breakeven Price
ITD     ,4320      ,8060      ,9310      ,10050     ,C              ,8060
PIA     ,11400     ,16400     ,17750     ,18400     ,A              ,18400
JVC     ,1630      ,3480      ,4060      ,4380      ,Not enough data,1630
PIC     ,3880      ,6490      ,7250      ,7650      ,A              ,7650
KBC     ,11250     ,22250     ,25850     ,27750     ,B              ,25850
PJC     ,5940      ,10850     ,12200     ,12950     ,B              ,12200
KDC     ,36950     ,44550     ,46450     ,47450     ,B              ,46450
PLC     ,14900     ,24500     ,27250     ,28750     ,B              ,27250
KDH     ,24700     ,33900     ,36450     ,37700     ,A              ,37700
PMB     ,5250      ,8810      ,10000     ,10600     ,A              ,10600
KHG     ,4940      ,9540      ,10900     ,11800     ,A              ,11800
PMC     ,31600     ,43500     ,46650     ,48250     ,A              ,48250
KHP     ,8380      ,11900     ,12900     ,13350     ,C              ,11900
PMP     ,4900      ,8270      ,9240      ,9780      ,C              ,8270
KMR     ,1510      ,3350      ,3950      ,4270      ,B              ,3950
PMS     ,2620      ,6490      ,7840      ,8670      ,A              ,8670
KOS     ,14300     ,20100     ,21650     ,22450     ,B              ,21650
POT     ,7510      ,11300     ,12400     ,13050     ,D              ,7510
KPF     ,4800      ,8630      ,9800      ,10400     ,B              ,9800
PPE     ,1020      ,2830      ,3600      ,4060      ,A              ,4060
KSB     ,14400     ,22800     ,25150     ,26450     ,B              ,25150
PPP     ,5610      ,9340      ,10400     ,11000     ,A              ,11000
L10     ,3710      ,9000      ,10800     ,11800     ,C              ,9000
PPS     ,6490      ,9050      ,9730      ,10100     ,B              ,9730
LAF     ,2220      ,6390      ,7900      ,8730      ,B              ,7900
PPY     ,3560      ,7130      ,8160      ,8730      ,A              ,8730
LBM     ,19050     ,36300     ,41500     ,44200     ,A              ,44200
PRC     ,6090      ,9260      ,10100     ,10600     ,C              ,9260
LCG     ,4330      ,9110      ,10600     ,11400     ,C              ,9110
PSC     ,5720      ,8990      ,9900      ,10400     ,C              ,8990
LCM     ,1720      ,2940      ,3310      ,3570      ,C              ,2940
PSD     ,11300     ,17750     ,19600     ,20650     ,A              ,20650
LDG     ,2720      ,5700      ,6650      ,7150      ,B              ,6650
PSE     ,6020      ,9780      ,11100     ,11800     ,A              ,11800
LEC     ,2080      ,4790      ,5700      ,6180      ,C              ,4790
PSW     ,2490      ,6110      ,7420      ,8220      ,A              ,8220
LGC     ,8300      ,17300     ,20500     ,22400     ,C              ,17300
PTD     ,9930      ,13300     ,14200     ,14650     ,B              ,14200
PTS     ,4840      ,7240      ,7850      ,8240      ,C              ,7240
LGL     ,1970      ,4220      ,4940      ,5320      ,C              ,4220
LHG     ,22550     ,32600     ,35200     ,36800     ,A              ,36800
PV2     ,790       ,2240      ,2770      ,3070      ,B              ,2770
LIX     ,29600     ,37000     ,38800     ,39700     ,B              ,38800
PVB     ,5680      ,9790      ,10900     ,11500     ,C              ,9790
PVC     ,2130      ,4810      ,5720      ,6260      ,C              ,4810
LM8     ,3520      ,7070      ,8230      ,8830      ,C              ,7070
PVG     ,5200      ,8180      ,8990      ,9490      ,B              ,8990
LSS     ,2440      ,5460      ,6450      ,6980      ,B              ,6450
PVL     ,4360      ,8010      ,9360      ,10050     ,B              ,9360
MCG     ,3360      ,5530      ,6220      ,6580      ,C              ,5530
PVS     ,8000      ,14050     ,15750     ,16700     ,B              ,15750
MCP     ,12300     ,19050     ,20750     ,21700     ,B              ,20750
MDG     ,2050      ,4530      ,5340      ,5770      ,C              ,4530
QHD     ,1680      ,6930      ,9220      ,10600     ,A              ,10600
MHC     ,2720      ,5420      ,6340      ,6890      ,A              ,6890
QST     ,6930      ,9220      ,9780      ,10100     ,C              ,9220
MSH     ,46950     ,63300     ,67200     ,69500     ,A              ,69500
QTC     ,7480      ,11250     ,12200     ,12700     ,C              ,11250
MSN     ,79200     ,106200    ,114600    ,118700    ,B              ,114600
RCL     ,7830      ,11150     ,12050     ,12500     ,B              ,12050
MWG     ,42850     ,70600     ,78600     ,82800     ,A              ,82800
S55     ,5360      ,12850     ,15600     ,17250     ,C              ,12850
NAF     ,11800     ,16200     ,17450     ,18100     ,B              ,17450
S99     ,2850      ,7130      ,8610      ,9420      ,C              ,7130
NAV     ,5200      ,10900     ,12700     ,13650     ,A              ,13650
SAF     ,22150     ,34250     ,38050     ,40100     ,A              ,40100
NBB     ,7160      ,14500     ,17000     ,18500     ,B              ,17000
SCI     ,9600      ,18050     ,20650     ,22100     ,B              ,20650
NCT     ,61000     ,70100     ,72100     ,73300     ,A              ,73300
SD2     ,1350      ,3640      ,4470      ,4930      ,C              ,3640
NHA     ,10150     ,22250     ,26050     ,28050     ,C              ,22250
SD4     ,1010      ,2540      ,3080      ,3370      ,D              ,1010
NHH     ,9500      ,17200     ,19600     ,20850     ,C              ,17200
SD5     ,5440      ,7690      ,8450      ,8900      ,C              ,7690
NKG     ,14300     ,22250     ,24500     ,25700     ,A              ,25700
SD6     ,1010      ,2560      ,3100      ,3400      ,C              ,2560
SD9     ,5050      ,8000      ,8960      ,9430      ,C              ,8000
NLG     ,11900     ,24500     ,28350     ,30500     ,B              ,28350
SDA     ,4340      ,10500     ,12750     ,13950     ,B              ,12750
NNC     ,12250     ,17050     ,18250     ,18900     ,A              ,18900
SDC     ,2580      ,4600      ,5140      ,5440      ,C              ,4600
NSC     ,47300     ,60900     ,64300     ,66100     ,B              ,64300
SDG     ,2720      ,7300      ,9060      ,10050     ,Not enough data,2720
NT2     ,12350     ,16550     ,17650     ,18200     ,A              ,18200
SDN     ,11600     ,20950     ,23600     ,25000     ,B              ,23600
NTL     ,10450     ,19400     ,22050     ,23400     ,A              ,23400
SDT     ,1300      ,3080      ,3680      ,4010      ,C              ,3080
NVL     ,50600     ,72500     ,78000     ,81500     ,B              ,78000
SDU     ,3440      ,5300      ,6000      ,6360      ,C              ,5300
NVT     ,1990      ,4080      ,4750      ,5150      ,D              ,1990
SEB     ,12400     ,22400     ,25250     ,26750     ,A              ,26750
OGC     ,1880      ,3780      ,4360      ,4660      ,B              ,4360
SED     ,13200     ,16950     ,17850     ,18400     ,C              ,16950
OPC     ,25500     ,34700     ,37700     ,39250     ,C              ,34700
SFN     ,9050      ,15250     ,16950     ,17800     ,A              ,17800
PAC     ,18950     ,25900     ,27650     ,28650     ,B              ,27650
SGC     ,16050     ,28000     ,31500     ,33400     ,B              ,31500
PAN     ,7700      ,15200     ,17650     ,19000     ,B              ,17650
SGD     ,3200      ,5390      ,5970      ,6280      ,C              ,5390
PC1     ,16450     ,25000     ,27300     ,28450     ,C              ,25000
SGH     ,10800     ,18400     ,20650     ,21850     ,A              ,21850
PDN     ,35650     ,55300     ,60600     ,63200     ,A              ,63200
SHE     ,6230      ,9190      ,10000     ,10400     ,C              ,9190
PDR     ,54500     ,70100     ,74900     ,77200     ,B              ,74900
SHN     ,5640      ,9260      ,10250     ,10900     ,C              ,9260
PET     ,6280      ,12700     ,14700     ,15750     ,A              ,15750
SIC     ,2410      ,5640      ,7040      ,7860      ,C              ,5640
PGC     ,9150      ,13850     ,15150     ,15800     ,C              ,13850
SJ1     ,3680      ,6810      ,7780      ,8290      ,D              ,3680
PGD     ,12700     ,20200     ,22150     ,23150     ,A              ,23150
SJE     ,11700     ,16650     ,17900     ,18650     ,C              ,16650
PHC     ,5950      ,9420      ,10350     ,10900     ,C              ,9420
SLS     ,68600     ,99300     ,107900    ,112100    ,B              ,107900
PHR     ,24400     ,38350     ,42550     ,44950     ,A              ,44950
SMN     ,6430      ,8960      ,9730      ,10100     ,B              ,9730
PIT     ,1760      ,3440      ,3970      ,4280      ,C              ,3440
SMT     ,1750      ,4120      ,5160      ,5770      ,C              ,4120
PJT     ,5260      ,7630      ,8260      ,8590      ,C              ,7630
SPI     ,1640      ,3950      ,4780      ,5240      ,A              ,5240
PLP     ,3740      ,7220      ,8400      ,9090      ,D              ,3740
SRA     ,4250      ,6580      ,7230      ,7570      ,A              ,7570
PLX     ,25550     ,35750     ,38100     ,39350     ,A              ,39350
SSM     ,1230      ,2770      ,3300      ,3620      ,B              ,3300
PME     ,35300     ,51400     ,55300     ,57300     ,A              ,57300
STC     ,7750      ,12050     ,13450     ,14100     ,A              ,14100
PMG     ,4260      ,7690      ,8750      ,9310      ,C              ,7690
STP     ,3760      ,5710      ,6370      ,6740      ,B              ,6370
PNC     ,4250      ,6690      ,7340      ,7680      ,C              ,6690
SVN     ,610       ,1820      ,2280      ,2540      ,B              ,2280
PNJ     ,52400     ,68400     ,72900     ,75200     ,A              ,75200
SZB     ,19300     ,24800     ,26150     ,26850     ,A              ,26850
POM     ,3500      ,6610      ,7540      ,8020      ,C              ,6610
TA9     ,6770      ,9560      ,10250     ,10700     ,C              ,9560
POW     ,4400      ,7780      ,8760      ,9270      ,B              ,8760
TAR     ,14550     ,20600     ,22550     ,23750     ,B              ,22550
PPC     ,10750     ,15150     ,16200     ,16750     ,A              ,16750
PSH     ,3940      ,8270      ,9610      ,10350     ,C              ,8270
TC6     ,1570      ,3660      ,4440      ,4920      ,C              ,3660
PTB     ,53100     ,70100     ,74300     ,76800     ,B              ,74300
TDN     ,4050      ,7090      ,7980      ,8530      ,C              ,7090
PTC     ,9200      ,16250     ,18450     ,19550     ,Not enough data,9200
TDT     ,1730      ,4360      ,5350      ,5880      ,D              ,1730
PTL     ,2880      ,5780      ,6810      ,7390      ,B              ,6810
TET     ,17800     ,22800     ,24050     ,24700     ,A              ,24700
PVD     ,6040      ,12000     ,13850     ,14800     ,B              ,13850
TFC     ,3270      ,5510      ,6140      ,6470      ,D              ,3270
PVT     ,6090      ,10300     ,11800     ,12650     ,A              ,12650
THB     ,3890      ,7240      ,8180      ,8710      ,A              ,8710
PXI     ,1430      ,2560      ,2990      ,3230      ,C              ,2560
THD     ,143900    ,187400    ,197500    ,203000    ,A              ,203000
PXS     ,1790      ,3640      ,4220      ,4530      ,C              ,3640
THS     ,5020      ,7980      ,9070      ,9770      ,A              ,9770
QBS     ,1660      ,3230      ,3720      ,3960      ,B              ,3720
THT     ,3950      ,6830      ,7630      ,8140      ,B              ,7630
QCG     ,2510      ,5220      ,6080      ,6530      ,C              ,5220
TIG     ,4480      ,10000     ,11800     ,12800     ,B              ,11800
RAL     ,80100     ,113500    ,122200    ,126900    ,B              ,122200
TJC     ,1460      ,4340      ,5420      ,6060      ,A              ,6060
RDP     ,2490      ,5120      ,5940      ,6380      ,C              ,5120
TKC     ,1530      ,3970      ,4830      ,5300      ,D              ,1530
REE     ,35300     ,47750     ,50900     ,52700     ,A              ,52700
RIC     ,5020      ,9510      ,10900     ,11750     ,C              ,9510
