Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group,Breakeven Price
ACB,15000,21550,23300,24200,A,24200
BAB,8490,13200,14450,15250,C,13200
BID,18500,27200,29600,30800,A,30800
NVB,11250,17750,19650,20650,C,17750
CTG,13450,20150,21950,22900,B,21950
SHB,7310,12050,13350,14150,C,12050
EIB,16500,22900,24950,25950,C,22900
AAV,8800,14150,15700,16550,B,15700
HDB,11200,17050,18650,19450,C,17050
ACM,270,770,960,1060,D,270
LPB,10650,14800,16200,16900,C,14800
ADC,1690,5410,6940,7810,B,6940
MBB,11950,18600,20450,21400,A,21400
ALT,910,3510,4600,5240,B,4600
MSB,11100,16450,17850,18700,A,18700
AMC,7130,11450,13100,14000,B,13100
OCB,10800,16250,17700,18500,A,18500
AME,1560,3710,4450,4870,C,3710
SSB,16600,23900,25850,26900,C,23900
AMV,3520,5930,6630,7000,A,7000
STB,8720,15350,17350,18450,C,15350
API,10400,24550,29650,32450,C,24550
TCB,25650,35600,38100,39350,A,39350
TPB,15000,23250,25450,26750,A,26750
APP,810,2570,3250,3640,B,3250
VCB,36200,52400,56700,58900,A,58900
ARM,22350,32550,35150,36550,C,32550
VIB,16300,25600,28200,29600,C,25600
ASG,16750,21700,22850,23400,B,22850
VPB,8120,15200,17450,18650,A,18650
ATS,13900,18700,19900,20550,B,19900
AAA,4410,7810,8900,9580,B,8900
BAX,35850,49900,53500,55500,A,55500
AAM,5230,7490,8130,8500,B,8130
BBS,4290,6750,7500,7910,D,4290
AAT,4650,7410,8190,8600,A,8600
BCC,2900,6720,8040,8760,B,8040
ABS,4610,9210,10500,11300,B,10500
BCF,19800,27000,28800,29800,A,29800
ABT,15300,23050,25050,26050,B,25050
BDB,2560,5070,5790,6180,B,5790
ACC,3380,7300,8620,9340,C,7300
BED,20450,29000,31600,32850,A,32850
ACL,7970,11450,12350,12900,B,12350
BII,1030,2720,3330,3700,A,3700
ADG,25400,34550,36650,37800,B,36650
BKC,1760,3710,4480,4920,D,1760
ADS,13850,20100,21850,22750,C,20100
BLF,2130,3230,3520,3700,D,2130
AGG,18650,27300,29650,30900,B,29650
BNA,20400,28750,31150,32250,B,31150
AGM,6760,14250,16800,18200,B,16800
BPC,3260,5820,6610,7020,B,6610
AMD,1590,3020,3430,3660,B,3430
BSC,11450,16150,17400,18100,Not enough data,11450
ANV,6860,13650,15800,16950,C,13650
BST,1690,4690,5850,6570,B,5850
APC,10900,15800,17100,17750,B,17100
BTS,1860,3940,4710,5150,B,4710
APH,7210,12300,13800,14600,B,13800
BTW,8960,15900,17800,18850,A,18850
ASM,5120,8700,9750,10300,B,9750
BXH,7770,10900,11650,12150,B,11650
ASP,5570,8080,8820,9230,C,8080
C69,5320,8650,9640,10200,Not enough data,5320
AST,31350,40900,43400,44600,C,40900
C92,650,1990,2520,2820,C,1990
BBC,19250,32750,36300,38200,B,36300
CAG,4680,8600,9810,10450,A,10450
BCE,3340,6520,7520,8060,B,7520
CAN,12500,24400,28100,30200,B,28100
BCG,7390,12350,13700,14550,B,13700
CAP,58900,71000,74000,75800,B,74000
BCM,35350,50600,55200,57400,B,55200
CDN,10900,16500,18050,18850,Not enough data,10900
BFC,7370,13700,15600,16650,B,15600
CEO,4210,14150,18450,20900,D,4210
BHN,28050,37750,40700,42300,A,42300
CET,750,2080,2570,2860,B,2570
BKG,2690,4890,5560,5910,B,5560
CIA,5790,8880,9740,10200,Not enough data,5790
BMC,4080,8520,9960,10750,A,10750
CJC,3460,6000,6740,7150,D,3460
BMP,36250,43700,45900,47000,A,47000
CKV,9320,13500,14650,15300,A,15300
BRC,6730,10200,11100,11550,B,11100
CLH,16850,21850,23150,23850,A,23850
BTP,8140,11650,12700,13200,B,12700
CLM,6820,13150,15100,16150,B,15100
BTT,17900,28150,30700,32050,A,32050
CMC,1510,3610,4370,4840,C,3610
BWE,27950,35650,37650,38650,C,35650
CMS,3360,8030,10050,11150,C,8030
C32,12900,19200,20850,21700,B,20850
CPC,6920,12350,13850,14650,B,13850
C47,5240,9810,11200,11950,C,9810
CSC,39400,58900,65200,69200,C,58900
CAV,33850,42650,44850,45950,B,44850
CTB,10650,15200,16700,17450,C,15200
CCI,5160,11500,13650,14850,A,14850
CTC,820,2260,2790,3100,C,2260
CCL,2690,5720,6720,7260,B,6720
CDC,8530,10900,11650,12050,C,10900
CTP,670,1920,2390,2660,B,2390
CEE,3030,6170,7170,7710,C,6170
CTT,5790,8490,9180,9590,C,8490
CHP,14650,17550,18250,18600,C,17550
CTX,3020,4880,5430,5700,C,4880
CIG,2750,5330,6120,6550,D,2750
CVN,3810,5870,6520,6870,A,6870
CII,5850,11600,13500,14500,C,11600
CX8,2630,4300,4800,5070,C,4300
CKG,6630,12550,14400,15400,C,12550
D11,9630,15400,17100,18100,Not enough data,9630
CLC,20350,26300,27850,28650,A,28650
DAD,9920,15200,16600,17400,A,17400
CLL,16200,21750,23150,23900,A,23900
DAE,7190,11700,13250,14050,A,14050
CLW,11850,19450,21450,22550,A,22550
DC2,4480,7630,8530,9040,C,7630
