Ticker  ,0% at Risk,1% at Risk        ,3% at Risk        ,5% at Risk        ,Groupp         ,Breakeven Price
TCD     ,15911.0   ,22725.42          ,24776.41          ,26029.05          ,B              ,24800
VE3     ,905.0     ,2397.0            ,2977.0            ,3337.0            ,C              ,2400
TCH     ,4406.0    ,8044.0            ,9145.29           ,9729.0            ,A              ,9730
VE4     ,7428.0    ,17024.48          ,20125.64          ,22135.8           ,C              ,17000
TCL     ,18475.0   ,26109.0           ,28039.0           ,29217.0           ,A              ,29200
VE8     ,3109.0    ,5307.0            ,6134.0            ,6583.0            ,C              ,5310
TCM     ,35094.0   ,50786.22          ,55196.59          ,57437.65          ,B              ,55200
VGP     ,14148.0   ,22414.56          ,25202.28          ,26679.0           ,A              ,26700
TCO     ,4755.0    ,9999.9            ,11739.85          ,12750.0           ,A              ,12750
TCR     ,996.0     ,1804.0            ,2113.4700000000003,2285.0            ,C              ,1800
VGS     ,6727.0    ,13755.11          ,16691.989999999998,18379.0           ,A              ,18400
TCT     ,18696.0   ,24600.0           ,26017.0           ,26860.0           ,A              ,26850
VHE     ,799.0     ,2349.0            ,2930.0            ,3272.0            ,B              ,2930
TDC     ,6846.0    ,12806.0           ,14631.74          ,15601.0           ,D              ,6850
VHL     ,9400.0    ,13928.0           ,15437.26          ,16256.0           ,B              ,15450
TDG     ,3823.0    ,5566.44           ,6230.32           ,6583.0            ,C              ,5570
VIE     ,1733.0    ,2890.0            ,3176.09           ,3337.15           ,C              ,2890
TDH     ,2966.0    ,5385.63           ,6240.63           ,6706.05           ,A              ,6710
VIF     ,8446.0    ,11997.72          ,13051.16          ,13608.6           ,A              ,13600
TDM     ,19712.0   ,25354.55          ,26740.8           ,27569.25          ,A              ,27550
VIT     ,6503.0    ,9984.55           ,10907.93          ,11485.0           ,C              ,9980
TDP     ,10515.0   ,15738.44          ,17162.0           ,17896.6           ,C              ,15750
VKC     ,2256.0    ,4774.68           ,5612.51           ,6096.0            ,C              ,4770
TDW     ,6468.0    ,12419.64          ,14748.96          ,16054.6           ,A              ,16050
VLA     ,5955.0    ,10541.2           ,11815.24          ,12549.4           ,A              ,12550
TEG     ,4186.0    ,7144.0            ,8237.0            ,8834.1            ,A              ,8830
VMC     ,5712.0    ,8064.87           ,8656.0            ,9003.0            ,C              ,8060
TGG     ,8446.0    ,13377.5           ,14873.5           ,15632.5           ,A              ,15650
VMS     ,3783.0    ,6652.4            ,7471.3            ,7995.0            ,B              ,7470
THG     ,57220.0   ,72404.4           ,76318.2           ,78297.4           ,B              ,76300
VNC     ,8497.0    ,15807.01          ,17854.0           ,18984.0           ,A              ,19000
THI     ,14484.0   ,18419.12          ,19655.0           ,20286.0           ,C              ,18400
VNF     ,4302.0    ,8576.96           ,9867.44           ,10568.4           ,A              ,10550
TIP     ,23477.0   ,32375.55          ,35094.0           ,36464.5           ,A              ,36450
VNT     ,3541.0    ,11318.03          ,14775.36          ,17158.3           ,B              ,14800
TIX     ,13489.0   ,20147.02          ,22236.06          ,23330.05          ,A              ,23350
VSA     ,10245.0   ,16167.8           ,18111.44          ,19105.0           ,A              ,19100
TLD     ,2199.0    ,4057.14           ,4662.71           ,5044.0            ,C              ,4060
VSM     ,9104.0    ,14564.56          ,16396.32          ,17342.0           ,A              ,17350
TLG     ,22205.0   ,28830.1           ,30737.18          ,31705.65          ,A              ,31700
VTC     ,5335.0    ,8433.48           ,9445.36           ,9932.0            ,C              ,8430
TLH     ,5168.0    ,9323.36           ,10910.02          ,11779.7           ,A              ,11800
VTH     ,2901.0    ,4779.92           ,5263.0            ,5525.0            ,B              ,5260
TMP     ,29081.0   ,36572.45          ,38672.21          ,39727.0           ,A              ,39750
VTJ     ,1395.0    ,2512.0            ,2877.0            ,3092.0            ,B              ,2880
TMS     ,29798.0   ,45851.37          ,50560.52          ,52784.1           ,A              ,52800
VTL     ,4567.0    ,7475.66           ,8231.0            ,8647.0            ,Not enough data,4570
TMT     ,2323.0    ,5320.8            ,6353.0            ,6907.0            ,C              ,5320
VTV     ,3271.0    ,4849.22           ,5418.66           ,5711.0            ,C              ,4850
TN1     ,9816.0    ,17393.56          ,19657.68          ,20871.0           ,A              ,20850
VXB     ,6254.0    ,9682.8            ,10794.4           ,11481.4           ,C              ,9680
TNA     ,6435.0    ,9114.0            ,9944.72           ,10377.6           ,B              ,9940
WCS     ,106352.0  ,140405.2          ,148228.2          ,152371.0          ,A              ,152400
X20     ,2536.0    ,4929.0            ,5619.54           ,6020.9            ,Not enough data,2540
TNC     ,9855.0    ,17033.78          ,19147.0           ,20296.0           ,A              ,20300
PRE     ,10971.0   ,14284.94          ,15374.26          ,15928.0           ,B              ,15350
TNH     ,22251.0   ,31560.0           ,34490.76          ,35912.9           ,A              ,35900
PTI     ,13943.0   ,21665.24          ,24259.4           ,25665.600000000002,B              ,24250
TNI     ,1585.0    ,2693.79           ,3065.0            ,3265.0            ,B              ,3060
PVI     ,24722.0   ,33899.83          ,36830.0           ,38360.3           ,A              ,38350
VNR     ,17691.0   ,25462.0           ,27619.0           ,28685.7           ,B              ,27600
TNT     ,4843.0    ,6865.89           ,7419.5599999999995,7822.05           ,A              ,7820
APS     ,4519.0    ,10357.0           ,12530.44          ,13940.4           ,B              ,12550
TPC     ,2581.0    ,4872.24           ,5534.36           ,5890.6            ,C              ,4870
ART     ,739.0     ,2311.120000000001 ,2948.0            ,3308.4            ,B              ,2950
TRA     ,50140.0   ,65233.32          ,68880.28          ,71069.4           ,A              ,71100
BVS     ,10223.0   ,17464.02          ,19794.239999999998,20909.05          ,B              ,19800
TRC     ,18873.0   ,28397.0           ,30768.0           ,32015.0           ,C              ,28400
EVS     ,4425.0    ,10893.28          ,13225.599999999999,14601.6           ,A              ,14600
TS4     ,1330.0    ,2218.61           ,2476.0            ,2613.05           ,Not enough data,1330
HBS     ,2928.0    ,5777.74           ,6604.74           ,7136.0            ,B              ,6600
TSC     ,4592.0    ,7307.5            ,8201.0            ,8654.25           ,A              ,8650
IVS     ,1823.0    ,3905.18           ,4722.0            ,5172.0            ,B              ,4720
TTA     ,7702.0    ,10578.0           ,11461.0           ,11921.25          ,C              ,10600
MBS     ,11259.0   ,19154.4           ,21351.6           ,22660.5           ,B              ,21350
TTB     ,1895.0    ,3736.0            ,4316.08           ,4627.0            ,D              ,1900
PSI     ,1457.0    ,3818.78           ,4678.0            ,5195.0            ,D              ,1460
TTE     ,2635.0    ,4706.33           ,5270.99           ,5576.0            ,C              ,4710
SHS     ,14096.0   ,22306.96          ,24805.44          ,26236.4           ,A              ,26250
TTF     ,1947.0    ,3768.2200000000003,4353.0            ,4701.0            ,C              ,3770
VIG     ,2055.0    ,4121.76           ,4874.5599999999995,5306.8            ,D              ,2060
TV2     ,25946.0   ,38118.0           ,41333.11          ,43149.55          ,B              ,41350
TVT     ,15935.0   ,21131.44          ,22803.16          ,23775.8           ,B              ,22800
WSS     ,1384.0    ,3254.14           ,3953.0            ,4410.700000000001 ,A              ,4410
