Ticker,Group          ,Breakeven Price,1% at Risk        ,3% at Risk        ,5% at Risk        ,Proposed Price
ACB   ,A              ,13600          ,19805.0           ,21376.57          ,22353.0           ,22350
BAB   ,C              ,8690           ,13410.2           ,14867.039999999999,15587.4           ,13400
BID   ,A              ,18650          ,25677.98          ,27534.94          ,28477.0           ,28500
NVB   ,C              ,12500          ,18818.96          ,20788.84          ,21635.0           ,18800
CTG   ,B              ,11850          ,18118.2           ,19851.65          ,20752.0           ,19850
SHB   ,C              ,9270           ,15178.95          ,16868.65          ,17751.75          ,15200
EIB   ,C              ,11250          ,15812.37          ,17157.0           ,17807.95          ,15800
AAV   ,B              ,9940           ,15293.44          ,16931.8           ,17919.0           ,16950
HDB   ,C              ,7440           ,12448.0           ,13917.0           ,14677.0           ,12450
ACM   ,D              ,600            ,1533.76           ,1870.6399999999999,2061.0            ,600
LPB   ,C              ,9600           ,14325.7           ,15607.48          ,16307.4           ,14350
MBB   ,A              ,9600           ,15389.41          ,17006.41          ,17923.35          ,17900
ADC   ,B              ,870            ,3723.2200000000003,5134.22           ,5990.700000000001 ,5130
MSB   ,A              ,13450          ,19379.04          ,20826.0           ,21646.4           ,21650
ALT   ,B              ,3220           ,6309.0            ,7198.0            ,7682.0            ,7200
OCB   ,A              ,8960           ,13920.02          ,15219.67          ,16001.45          ,16000
AMC   ,B              ,6760           ,12665.78          ,14404.699999999999,15325.7           ,14400
SSB   ,C              ,15950          ,23138.48          ,25117.34          ,26323.5           ,23150
AME   ,C              ,2760           ,4670.01           ,5275.0            ,5604.05           ,4670
STB   ,C              ,6550           ,11935.0           ,13607.0           ,14494.0           ,11950
AMV   ,A              ,4030           ,6233.0            ,6856.0            ,7178.0            ,7180
TCB   ,A              ,25650          ,35046.12          ,37593.36          ,38934.0           ,38950
API   ,C              ,14000          ,23027.64          ,25904.84          ,27353.2           ,23050
TPB   ,A              ,17650          ,25515.75          ,27521.55          ,28771.0           ,28750
APP   ,B              ,1130           ,2541.0            ,3149.96           ,3493.0            ,3150
VCB   ,A              ,51900          ,69910.2           ,74148.1           ,76368.0           ,76400
ARM   ,C              ,19850          ,29727.6           ,32753.2           ,34092.0           ,29750
VIB   ,C              ,13600          ,21840.48          ,24036.16          ,25449.6           ,21850
ASG   ,B              ,12700          ,17923.2           ,19247.9           ,19997.0           ,19250
VPB   ,A              ,36400          ,48225.79          ,51240.53          ,53074.4           ,53100
ATS   ,B              ,20800          ,25773.0           ,26915.09          ,27605.15          ,26900
AAA   ,B              ,6680           ,10039.0           ,10936.0           ,11403.9           ,10950
BAX   ,A              ,32750          ,46928.2           ,51359.56          ,53568.8           ,53600
BBS   ,D              ,3500           ,5574.72           ,6287.58           ,6658.3            ,3500
AAM   ,B              ,2010           ,4134.28           ,4841.84           ,5223.0            ,4840
BCC   ,B              ,7070           ,11301.08          ,12529.36          ,13195.0           ,12550
AAT   ,A              ,9550           ,14240.33          ,15546.0           ,16309.9           ,16300
BCF   ,A              ,15950          ,23747.0           ,25845.73          ,26943.0           ,26950
ABS   ,B              ,5520           ,9574.38           ,10805.279999999999,11450.0           ,10800
BDB   ,B              ,4270           ,6308.81           ,6866.0            ,7153.0            ,6870
ABT   ,B              ,11550          ,16966.36          ,18273.0           ,19015.8           ,18250
ACC   ,C              ,5920           ,9386.79           ,10382.0           ,10900.0           ,9390
BED   ,A              ,20250          ,28862.94          ,31413.96          ,32654.75          ,32650
ACL   ,B              ,5510           ,8025.0            ,8704.71           ,9049.85           ,8700
BII   ,A              ,7140           ,12421.32          ,15165.75          ,16356.05          ,16350
ADG   ,B              ,20850          ,28139.0           ,30010.14          ,30957.9           ,30000
BKC   ,D              ,2190           ,3753.36           ,4357.04           ,4694.0            ,2190
ADS   ,C              ,18400          ,24796.72          ,26440.0           ,27423.2           ,24800
BLF   ,D              ,1400           ,2060.0            ,2217.0            ,2305.0            ,1400
AGG   ,B              ,25500          ,32477.65          ,34118.65          ,35124.0           ,34100
BNA   ,B              ,22850          ,36397.86          ,40414.58          ,42387.25          ,40400
AGM   ,B              ,6000           ,13256.1           ,15665.9           ,16981.0           ,15650
BPC   ,B              ,3720           ,6855.55           ,7723.13           ,8195.0            ,7720
BSC   ,Not enough data,7610           ,10101.82          ,10734.46          ,11075.1           ,Not enough data
AMD   ,B              ,640            ,1678.96           ,2037.0            ,2235.0            ,2040
BST   ,B              ,4070           ,6672.0            ,7659.59           ,8181.0            ,7660
ANV   ,C              ,11200          ,17498.86          ,19158.0           ,20157.3           ,17500
BTS   ,B              ,1820           ,4042.84           ,4812.0            ,5279.200000000001 ,4810
APC   ,B              ,9760           ,13482.9           ,14726.0           ,15389.0           ,14750
BTW   ,A              ,7860           ,14936.4           ,16882.760000000002,17970.0           ,17950
APH   ,B              ,12500          ,20856.44          ,23234.760000000002,24505.4           ,23250
BXH   ,B              ,7230           ,8775.25           ,9137.0            ,9330.0            ,9140
C69   ,Not enough data,2250           ,4830.26           ,5710.889999999999 ,6189.15           ,Not enough data
ASM   ,B              ,3460           ,6524.91           ,7548.73           ,8189.0            ,7550
C92   ,C              ,910            ,2146.32           ,2590.0            ,2834.0            ,2150
ASP   ,C              ,6090           ,8338.03           ,9029.03           ,9362.05           ,8340
CAG   ,A              ,4220           ,9333.09           ,10890.0           ,11825.45          ,11850
AST   ,C              ,28450          ,37110.77          ,39349.33          ,40598.0           ,37100
CAN   ,B              ,6750           ,14045.08          ,16239.48          ,17474.8           ,16250
BBC   ,B              ,19400          ,32575.2           ,36450.0           ,38462.0           ,36450
CAP   ,B              ,51600          ,61455.19          ,64472.85          ,65806.0           ,64500
BCE   ,B              ,6610           ,9469.0            ,10245.0           ,10666.8           ,10250
CEO   ,D              ,3040           ,5534.0            ,6221.0            ,6612.8            ,3040
CET   ,B              ,820            ,2040.3899999999999,2511.0            ,2824.0            ,2510
BCG   ,B              ,7080           ,10959.78          ,12020.78          ,12657.3           ,12000
CIA   ,Not enough data,5420           ,8260.0            ,9032.0            ,9462.8            ,Not enough data
