Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Groupp,Breakeven Price
DHC,47601.0,65445.4,70231.8,72778.2,A,72800
HCC,7197.0,9477.09,10006.0,10294.0,B,10000
DHG,60215.0,75041.2,78742.0,80596.0,A,80600
HCT,4606.0,7534.82,8606.46,9190.0,A,9190
DHM,8458.0,10530.0,11055.0,11322.7,B,11050
HDA,15821.0,20672.56,21830.96,22534.8,B,21850
DIG,20760.0,32457.7,35859.2,37656.7,C,32450
HEV,1187.0,3212.38,4185.0,4764.9,B,4180
DLG,2317.0,3851.8,4336.2,4612.0,D,2320
HGM,18869.0,27251.6,29745.4,31096.0,A,31100
DMC,31514.0,41560.61,44108.66,45423.2,A,45400
HHC,14227.0,28560.91,33179.55,35659.0,D,14250
DPG,28873.0,47688.2,53361.6,56348.0,B,53400
HHG,1220.0,2477.0,2886.0,3122.0,C,2480
DPM,13614.0,23137.52,26210.78,27928.15,A,27950
HJS,11884.0,19072.64,20957.0,21896.0,A,21900
DPR,47299.0,60889.42,64757.26,66816.6,A,66800
HKT,1635.0,3023.0,3397.0,3617.0,B,3400
DQC,13212.0,18857.15,20397.29,21228.75,C,18850
HLC,2266.0,4786.16,5820.0,6404.0,D,2270
DRC,15177.0,21877.62,23707.26,24657.2,A,24650
HLD,23056.0,31573.8,34271.1,35664.5,B,34250
DRH,7376.0,12511.14,13996.0,14817.1,C,12500
HMH,7240.0,10422.96,11259.0,11750.7,A,11750
DRL,44782.0,53135.9,55452.6,56522.0,A,56500
HOM,3579.0,5654.45,6371.45,6738.25,C,5650
DSN,29608.0,34874.08,36467.68,37262.0,A,37250
HPM,5676.0,7264.35,7655.049999999999,7856.0,B,7660
DTA,12419.0,17799.47,20043.43,21049.35,C,17800
HTC,13399.0,19347.6,20937.72,21759.0,A,21750
DTL,22022.0,27897.8,29788.5,30572.0,C,27900
HTP,2026.0,6705.17,8646.17,9772.95,C,6710
DTT,8278.0,10437.0,11029.0,11343.7,B,11050
DVP,31700.0,42379.19,44936.0,46503.95,A,46500
HUT,1806.0,4016.95,4823.0,5344.0,C,4020
DXG,8787.0,14156.44,15544.0,16334.3,A,16350
HVT,23309.0,36175.55,39568.2,41441.75,B,39550
DXS,6939.0,13025.53,14948.0,15972.65,A,15950
ICG,5013.0,9157.2,10365.46,10995.1,C,9160
DXV,1547.0,2924.91,3477.0,3781.0,B,3480
IDC,34487.0,49750.24,55251.43,58274.85,C,49750
E1VFVN30,16566.0,20350.44,21314.22,21780.7,Not enough data,16550
IDJ,30765.0,42668.0,47468.59,49558.35,C,42650
IDV,29915.0,44011.64,47619.49,49795.0,Not enough data,29900
INC,2670.0,5152.72,5871.0,6268.6,B,5870
ELC,13096.0,18488.22,19929.82,20827.6,B,19950
INN,18418.0,25647.7,27395.55,28294.0,B,27400
EMC,6146.0,9181.49,10007.0,10433.45,C,9180
EVE,8883.0,13027.72,14156.79,14780.900000000001,B,14150
ITQ,831.0,2256.0,2829.0,3213.0,B,2830
EVG,4628.0,7300.04,8181.0,8644.0,A,8640
KDM,1349.0,3224.94,3903.0,4276.700000000001,A,4280
FCM,4506.0,6326.48,6867.72,7129.0,B,6870
KHS,7809.0,12879.42,14685.26,15701.0,B,14700
FCN,6635.0,10052.75,10919.0,11418.5,C,10050
KKC,2496.0,6886.03,8584.09,9511.15,A,9510
FDC,2610.0,5768.51,6788.0,7355.55,B,6790
KLF,552.0,1404.0,1742.1299999999999,1944.5500000000002,B,1740
FIR,23947.0,30183.8,31693.1,32416.0,A,32400
KMT,3555.0,5985.0,6628.0,6970.0,B,6630
FIT,3432.0,6486.0,7380.68,7858.0,A,7860
FLC,4462.0,6679.7,7474.3,7971.0,B,7470
KSD,773.0,1705.0,2087.42,2304.0,B,2090
FMC,27308.0,35308.42,37922.24,39479.3,B,37900
KSF,25244.0,36273.79,41273.36,44107.8,Not enough data,25250
FPT,55401.0,71814.2,76111.7,78209.5,A,78200
KSQ,1948.0,3850.88,4403.28,4748.0,A,4750
FRT,13631.0,24381.14,27700.42,29642.7,B,27700
KST,18161.0,23668.9,25119.1,25828.0,A,25850
FTM,1499.0,2741.0,3083.23,3297.0,D,1500
KTS,2470.0,7036.09,8788.27,9780.45,C,7040
FUCTVGF2,5096.0,8100.0,8901.66,9329.7,Not enough data,5100
KTT,1170.0,3126.0,3862.0,4318.0,C,3130
FUCVREIT,2822.0,4844.35,5501.35,5861.25,Not enough data,2820
KVC,1043.0,2345.63,2800.0,3041.0,C,2350
FUEMAV30,10800.0,13648.34,14360.67,14736.45,Not enough data,10800
L14,84878.0,120180.61,132599.16,139211.7,A,139200
FUESSV30,9170.0,12763.58,13731.48,14219.0,Not enough data,9170
FUESSV50,15148.0,18201.48,18985.44,19341.0,Not enough data,15150
L18,7331.0,18430.48,22613.84,24927.2,C,18450
FUESSVFL,11688.0,15414.0,16298.5,16767.5,Not enough data,11700
L35,1706.0,2892.0,3243.0,3424.0,D,1710
FUEVFVND,18694.0,22536.76,23505.68,24026.4,Not enough data,18700
L40,9128.0,16340.25,18586.75,19833.5,C,16350
FUEVN100,12503.0,15277.84,15967.52,16308.2,Not enough data,12500
L43,477.0,1429.75,1802.0,2017.0,C,1430
GAB,178321.0,185580.28,187192.68,187972.0,B,187200
L61,1170.0,2542.0,2994.0,3243.0,C,2540
GAS,65896.0,85209.35,91120.68,94215.4,A,94200
L62,2520.0,3778.0,4116.0,4294.0,C,3780
GDT,33021.0,44358.0,47252.4,48871.0,A,48850
LAS,9050.0,13854.98,15428.38,16290.6,B,15450
GEG,9528.0,12873.01,13916.03,14453.0,C,12850
LBE,6464.0,11577.01,13112.03,13936.0,C,11600
GEX,13499.0,19911.56,21590.34,22618.0,C,19900
LCD,10478.0,14461.0,15607.0,16174.0,C,14450
