Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group,Breakeven Price
ACB,14000,20200,21850,22700,A,22700
BAB,8340,12850,14050,14750,C,12850
BID,16700,24800,27050,28200,A,28200
NVB,10800,17150,19000,20050,C,17150
CTG,11900,18000,19700,20550,B,19700
SHB,6640,11000,12250,12950,C,11000
AAV,8370,13600,15050,15950,B,15050
EIB,8660,15200,17150,18150,C,15200
HDB,10050,15400,16900,17700,C,15400
ACM,270,770,970,1080,D,270
LPB,8920,12700,13900,14550,C,12700
ADC,1610,5160,6600,7440,B,6600
MBB,11450,18050,19850,20850,A,20850
ALT,920,3580,4700,5350,B,4700
MSB,10200,15300,16650,17400,A,17400
AMC,6140,11650,13350,14200,B,13350
OCB,10150,15350,16750,17500,A,17500
AME,1800,3950,4700,5150,C,3950
SSB,17200,24700,26700,27750,C,24700
AMV,3730,6310,7070,7470,A,7470
STB,8200,14400,16200,17200,C,14400
API,9910,23350,28150,30750,C,23350
TCB,24100,33400,35650,36850,A,36850
TPB,15100,23600,25900,27150,A,27150
APP,860,2720,3420,3820,B,3420
VCB,35100,50800,55100,57200,A,57200
ARM,22350,32550,35150,36550,C,32550
VIB,15850,25050,27700,29050,C,25050
ASG,18600,22650,23900,24500,B,23900
VPB,8260,15500,17800,19000,A,19000
ATS,12300,17300,18600,19250,B,18600
AAA,3990,7570,8670,9260,B,8670
BAX,35650,49750,53500,55400,A,55400
AAM,5380,7650,8290,8660,B,8290
BBS,4360,6880,7640,8050,D,4360
AAT,4780,7560,8330,8740,A,8740
BCC,2960,6910,8280,9030,B,8280
ABS,4820,9800,11200,12050,B,11200
BCF,19400,26350,28200,29100,A,29100
ABT,15950,23750,25750,26800,B,25750
BDB,2560,5070,5810,6200,B,5810
ACC,4290,9250,10900,11800,C,9250
BED,21050,30000,32300,33650,A,33650
ACL,9910,14200,15300,16000,B,15300
BII,1340,3540,4340,4830,A,4830
ADG,25450,34450,36500,37650,B,36500
BKC,1760,3540,4280,4680,D,1760
ADS,14150,20700,22450,23450,C,20700
BLF,1960,2980,3240,3400,D,1960
AGG,18600,27400,29750,31000,B,29750
BNA,20100,28150,30300,31450,B,30300
AGM,9700,20100,23650,25650,B,23650
BPC,2910,5680,6450,6880,B,6450
AMD,1580,3000,3420,3660,B,3420
BSC,11500,16150,17350,18100,Not enough data,11500
ANV,7890,15750,18250,19600,C,15750
BST,1680,4160,5290,5940,B,5290
APC,11900,17300,18700,19450,B,18700
BTS,1970,4150,4960,5420,B,4960
APH,6640,11350,12750,13500,B,12750
BTW,9980,17500,19550,20650,A,20650
ASM,5270,8960,10050,10650,B,10050
BXH,7770,10900,11650,12150,B,11650
ASP,6620,9560,10500,11000,C,9560
C69,5030,8170,9080,9610,Not enough data,5030
AST,30450,40300,42800,44050,C,40300
C92,840,2270,2800,3100,C,2270
BBC,22700,37700,41700,43800,B,41700
CAG,5020,9180,10450,11150,A,11150
BCE,3190,6280,7250,7770,B,7250
CAN,5400,14450,17800,19650,B,17800
BCG,7430,12450,13900,14700,B,13900
CAP,59700,72300,75600,77200,B,75600
BCM,33300,48050,52400,54500,B,52400
