Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group,Breakeven Price
HVT,21850,33000,36000,37800,B,36000
E1VFVN30,16500,20250,21100,21550,Not enough data,16500
ICG,4150,6760,7630,8050,C,6760
ELC,5870,10750,12250,13000,B,12250
IDC,12150,26700,31700,34400,C,26700
EMC,3630,7440,8710,9390,C,7440
IDJ,4920,10900,12950,14200,C,10900
EVE,6580,10250,11250,11700,B,11250
IDV,30900,43900,47150,49050,Not enough data,30900
EVG,3640,6730,7670,8190,A,8190
INC,4670,8250,9260,9810,B,9260
FCM,2390,4440,5070,5400,B,5070
INN,24750,32400,34300,35400,B,34300
FCN,4880,10000,11700,12550,C,10000
ITQ,860,2300,2840,3170,B,2840
FDC,5520,9920,11550,12450,B,11550
KDM,960,2410,2940,3220,A,3220
FIR,32300,39550,41550,42400,A,42400
KHS,3230,8130,10150,11350,B,10150
FIT,2300,5070,6000,6500,A,6500
KKC,4330,8590,10300,11200,A,11200
FLC,3370,6350,7230,7720,B,7230
FMC,31400,41800,44900,46400,B,44900
KLF,400,1370,1750,1990,B,1750
FPT,53100,68200,71900,73900,A,73900
KMT,3240,5670,6320,6680,B,6320
FRT,29800,55100,62900,67500,B,62900
KSD,1200,2950,3570,3910,B,3570
FTM,1300,2560,2950,3140,D,1300
KSF,33550,57800,64700,69200,Not enough data,33550
FUCTVGF2,2420,4370,4960,5270,Not enough data,2420
KSQ,1340,3010,3550,3860,A,3860
FUCVREIT,2700,4840,5490,5830,Not enough data,2700
KST,5350,8920,9980,10550,A,10550
FUEMAV30,11000,13800,14450,14750,Not enough data,11000
KTS,2620,6640,8090,8890,C,6640
FUESSV30,8220,12050,13000,13500,Not enough data,8220
KTT,1100,3080,3900,4460,C,3080
FUESSV50,15000,18000,18700,19100,Not enough data,15000
KVC,1110,2630,3140,3440,C,2630
FUESSVFL,11550,15850,16900,17450,Not enough data,11550
L14,49900,112600,137800,152000,A,152000
FUEVFVND,19000,22950,23950,24400,Not enough data,19000
L18,6490,17200,21150,23350,C,17200
FUEVN100,12900,15750,16550,16900,Not enough data,12900
L35,800,1910,2360,2610,D,800
GAB,175200,183300,185100,185900,B,185100
L40,6990,13600,15700,16800,C,13600
GAS,57700,77900,83800,86800,A,86800
L43,680,1920,2390,2660,C,1920
GDT,24750,35300,37850,39200,A,39200
L61,540,1730,2210,2490,C,1730
GEG,11600,16450,17900,18650,C,16450
L62,1860,3080,3460,3680,C,3080
GEX,14000,22800,25200,26750,C,22800
LAS,3180,7270,8660,9430,B,8660
GIL,32200,49150,53800,56300,A,56300
LBE,7620,14200,16250,17300,C,14200
GMC,5760,11350,13150,14050,B,13150
LCD,7180,10900,11950,12500,C,10900
GMD,17350,28550,31750,33400,B,31750
LCS,410,1100,1360,1500,D,410
GSP,6370,9550,10400,10850,B,10400
LDP,4950,12650,15550,17150,C,12650
GTA,7060,10050,11050,11600,B,11050
LHC,51600,79500,88200,92500,A,92500
GTN,5460,9180,10300,10850,A,10850
LIG,1790,4450,5400,5920,C,4450
GVR,9090,15350,17700,18950,A,18950
LM7,530,1580,1990,2220,D,530
HAG,2560,4880,5600,6000,B,5600
LUT,2000,3710,4420,4800,Not enough data,2000
HAH,20850,39250,44900,47900,A,47900
MAC,2750,4790,5370,5720,C,4790
HAI,1020,2240,2660,2880,B,2660
MAS,12500,24150,27550,29350,C,24150
HAP,2760,5480,6360,6840,B,6360
MBG,1500,4080,5040,5580,A,5580
HAR,1880,4020,4720,5100,B,4720
MCC,5780,7420,7830,8040,B,7830
HAS,2840,5110,5850,6280,B,5850
MCF,3390,5360,5930,6260,B,5930
HAX,11250,18600,20600,21850,A,21850
MCO,650,1860,2330,2590,C,1860
HBC,4700,10150,11950,12900,C,10150
MDC,2030,5190,6380,7040,C,5190
HCD,2670,5440,6320,6800,B,6320
MED,8060,12950,14650,15550,C,12950
HDC,36500,57200,63100,66400,B,63100
MEL,5560,9330,10400,11050,B,10400
HDG,30800,45250,49050,51300,C,45250
MHL,520,1500,1890,2100,D,520
HHP,2760,5400,6240,6680,B,6240
MIM,2280,4450,5070,5440,D,2280
HHS,2330,4440,5130,5530,A,5530
MKV,3990,6440,7110,7490,C,6440
HID,1980,4180,4890,5280,C,4180
MST,7840,11100,12000,12500,C,11100
HII,6150,9680,10550,11050,B,10550
MVB,9200,14650,16350,17300,Not enough data,9200
HMC,12700,17450,18950,19700,A,19700
NAG,7090,10050,10900,11300,C,10050
HNG,2320,4380,5010,5350,D,2320
NAP,1210,3210,3980,4410,A,4410
HOT,7230,14300,16750,18150,B,16750
NBC,3010,6740,8230,9100,C,6740
HPG,19550,29200,31900,33250,A,33250
NBP,7630,12050,13200,13950,A,13950
HPX,10850,16850,18500,19400,C,16850
NBW,3820,8300,9700,10400,A,10400
HQC,2230,3920,4470,4730,C,3920
NDN,6370,10450,11600,12200,A,12200
HRC,20000,29950,33250,35000,C,29950
NDX,2970,5210,5820,6150,B,5820
