Ticker,Group,Breakeven Price,1% at Risk,3% at Risk,5% at Risk,Proposed Price
BAB,C,8960,13795.2,15286.8,16030.0,13800
ACB,A,13800,20123.33,21705.989999999998,22708.0,22700
NVB,C,11950,18050.46,19942.46,20787.4,18050
BID,A,18750,25753.56,27608.84,28556.0,28550
CTG,B,12000,18340.06,20095.09,21000.3,20100
SHB,C,9490,15542.39,17224.34,18125.95,15550
EIB,C,10800,15244.5,16531.0,17157.25,15250
AAV,B,10000,15418.75,17075.25,18052.75,17100
HDB,C,7440,12468.0,13938.94,14698.0,12450
ACM,D,480,1276.05,1561.15,1713.25,480
LPB,C,9540,14236.48,15508.66,16203.1,14250
MBB,A,9840,15783.9,17438.0,18375.9,18400
ADC,B,1020,3916.09,5361.0,6235.0,5360
MSB,A,14050,20200.04,21661.9,22445.3,22450
ALT,B,3220,6252.88,7144.32,7614.200000000001,7140
OCB,A,9310,14384.75,15705.75,16533.25,16550
AMC,B,6020,11388.96,13015.0,13842.7,13000
SSB,C,16200,23430.96,25411.49,26616.55,23450
AME,C,3220,5429.5,6134.0,6506.0,5430
STB,C,6650,12049.64,13722.380000000001,14604.0,12050
AMV,A,3880,6016.26,6623.0,6935.0,6940
TCB,A,25700,35102.08,37642.2,38996.4,39000
API,C,13400,22048.44,24834.32,26253.4,22050
TPB,A,18400,26613.36,28672.78,29969.8,29950
VCB,A,51600,69650.29,73909.35,76119.7,76100
APP,B,870,2342.3,2933.8999999999996,3273.0,2930
VIB,C,13350,21473.79,23686.79,25083.3,21450
ARM,C,20800,31141.52,34264.72,35665.6,31150
VPB,A,36550,48401.5,51426.0,53279.5,53300
ASG,B,12650,17905.7,19231.1,19982.0,19250
AAA,B,6520,9873.67,10740.01,11207.0,10750
ATS,B,20800,25773.0,26915.09,27605.15,26900
BAX,A,33950,48584.72,53121.24,55412.0,55400
AAM,B,2110,4098.75,4767.0,5189.0,4770
BBS,D,3450,5508.0,6216.0,6584.0,3450
AAT,A,9430,14063.17,15383.93,16119.55,16100
BCC,B,6420,10351.0,11509.0,12142.2,11500
ABS,B,6340,10979.13,12385.39,13122.65,12400
BCF,A,16350,24220.0,26331.91,27469.85,27450
ABT,B,11650,17093.1,18407.15,19121.0,18400
BDB,B,4270,6308.81,6866.0,7153.0,6870
ACC,C,5450,8699.48,9619.0,10097.4,8700
BED,A,20250,28862.94,31413.96,32654.75,32650
ACL,B,5300,7741.96,8402.96,8739.6,8400
BII,A,5130,9775.6,11784.36,12647.3,12650
ADG,B,21150,28504.12,30397.18,31367.0,30400
ADS,C,18300,24696.0,26324.44,27317.2,24700
BKC,D,1120,2471.0,3048.0,3379.0,1120
AGG,B,25400,32359.16,34004.24,35008.7,34000
BLF,D,1340,1984.0,2136.0,2221.0,1340
AGM,B,6550,13654.2,16082.2,17379.0,16100
BNA,B,22150,35355.72,39257.92,41217.8,39250
BPC,B,3860,6966.78,7819.78,8288.0,7820
AMD,B,580,1565.0,1909.0,2098.0,1910
BSC,Not enough data,8240,11008.57,11686.57,12079.0,Not enough data
BST,B,4200,6867.0,7902.79,8437.0,7900
ANV,C,10650,16704.28,18309.84,19268.4,16700
BTS,B,1600,3437.0,4150.0,4556.0,4150
APC,B,10200,14099.86,15400.16,16085.3,15400
APH,B,12500,20855.38,23234.760000000002,24504.3,23250
BTW,A,8120,15416.0,17424.4,18555.0,18550
BXH,B,7230,8775.25,9137.0,9330.0,9140
ASM,B,3310,6253.4,7234.24,7851.8,7230
C69,Not enough data,2160,4650.0,5497.0,5957.0,Not enough data
ASP,C,5290,7335.54,7951.0,8250.0,7340
C92,C,860,1998.0,2391.0,2621.0,2000
AST,C,28900,37562.11,39810.11,41082.7,37550
CAG,A,3800,8427.22,9849.0,10690.1,10700
BBC,B,19750,33581.2,37546.66,39635.1,37550
CAN,B,7310,15229.28,17591.0,18953.4,17600
BCE,B,6290,9050.52,9807.0,10221.1,9810
CAP,B,49950,61184.88,63896.0,65518.7,63900
