Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group,Breakeven Price
ACB,15500,22150,23800,24800,A,24800
BAB,8480,13200,14450,15250,C,13200
NVB,11850,18650,20650,21650,C,18650
BID,20300,29600,32100,33400,A,33400
SHB,7190,11950,13250,14050,C,11950
CTG,14900,22150,24100,25100,B,24100
AAV,7530,12200,13500,14300,B,13500
EIB,10450,18000,20300,21500,C,18000
HDB,12300,18500,20150,21050,C,18500
ACM,260,740,920,1020,D,260
LPB,6240,11300,12850,13650,C,11300
ADC,1350,4640,6030,6840,B,6030
MBB,12450,19400,21200,22300,A,22300
ALT,1010,3880,5090,5790,B,5090
MSB,11350,16800,18200,19100,A,19100
AMC,7110,11650,13300,14200,B,13300
OCB,11150,16700,18150,19050,A,19050
AME,2010,4290,5070,5540,C,4290
SSB,18000,25750,28000,29000,C,25750
AMV,3120,5260,5890,6220,A,6220
STB,8590,15550,17650,18900,C,15550
API,7730,19000,23100,25350,C,19000
TCB,26850,37050,39600,40850,A,40850
APP,830,2620,3310,3720,B,3310
TPB,16050,24700,27000,28450,A,28450
ARM,22050,31550,34100,35450,C,31550
VCB,37250,54000,58500,60800,A,60800
ASG,16050,20450,21550,22100,B,21550
VIB,17550,27350,29950,31550,C,27350
ATS,16550,21700,23000,23700,B,23000
VPB,8800,16400,18700,20000,A,20000
BAX,36550,50700,54200,56300,A,56300
AAA,3630,6970,8010,8560,B,8010
BBS,3870,6180,6910,7310,D,3870
AAM,3000,5340,6090,6560,B,6090
BCC,2540,5870,7010,7640,B,7010
AAT,4150,6680,7400,7790,A,7790
BCF,18600,26000,27900,28900,A,28900
ABS,4460,8870,10150,10900,B,10150
BDB,3420,6620,7560,8040,B,7560
ABT,13750,20950,22700,23650,B,22700
BED,20450,29000,31600,32850,A,32850
ACC,3620,7740,9100,9880,C,7740
BII,890,2420,2980,3320,A,3320
ACL,7040,10200,11050,11500,B,11050
BKC,1090,2630,3170,3470,D,1090
ADG,25650,34750,36900,38050,B,36900
BLF,2310,3510,3820,4020,D,2310
ADS,12450,18250,19850,20700,C,18250
BNA,20100,28450,30750,32000,B,30750
AGG,18700,27450,29800,31050,B,29800
BPC,2940,5260,5970,6340,B,5970
AGM,6220,13850,16450,17850,B,16450
BSC,11450,16150,17400,18100,Not enough data,11450
AMD,1300,2530,2890,3090,B,2890
BST,1400,3880,4830,5430,B,4830
ANV,5510,10950,12700,13600,C,10950
BTS,1710,3540,4280,4700,B,4280
APC,10450,14950,16250,16900,B,16250
BTW,9320,16200,18100,19150,A,19150
APH,8820,14650,16300,17200,B,16300
BXH,7770,10900,11650,12150,B,11650
ASM,3790,6730,7620,8080,B,7620
C69,2880,5790,6700,7230,Not enough data,2880
ASP,4600,6720,7360,7700,C,6720
C92,810,2210,2740,3030,C,2210
AST,28050,36650,38800,39900,C,36650
CAG,4210,7880,8980,9620,A,9620
BBC,18500,31950,35600,37500,B,35600
CAN,4120,13600,17350,19550,B,17350
CAP,58500,70300,73100,74800,B,73100
BCE,2990,5810,6700,7170,B,6700
CDN,9160,14300,15750,16550,Not enough data,9160
BCG,6710,11300,12550,13350,B,12550
BCM,33900,48650,53100,55300,B,53100
CEO,3210,12050,15750,17950,D,3210
BFC,6170,11650,13350,14250,B,13350
CET,760,2070,2560,2840,B,2560
BHN,26700,36700,39600,41150,A,41150
