Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Groupp,Breakeven Price
BAB,8263.0,12865.08,14244.76,14936.2,C,12850
ACB,13616.0,19932.37,21604.11,22538.55,A,22550
NVB,11152.0,17165.03,18956.06,19811.05,C,17150
BID,18666.0,25709.6,27543.6,28484.5,A,28500
SHB,9665.0,16017.85,17790.4,18763.0,C,16000
CTG,10689.0,16552.1,18194.1,19053.0,B,18200
AAV,10609.0,15911.2,17650.4,18655.0,B,17650
EIB,10265.0,14633.36,15858.16,16488.8,C,14650
ACM,568.0,1431.0,1734.0,1900.0,D,570
HDB,8673.0,13617.45,15024.35,15755.25,C,13600
LPB,8355.0,12881.78,14112.26,14745.300000000001,C,12900
ADC,1109.0,3416.0,4580.24,5301.0,B,4580
MBB,10029.0,15858.74,17436.0,18357.0,A,18350
ALT,3199.0,6613.53,7637.0,8174.0,B,7640
MSB,8567.0,13042.41,14250.82,14932.0,A,14950
AMC,5423.0,10617.79,12147.79,12976.1,B,12150
OCB,10478.0,15909.38,17346.07,18233.0,A,18250
AME,2921.0,4836.85,5465.0,5805.0,C,4840
SSB,17275.0,24626.31,26617.03,27851.3,C,24650
AMV,3623.0,5676.0,6260.82,6562.0,A,6560
STB,6653.0,11963.85,13599.0,14463.0,C,11950
API,7630.0,17821.18,21446.0,23446.100000000002,C,17800
TCB,27123.0,37085.55,39758.0,41040.0,A,41050
TPB,19438.0,28112.6,30339.8,31693.2,A,31700
APP,1016.0,3174.95,4044.85,4536.0,B,4040
VCB,48099.0,65695.03,69830.09,71946.0,A,71900
ARM,19583.0,29969.56,33061.28,34516.1,C,29950
VIB,11813.0,19313.7,21463.760000000002,22606.0,C,19300
ASG,14153.0,18854.2,20045.32,20706.0,B,20050
VPB,9287.0,17325.72,19796.58,21199.25,A,21200
ATS,20784.0,25773.0,26915.09,27605.15,B,26900
AAA,6444.0,9704.0,10571.0,11017.2,B,10550
BAX,33837.0,46235.3,50459.32,52647.0,A,52600
BBS,4053.0,6244.0,6993.0,7399.0,D,4050
AAM,2172.0,4170.11,4839.33,5261.0,B,4840
BCC,9356.0,14848.0,16510.0,17306.0,B,16500
AAT,7012.0,10997.6,12157.28,12785.0,A,12800
BCF,16629.0,24204.89,26220.81,27319.35,A,27300
ABS,4917.0,8813.37,10014.0,10646.85,B,10000
BDB,7129.0,10586.13,11707.78,12201.65,B,11700
ABT,15062.0,22066.239999999998,23819.12,24703.1,B,23800
BED,20265.0,28862.94,31413.96,32654.75,A,32650
ACC,6383.0,10119.0,11191.0,11742.65,C,10100
BII,3251.0,6683.92,7995.8,8676.4,A,8680
ACL,5706.0,8130.58,8782.0,9114.0,B,8780
ADG,23052.0,31062.3,33152.56,34208.3,B,33150
BKC,966.0,2460.0,3016.7200000000003,3326.0,D,970
ADS,15516.0,21930.8,23794.4,24725.0,C,21950
BLF,1600.0,2240.34,2408.0,2503.0,D,1600
AGG,26504.0,33651.4,35403.0,36415.2,B,35400
BNA,20347.0,29647.76,32424.52,33766.6,B,32400
BPC,3498.0,6243.1,6988.26,7409.1,B,6990
AGM,5231.0,12144.96,14489.97,15787.0,B,14500
BSC,7646.0,10298.0,10963.06,11330.55,Not enough data,7650
AMD,556.0,1503.66,1832.0,2017.0,B,1830
BST,4505.0,7271.05,8268.15,8838.25,B,8270
BTS,1725.0,3871.94,4623.82,5081.0,B,4620
ANV,12126.0,18962.04,20750.12,21881.2,C,18950
BTW,8241.0,15512.4,17513.829999999998,18663.0,A,18650
APC,9786.0,13476.0,14664.04,15276.7,B,14650
BXH,7865.0,9014.0,9276.0,9408.0,B,9280
APH,11327.0,19015.0,21223.0,22398.6,B,21200
C69,4313.0,7282.89,8159.0,8663.45,Not enough data,4310
ASM,3552.0,6731.0,7796.0,8465.0,B,7800
C92,784.0,1838.55,2207.0,2428.0,C,1840
ASP,6389.0,8958.62,9771.43,10201.0,C,8960
CAG,3037.0,7054.18,8270.77,8956.95,A,8960
AST,31023.0,40276.67,42713.69,44059.45,C,40300
CAN,7444.0,15505.33,17922.0,19304.65,B,17900
CAP,55979.0,65435.32,68875.52,70324.8,B,68900
CDN,10951.0,16444.84,18236.52,19183.1,Not enough data,10950
BBC,19934.0,33744.28,37777.46,39890.2,B,37800
CEO,2842.0,5264.0,5933.0,6307.0,D,2840
BCE,7422.0,10374.24,11320.72,11783.2,B,11300
CET,570.0,1585.0,1979.0,2202.0,B,1980
CIA,5933.0,9083.04,9901.03,10413.0,Not enough data,5930
BCG,8646.0,13243.68,14543.0,15250.25,B,14550
CJC,5801.0,8797.0,9616.43,10048.0,D,5800
BCM,20404.0,28456.42,30665.71,31816.85,B,30650
BFC,9789.0,16772.05,19012.21,20278.0,B,19000
CKV,5274.0,8077.03,8847.0,9251.0,A,9250
BHN,27852.0,38533.91,41724.29,43420.15,A,43400
CLH,16249.0,20460.95,21544.11,22072.7,A,22050
BKG,3919.0,5636.62,6205.0,6504.0,B,6200
CLM,8679.0,15661.3,17711.8,18802.0,B,17700
CMC,1428.0,2959.0,3422.0,3654.05,C,2960
BMC,4105.0,9432.55,11257.53,12262.55,A,12250
BMP,31027.0,38518.09,40596.0,41671.15,A,41650
CMS,490.0,1374.0,1705.0,1893.0,C,1370
BRC,8309.0,11311.79,12214.74,12648.0,B,12200
CPC,9486.0,13481.0,14796.26,15514.0,B,14800
BTP,8012.0,11186.39,12017.0,12442.65,B,12000
CSC,40150.0,58748.66,63814.28,67105.1,C,58700
BTT,24461.0,33286.7,35471.86,36731.0,A,36750
CTB,12051.0,16565.44,17934.32,18647.2,C,16550
