Ticker,Group,Breakeven Price,Proposed Price
CVN,A,3240,4758.0,5197.0599999999995,5436.0,5440
CHP,C,12350,14917.0,15545.0,15854.65,14900
CX8,C,3050,4332.97,4673.0,4848.0,4330
CIG,D,2100,3858.64,4381.0,4699.0,2100
D11,D,8310,13841.12,15357.119999999999,16127.4,8310
CII,C,8310,11522.88,12430.82,12925.7,11500
DAD,B,9190,14660.4,16152.44,17080.0,16150
CKG,D,9880,14948.39,16310.17,16986.95,9880
DAE,A,8340,12669.26,13797.0,14488.1,14500
CLC,A,15850,22328.65,23939.77,24717.0,24700
DC2,B,1200,3319.0,4161.0,4634.05,4160
ADG,A,22050,29741.26,31751.39,32762.0,32750
DHP,A,6040,7746.91,8162.73,8390.0,8390
CLL,A,16950,22651.51,24309.0,25176.3,25200
DHT,B,31600,37381.24,38739.72,39427.2,38750
CLW,A,11000,17589.0,19322.41,20245.0,20250
DIH,C,2190,5809.7,7164.7,7994.0,5810
CMG,B,26950,36568.8,38936.84,40393.8,38950
DL1,Not enough data,1310,2808.0,3246.0,3507.0,Not enough data
CMV,A,3040,5762.0,6620.0,7079.0,7080
DNC,C,11300,24581.74,28675.0,30821.8,24600
CMX,B,4960,7471.98,8192.94,8581.9,8190
DNM,C,8460,15351.75,17464.75,18566.25,15350
CNG,B,15450,19617.25,21045.55,21752.0,21050
DNP,B,6750,10650.92,11762.0,12337.2,11750
COM,A,6700,14629.4,17441.0,19147.5,19150
DPC,A,5780,10293.1,11839.0,12635.05,12650
DPS,Not enough data,290,431.0,472.0,494.0,Not enough data
CRC,B,2440,4994.45,5771.35,6202.25,5770
DST,Not enough data,620,1458.6599999999999,1709.98,1853.0,Not enough data
CSM,C,7940,11472.56,12323.0,12752.0,11450
DXP,A,7060,11487.16,12676.62,13430.0,13450
CSV,A,22150,30866.8,33034.4,34356.6,34350
CTD,A,29300,40562.4,43997.2,45866.0,45850
DZM,C,1380,2312.34,2623.0,2791.0,2310
CTF,C,11550,14591.0,15340.0,15717.9,14600
EBA,C,10550,12429.26,12926.56,13137.3,12450
CTI,C,7400,10730.0,11622.0,12092.0,10750
EBS,B,4380,6071.0,6510.0,6746.7,6510
ICT,B,7920,11507.09,12467.09,12961.15,12450
ECI,A,27550,35660.45,37591.14,38766.0,38750
EID,C,12450,16521.2,17643.4,18145.0,16500
CVT,B,8060,16302.15,18897.35,20303.0,18900
FID,A,560,1397.0,1689.0,1854.0,1850
D2D,A,19600,30323.7,33305.4,34840.0,34850
DP3,A,48950,74373.58,81069.64,84765.5,84800
DAG,D,2220,3271.77,3526.0,3668.0,2220
GDW,A,4580,10022.48,11719.72,12632.0,12650
DAH,C,2000,3860.87,4590.0,4993.450000000001,3860
ADS,C,18200,24591.44,26233.56,27216.2,24600
GLT,A,8400,15956.23,18113.46,19288.05,19300
GMA,B,28750,41000.5,43928.5,45569.5,43950
DPG,A,12350,21304.51,23816.0,25371.55,25350
GMX,B,7360,11784.25,12970.15,13615.5,12950
DBC,A,24050,36814.6,39993.72,41712.0,41700
GIC,Not enough data,7650,12733.84,14150.78,14850.1,Not enough data
DBT,C,6630,10032.72,11050.04,11607.8,10050
PHN,A,13200,22255.21,24732.63,26079.15,26100
DC4,C,5680,8508.0,9294.0,9697.15,8510
HAD,B,7650,10672.23,11521.0,11960.0,11500
DCL,B,16850,25096.21,27409.0,28682.85,27400
HAT,A,8560,12431.52,13439.0,14013.0,14000
DCM,A,6240,11063.5,12527.0,13371.75,13350
DGC,A,61300,82200.46,88357.78,91178.6,91200
HBE,A,1640,3236.63,3674.0,3918.0,3920
DGW,A,16550,35545.84,41648.6,45384.8,45400
HCC,B,5060,7128.9800000000005,7628.0,7886.0,7630
DHA,A,25800,33891.24,35918.48,37011.4,37000
HCT,Not enough data,3500,5836.96,6724.0,7201.0,Not enough data
DHC,A,41300,56882.4,61040.2,63317.0,63300
HDA,C,13300,17561.66,18617.56,19281.2,17550
DHG,A,62400,77080.0,80743.8,82545.6,82500
HEV,A,820,3076.56,4082.34,4670.0,4670
DHM,C,7870,9401.26,9784.26,9976.0,9400
HGM,A,21800,28200.75,29886.6,30734.5,30750
TTE,C,1680,3393.0,3941.0,4264.5,3390
HHC,D,15600,29616.3,33955.7,36311.5,15600
DIG,C,13200,20151.92,22115.79,23164.0,20150
HHG,C,570,1301.0,1541.79,1675.0,1300
DLG,D,490,1117.0,1327.0,1443.0,490
HJS,A,12500,19459.9,21271.34,22161.0,22150
DMC,A,32500,42959.31,45639.77,46983.95,47000
HKB,B,530,842.0,927.0,981.0,930
DPM,A,8540,15990.14,18317.06,19518.0,19500
HKT,B,1710,3079.0,3444.0,3650.0,3440
DPR,A,37300,48976.2,51971.0,53540.0,53500
HLC,C,4310,6945.0,7831.26,8266.0,6940
DQC,C,10250,14632.28,15728.68,16407.2,14650
HLD,B,17600,23888.24,25811.18,26810.3,25800
DRC,A,15750,22813.1,24635.0,25558.0,25550
HMH,A,6320,9641.6,10515.0,11059.0,11050
HOM,B,2220,3609.0,4024.0,4269.2,4020
HPM,B,9060,10050.0,10272.0,10384.0,10250
DRH,C,3420,5716.0,6375.0,6721.1,5720
HTC,A,14050,20130.81,21747.0,22580.0,22600
DRL,A,39550,47736.72,49524.0,50451.95,50500
DSN,A,27200,32685.0,34004.0,34660.1,34650
HTP,B,1440,5018.66,6539.98,7422.15,6540
DTA,Not enough data,5190,8575.56,9471.72,10029.9,Not enough data
DTL,D,15050,21565.16,23622.48,24823.9,15050
HUT,C,3040,4836.99,5417.0,5736.0,4840
DTT,Not enough data,7150,9719.7,10327.0,10635.5,Not enough data
HVT,B,13900,21548.0,23670.44,24788.7,23650
DVP,A,29600,39702.49,42126.38,43648.6,43650
ICG,B,1710,3334.0,3787.0,4044.0,3790
IDC,C,15900,23532.73,26111.57,27530.3,23550
DXG,B,4950,9355.0,10754.0,11498.0,10750
IDJ,A,8820,13230.28,14679.3,15371.1,15350
DXV,B,680,1513.63,1780.0,1926.0,1780
IDV,A,24450,35225.36,38061.27,39588.9,39600
ELC,B,9030,13077.98,14252.66,14796.0,14250
INC,B,2160,4190.92,4765.0,5083.0,4760
EMC,Not enough data,7450,11385.26,12366.26,12910.0,Not enough data
DDG,C,29150,32626.22,33463.66,33863.0,32650
EVE,B,6160,8952.23,9780.0,10207.15,9780
INN,A,18700,24521.56,26269.84,27171.7,27150
EVG,A,2240,4387.68,5041.04,5387.8,5390
ITQ,C,580,1580.69,1986.0,2240.0,1580
LEC,D,2630,5290.17,6210.51,6757.0,2630
ROS,C,1080,2040.8,2350.3999999999996,2530.0,2040
KDM,A,800,2166.95,2702.0,2996.75,3000
FCM,B,3270,4353.0,4697.0,4873.0,4700
KHS,B,7680,13279.0,14979.48,15967.6,15000
FCN,C,3800,6484.0,7327.0,7812.0,6480
FDC,B,4040,6552.6,7175.0,7508.0,7180
KKC,A,8100,12728.44,14619.16,15691.4,15700
FIR,B,18200,24973.38,26727.14,27654.9,26750
KLF,A,380,1012.0,1251.04,1402.0,1400
FIT,A,5820,9593.0,10754.52,11443.0,11450
GKM,B,9700,13292.72,14164.08,14701.8,14150
FLC,B,3830,5716.82,6450.46,6840.1,6450
KMT,B,3940,5655.0,6218.0,6507.0,6220
FMC,B,21650,28659.6,30990.0,32196.0,31000
KSD,Not enough data,500,1185.15,1425.0,1564.0,Not enough data
FTM,D,600,1159.21,1356.0,1465.0,600
KSQ,A,1360,2326.49,2714.4700000000003,2955.45,2960
FPT,A,52600,68315.7,72467.0,74472.5,74500
KST,A,17350,22538.47,23892.0,24546.85,24550
FRT,A,10400,18191.52,20549.12,21918.0,21900
KTS,D,1930,5203.87,6531.0,7362.0,1930
GAB,B,166000,178453.34,181446.45,182856.3,181400
KTT,Not enough data,710,1808.0,2216.16,2465.0,Not enough data
GAS,A,44250,60450.96,64401.8,66381.0,66400
KVC,C,1090,2374.0,2799.56,3043.0,2370
GDT,A,30700,40838.76,43510.9,44932.0,44950
L14,A,39000,57212.87,62131.61,64897.0,64900
GEX,C,9360,14283.45,15664.35,16378.5,14300
L18,C,10250,16155.1,17987.31,19106.350000000002,16150
GIL,B,26100,39326.45,42972.45,44878.6,42950
L35,D,1550,2430.32,2675.0,2804.0,1550
GEG,C,7350,10326.22,11272.66,11761.1,10350
GMC,C,6740,11780.22,13673.66,14709.0,11800
L43,C,380,1140.35,1442.0,1611.0,1140
L61,C,1290,2614.9300000000003,3032.79,3265.0,2610
GMD,B,25100,34599.48,37208.32,38557.05,37200
L62,C,2110,3118.0,3387.0,3526.0,3120
GSP,A,6050,8786.55,9507.0,9910.5,9910
GTA,C,5750,9244.0,10177.48,10666.0,9240
LAF,B,1430,4236.76,5339.28,5966.0,5340
GTN,A,7040,10512.66,11442.0,11929.0,11950
LAS,B,6380,9833.0,10938.0,11536.0,10950
HAG,D,2080,2924.0,3200.0,3346.75,2080
LBE,B,6280,10867.0,12224.0,12949.0,12200
HAH,A,13300,27061.83,31312.14,33656.35,33650
HAI,B,840,1662.0,1929.0,2087.0,1930
HPX,C,12150,18716.1,20548.0,21497.25,18700
HID,A,1080,2355.82,2756.46,2981.0,2980
HAP,B,2620,5516.04,6460.0,6972.0,6460
HAR,B,1130,2050.0,2333.0,2498.2000000000003,2330
HAS,C,4540,7253.82,7966.1900000000005,8351.55,7250
HAX,A,7680,12205.02,13435.51,14201.7,14200
HBC,C,3450,6528.0,7503.0,8021.0,6530
LCS,Not enough data,330,927.0,1162.0,1294.0,Not enough data
LDP,C,3860,7038.67,8017.0,8533.35,7040
HCD,B,1390,3059.79,3605.37,3908.9500000000003,3610
LHC,A,36150,52632.4,57837.52,60459.6,60500
HDC,B,30450,43271.55,46905.52,48834.1,46900
LIG,C,2590,4438.58,5007.0,5343.0,4440
HDG,B,24600,35345.0,38253.45,39657.0,38250
LM7,D,510,1365.0,1659.0,1826.0,510
HHP,B,3350,5663.55,6334.0,6723.0,6330
LUT,C,810,1559.16,1869.0,2050.0,1560
HHS,A,1770,2873.0,3256.13,3471.0,3470
MAC,C,1820,3194.28,3613.0,3834.0,3190
TCH,A,4670,8636.0,9806.33,10415.55,10400
MAS,C,11200,18493.94,21101.94,22476.8,18500
HSL,A,1420,2865.0,3335.0,3581.9500000000003,3580
MCC,B,5560,7468.0,7956.0,8204.0,7960
HMC,A,13550,18529.0,20063.8,20821.0,20800
MCF,B,2920,4596.0,5175.0,5478.0,5180
HNG,D,2060,3312.33,3654.99,3842.0,2060
MCO,C,320,856.0,1076.0,1212.0,860
MDC,B,1180,2849.01,3605.0299999999997,4044.0,3610
HOT,C,5410,12587.58,15129.29,16480.15,12600
MED,C,9960,17860.04,19925.239999999998,21015.2,17850
HPG,A,22700,32842.79,35613.79,37113.3,37100
MEL,B,6580,10432.16,11555.11,12177.95,11550
HQC,C,540,1208.0,1435.0,1558.0,1210
MHL,Not enough data,330,938.72,1191.0,1350.0,Not enough data
HRC,C,7070,19357.36,23721.04,26226.0,19350
MIM,Not enough data,1670,3182.09,3649.0,3899.0,Not enough data
MKV,Not enough data,16450,21633.44,22967.56,23765.8,Not enough data
HSG,A,19800,28427.06,30959.18,32228.9,32250
HT1,B,10500,13956.98,15060.98,15635.0,15050
HTI,A,8320,11111.28,11871.96,12255.2,12250
MPT,B,240,514.0,605.0,655.0,600
HTN,C,15050,23915.71,26300.57,27789.85,23900
MST,C,6590,9666.01,10722.07,11288.45,9670
NAG,C,3690,5202.0,5594.95,5829.5,5200
HTL,A,6870,11091.3,12272.9,12943.0,12950
NAP,A,2380,4985.2,5737.0,6139.0,6140
HTV,A,6630,9673.0,10496.99,10918.3,10900
NBC,D,6550,10510.94,11720.14,12293.8,6550
HU1,B,3560,5658.0,6391.98,6804.1,6390
NBP,A,4250,6804.39,7553.0,7964.3,7960
HU3,C,2420,3971.0,4360.0,4580.0,3970
NBW,A,1040,4162.11,5499.0,6315.85,6320
HVH,C,3740,5427.0,5986.09,6282.0,5430
NDN,A,9020,13411.0,14545.0,15259.05,15250
HVX,B,1760,3230.56,3658.0,3882.9,3660
NDX,B,2720,4413.8,4827.0,5067.0,4830
IBC,C,13900,16926.68,17580.0,17901.0,16950
NET,A,34350,44505.2,47326.24,48815.0,48800
ILB,B,14650,20752.06,22637.45,23603.0,22650
NRC,B,6770,10961.54,12138.24,12806.0,12150
IDI,B,1590,2873.9,3294.4,3538.0,3290
NFC,A,6360,8185.54,8673.77,8911.0,8910
IJC,A,9840,15398.95,17096.9,18023.5,18000
IMP,B,39300,51184.0,54009.25,55755.25,54000
NGC,Not enough data,500,1530.8600000000001,1963.0,2200.3,Not enough data
ITA,B,1580,3001.67,3453.02,3693.3500000000004,3450
NHC,A,12350,19435.54,21319.84,22252.7,22250
ITC,C,6240,8946.0,9668.22,10061.0,8950
NHP,Not enough data,230,535.0,648.0,709.0,Not enough data
ITD,A,7490,10724.38,11742.28,12268.9,12250
PMB,Not enough data,4220,6584.24,7359.36,7771.0,Not enough data
JVC,B,1240,2294.0,2617.0,2804.0,2620
NSC,B,44350,57319.0,60546.72,62229.3,60500
KBC,A,10200,18983.48,21734.44,23197.4,23200
NST,D,1890,3349.4,3781.0,4010.0,1890
KDC,B,40850,48601.94,50610.67,51505.05,50600
NTP,A,28250,37244.64,39522.92,40628.6,40650
KDH,A,22400,28519.63,30360.59,31323.55,31300
OCH,C,730,1946.26,2391.7799999999997,2669.3,1950
KHP,C,3320,4453.95,4749.0,4897.75,4450
ONE,C,2640,3932.0,4268.0,4476.0,3930
PAN,B,9770,15928.16,17554.96,18436.4,17550
KMR,C,1760,3195.67,3696.0,3970.0,3200
KOS,B,12400,17786.74,19246.0,19989.0,19250
PBP,B,2330,4365.84,5059.63,5421.1,5060
KPF,B,4260,7736.86,8807.0,9375.0,8810
PCG,C,1370,2794.0,3215.0,3442.35,2790
KSB,B,10800,17637.58,19614.87,20640.45,19600
PCT,A,2170,3624.45,4098.35,4358.0,4360
PDB,B,3570,5550.34,6088.0,6396.0,6090
L10,C,3750,7502.0,8680.59,9301.0,7500
PDC,C,560,1431.0,1754.0,1951.0,1430
LBM,A,27550,41065.18,44470.93,46496.75,46500
PEN,D,2830,4312.14,4801.0,5026.0,2830
LCG,C,4230,7701.0,8837.58,9502.0,7700
PGN,C,6380,10044.62,11040.93,11658.55,10050
LCM,B,680,1213.0,1376.94,1459.9,1380
PGS,C,9280,13632.28,14762.36,15446.4,13650
LDG,B,2340,3670.0,4004.0,4186.0,4000
LGC,B,9190,19854.04,23489.52,25470.0,23500
PGT,Not enough data,2180,3988.0,4743.67,5154.9,Not enough data
PHP,A,12400,19148.28,21118.22,22074.5,22050
LGL,C,1630,2890.09,3297.0,3530.0,2890
PIA,A,10500,15855.94,17354.41,18118.0,18100
LHG,B,19950,30215.32,32866.74,34196.0,32850
PIC,A,2660,4582.0,5159.0,5462.0,5460
LIX,A,32350,41110.04,43320.0,44423.2,44400
PJC,A,6060,9942.12,11334.0,12075.0,12100
LM8,C,3900,5799.14,6359.0,6672.0,5800
PLC,B,15800,23040.08,25409.81,26744.8,25400
LSS,B,2480,5034.18,5923.0,6451.0,5920
PMC,A,29250,41926.77,45270.62,46993.950000000004,47000
MCG,C,790,1497.0,1717.0,1845.0,1500
PMP,B,5540,8134.68,8922.0,9295.0,8920
PMS,A,5960,10495.25,11790.75,12483.25,12500
MCP,B,7930,14059.06,15637.09,16495.15,15650
POT,D,4520,7255.0,8047.0,8456.6,4520
MDG,C,4130,6738.32,7465.48,7828.0,6740
PPE,Not enough data,1490,3827.65,4827.0,5407.0,Not enough data
MHC,A,3460,5844.0,6592.48,7024.4,7020
PPP,B,5570,8999.05,10051.0,10647.25,10050
MSN,B,66500,88354.78,95000.88,98641.0,95000
PPS,C,5600,7694.24,8235.0,8544.0,7690
MWG,A,36000,58924.28,65488.0,68956.05,69000
PRC,C,7730,10895.12,11749.36,12207.0,10900
NAF,C,16100,21993.02,23415.739999999998,24308.0,22000
PSC,C,6110,9062.18,9863.0,10282.0,9060
NAV,A,3520,7053.0,8269.3,8993.75,8990
PSD,A,8670,13352.84,14683.57,15398.65,15400
NBB,C,13500,20940.8,22960.6,24038.5,20950
PSE,A,3600,6611.16,7506.0,8002.6,8000
NCT,A,54000,62133.0,64049.0,65002.0,65000
PTD,D,12400,15351.0,16091.03,16454.05,12400
NHA,C,6480,11903.3,13806.78,14847.0,11900
PTS,C,4110,6285.89,6951.0,7275.0,6290
